,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CTB,79473,399453,Q,
20100105,CTB,77584,419657,Q,
20100106,CTB,34614,237586,Q,
20100107,CTB,55753,365244,Q,
20100108,CTB,16782,223217,Q,
20100111,CTB,66805,328541,Q,
20100112,CTB,148382,294414,Q,
20100113,CTB,326782,806291,Q,
20100114,CTB,39982,154692,Q,
20100115,CTB,134938,327125,Q,
20100119,CTB,79887,295222,Q,
20100120,CTB,44688,125783,Q,
20100121,CTB,149266,302808,Q,
20100122,CTB,93714,221567,Q,
20100125,CTB,89807,349317,Q,
20100126,CTB,30920,198407,Q,
20100127,CTB,43266,156250,Q,
20100128,CTB,127222,723874,Q,
20100129,CTB,79929,331846,Q,
20100201,CTB,108592,313757,Q,
20100202,CTB,43996,149845,Q,
20100203,CTB,52665,158814,Q,
20100204,CTB,35353,199966,Q,
20100205,CTB,120282,393152,Q,
20100208,CTB,33108,282041,Q,
20100209,CTB,69749,199018,Q,
20100210,CTB,27570,79692,Q,
20100211,CTB,48399,173069,Q,
20100212,CTB,55953,168492,Q,
20100216,CTB,57074,212511,Q,
20100217,CTB,33490,174009,Q,
20100218,CTB,174317,392293,Q,
20100219,CTB,65696,205993,Q,
20100222,CTB,35733,122145,Q,
20100223,CTB,105879,216541,Q,
20100224,CTB,18265,114081,Q,
20100225,CTB,28634,141505,Q,
20100226,CTB,64213,402647,Q,
20100301,CTB,101096,357646,Q,
20100302,CTB,373960,1215708,Q,
20100303,CTB,104063,289837,Q,
20100304,CTB,110013,349198,Q,
20100305,CTB,79737,413661,Q,
20100308,CTB,26497,169118,Q,
20100309,CTB,91631,402745,Q,
20100310,CTB,147225,503657,Q,
20100311,CTB,53961,256756,Q,
20100312,CTB,72477,290735,Q,
20100315,CTB,35614,136833,Q,
20100316,CTB,140325,368165,Q,
20100317,CTB,153534,352881,Q,
20100318,CTB,51031,440674,Q,
20100319,CTB,180065,366111,Q,
20100322,CTB,286196,564247,Q,
20100323,CTB,118880,297063,Q,
20100324,CTB,67766,172834,Q,
20100325,CTB,70327,246684,Q,
20100326,CTB,59144,162607,Q,
20100329,CTB,73587,202940,Q,
20100330,CTB,98970,249939,Q,
20100331,CTB,119594,271473,Q,
20100401,CTB,174993,349636,Q,
20100405,CTB,121204,220714,Q,
20100406,CTB,82381,268589,Q,
20100407,CTB,234688,424650,Q,
20100408,CTB,337747,465524,Q,
20100409,CTB,78435,229868,Q,
20100412,CTB,101013,314414,Q,
20100413,CTB,101431,344493,Q,
20100414,CTB,84408,215619,Q,
20100415,CTB,125372,316329,Q,
20100416,CTB,140845,332240,Q,
20100419,CTB,56309,147028,Q,
20100420,CTB,51193,180646,Q,
20100421,CTB,698131,1298752,Q,
20100422,CTB,170955,526090,Q,
20100423,CTB,99563,386188,Q,
20100426,CTB,80667,287393,Q,
20100427,CTB,183977,557362,Q,
20100428,CTB,108381,336966,Q,
20100429,CTB,83437,233976,Q,
20100430,CTB,117094,273477,Q,
20100503,CTB,107162,314131,Q,
20100504,CTB,181748,497117,Q,
20100510,CTB,94512,238241,Q,
20100511,CTB,134368,245509,Q,
20100512,CTB,178530,516826,Q,
20100513,CTB,97550,267612,Q,
20100517,CTB,132577,212589,Q,
20100518,CTB,130696,353623,Q,
20100519,CTB,162427,526489,Q,
20100520,CTB,229282,459210,Q,
20100521,CTB,158169,327826,Q,
20100524,CTB,113154,256446,Q,
20100525,CTB,113989,451271,Q,
20100526,CTB,61882,192114,Q,
20100527,CTB,69128,284614,Q,
20100528,CTB,73679,333851,Q,
20100601,CTB,60556,179505,Q,
20100602,CTB,142459,413421,Q,
20100603,CTB,128258,317864,Q,
20100604,CTB,95327,181309,Q,
20100607,CTB,255321,398414,Q,
20100608,CTB,181643,372231,Q,
20100609,CTB,38776,138750,Q,
20100610,CTB,99140,206528,Q,
20100611,CTB,95827,194623,Q,
20100614,CTB,168401,457780,Q,
20100615,CTB,128789,283104,Q,
20100616,CTB,112543,224942,Q,
20100617,CTB,78707,144387,Q,
20100618,CTB,49350,105182,Q,
20100621,CTB,129314,297123,Q,
20100622,CTB,155036,271811,Q,
20100623,CTB,58237,223297,Q,
20100624,CTB,46657,181391,Q,
20100625,CTB,30565,86597,Q,
20100628,CTB,77379,334266,Q,
20100629,CTB,301806,509689,Q,
20100630,CTB,137150,220818,Q,
20100701,CTB,138864,592140,Q,
20100702,CTB,137410,322008,Q,
20100706,CTB,80996,269179,Q,
20100707,CTB,91068,241238,Q,
20100708,CTB,35465,166696,Q,
20100709,CTB,19107,240092,Q,
20110804,CTB,330151,2323426,,65437.0
