,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CTCT,118070,150065,Q,
20100105,CTCT,69093,109804,Q,
20100106,CTCT,59053,108186,Q,
20100107,CTCT,81292,103703,Q,
20100108,CTCT,65057,89492,Q,
20100111,CTCT,71587,86996,Q,
20100112,CTCT,105810,152206,Q,
20100113,CTCT,274150,336996,Q,
20100114,CTCT,55202,94164,Q,
20100115,CTCT,17569,45050,Q,
20100119,CTCT,69381,183915,Q,
20100120,CTCT,100715,163153,Q,
20100121,CTCT,66531,127568,Q,
20100122,CTCT,76860,208710,Q,
20100125,CTCT,33517,89701,Q,
20100126,CTCT,45845,60845,Q,
20100127,CTCT,8395,19401,Q,
20100128,CTCT,24400,62294,Q,
20100129,CTCT,31190,49154,Q,
20100201,CTCT,38899,62515,Q,
20100202,CTCT,77927,89267,Q,
20100203,CTCT,16807,33022,Q,
20100204,CTCT,53587,127755,Q,
20100205,CTCT,108223,296879,Q,
20100208,CTCT,58537,143116,Q,
20100209,CTCT,45253,133064,Q,
20100210,CTCT,19100,34196,Q,
20100211,CTCT,15032,69335,Q,
20100212,CTCT,89125,126050,Q,
20100216,CTCT,44875,62135,Q,
20100217,CTCT,119904,213592,Q,
20100218,CTCT,53546,88591,Q,
20100219,CTCT,29335,66045,Q,
20100222,CTCT,16945,28510,Q,
20100223,CTCT,10175,25186,Q,
20100224,CTCT,7277,137103,Q,
20100225,CTCT,4900,30607,Q,
20100226,CTCT,16339,30875,Q,
20100301,CTCT,20216,117962,Q,
20100302,CTCT,21997,101416,Q,
20100303,CTCT,38990,114769,Q,
20100304,CTCT,24500,31980,Q,
20100305,CTCT,94672,141160,Q,
20100308,CTCT,24571,41346,Q,
20100309,CTCT,47477,79128,Q,
20100310,CTCT,23220,43590,Q,
20100311,CTCT,28488,113214,Q,
20100312,CTCT,47078,195300,Q,
20100315,CTCT,79860,212352,Q,
20100316,CTCT,89697,208387,Q,
20100317,CTCT,58301,95333,Q,
20100318,CTCT,76940,218409,Q,
20100319,CTCT,25472,56026,Q,
20100322,CTCT,27108,56702,Q,
20100323,CTCT,33323,161170,Q,
20100324,CTCT,34750,110133,Q,
20100325,CTCT,43398,397245,Q,
20100326,CTCT,55049,166552,Q,
20100329,CTCT,84266,141671,Q,
20100330,CTCT,102979,193471,Q,
20100331,CTCT,69965,165740,Q,
20100401,CTCT,47488,62553,Q,
20100405,CTCT,27760,58470,Q,
20100406,CTCT,33199,41679,Q,
20100407,CTCT,83611,119571,Q,
20100408,CTCT,64843,93090,Q,
20100409,CTCT,45357,89758,Q,
20100412,CTCT,39375,111572,Q,
20100413,CTCT,67363,99676,Q,
20100414,CTCT,171467,277147,Q,
20100415,CTCT,163507,335069,Q,
20100416,CTCT,96147,268292,Q,
20100419,CTCT,27348,61470,Q,
20100420,CTCT,42442,70311,Q,
20100421,CTCT,15900,21912,Q,
20100422,CTCT,14941,26221,Q,
20100423,CTCT,22501,45254,Q,
20100426,CTCT,14156,59523,Q,
20100427,CTCT,32014,52691,Q,
20100428,CTCT,15049,22904,Q,
20100429,CTCT,19196,45016,Q,
20100430,CTCT,71424,123203,Q,
20100503,CTCT,65790,96092,Q,
20100504,CTCT,59667,122647,Q,
20100510,CTCT,205940,252952,Q,
20100511,CTCT,211014,340540,Q,
20100512,CTCT,154510,207587,Q,
20100513,CTCT,247308,280433,Q,
20100517,CTCT,43924,58081,Q,
20100518,CTCT,33084,60078,Q,
20100519,CTCT,26300,80929,Q,
20100520,CTCT,166072,375663,Q,
20100521,CTCT,196947,300983,Q,
20100524,CTCT,13021,31296,Q,
20100525,CTCT,17450,30748,Q,
20100526,CTCT,101765,149291,Q,
20100527,CTCT,102033,168213,Q,
20100528,CTCT,8598,27249,Q,
20100601,CTCT,27623,59154,Q,
20100602,CTCT,30703,42403,Q,
20100603,CTCT,24689,60373,Q,
20100604,CTCT,171926,292251,Q,
20100607,CTCT,86189,184151,Q,
20100608,CTCT,22410,49760,Q,
20100609,CTCT,20076,66788,Q,
20100610,CTCT,36653,55885,Q,
20100611,CTCT,8683,15979,Q,
20100614,CTCT,19076,29589,Q,
20100615,CTCT,8683,24468,Q,
20100616,CTCT,14642,33412,Q,
20100617,CTCT,6719,20896,Q,
20100618,CTCT,26547,41886,Q,
20100621,CTCT,23281,41723,Q,
20100622,CTCT,41192,51024,Q,
20100623,CTCT,115295,140866,Q,
20100624,CTCT,23437,45056,Q,
20100625,CTCT,54787,74104,Q,
20100628,CTCT,33058,42857,Q,
20100629,CTCT,41607,87314,Q,
20100630,CTCT,78084,145600,Q,
20100701,CTCT,32733,64786,Q,
20100702,CTCT,64884,85473,Q,
20100706,CTCT,24307,45117,Q,
20100707,CTCT,32971,45376,Q,
20100708,CTCT,15814,47228,Q,
20100709,CTCT,5543,14543,Q,
20110804,CTCT,63426,224728,,0.0
