,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CTDC,92137,145890,Q,
20100105,CTDC,23702,90805,Q,
20100106,CTDC,5150,32494,Q,
20100107,CTDC,14615,31637,Q,
20100108,CTDC,14484,45176,Q,
20100111,CTDC,25131,94100,Q,
20100112,CTDC,35605,90909,Q,
20100113,CTDC,2100,56601,Q,
20100114,CTDC,2400,17871,Q,
20100115,CTDC,2800,29461,Q,
20100119,CTDC,12977,32077,Q,
20100120,CTDC,17660,44360,Q,
20100121,CTDC,24900,80622,Q,
20100122,CTDC,9300,33035,Q,
20100125,CTDC,27235,35885,Q,
20100126,CTDC,8513,22363,Q,
20100127,CTDC,28765,38147,Q,
20100128,CTDC,3050,7850,Q,
20100129,CTDC,1510,12710,Q,
20100201,CTDC,10152,17452,Q,
20100202,CTDC,15800,30883,Q,
20100203,CTDC,13400,23904,Q,
20100204,CTDC,10010,20396,Q,
20100205,CTDC,400,8666,Q,
20100208,CTDC,2800,5500,Q,
20100209,CTDC,7700,12900,Q,
20100210,CTDC,200,11468,Q,
20100211,CTDC,2007,6821,Q,
20100212,CTDC,5310,13525,Q,
20100216,CTDC,3600,7849,Q,
20100217,CTDC,5800,19438,Q,
20100218,CTDC,3373,10273,Q,
20100219,CTDC,2000,5750,Q,
20100222,CTDC,900,3700,Q,
20100223,CTDC,1000,6550,Q,
20100224,CTDC,1379,8800,Q,
20100226,CTDC,300,1700,Q,
20100301,CTDC,2600,8200,Q,
20100302,CTDC,24358,61565,Q,
20100303,CTDC,3675,16248,Q,
20100304,CTDC,2000,5900,Q,
20100305,CTDC,2120,9651,Q,
20100308,CTDC,5413,14663,Q,
20100309,CTDC,1300,20055,Q,
20100310,CTDC,7813,18440,Q,
20100311,CTDC,3310,16690,Q,
20100315,CTDC,1200,7800,Q,
20100316,CTDC,2000,6800,Q,
20100317,CTDC,7700,15536,Q,
20100318,CTDC,5800,9000,Q,
20100319,CTDC,15522,46980,Q,
20100322,CTDC,7900,14667,Q,
20100323,CTDC,4500,11124,Q,
20100324,CTDC,3500,7282,Q,
20100325,CTDC,3403,11146,Q,
20100326,CTDC,12335,19035,Q,
20100329,CTDC,51627,94784,Q,
20100330,CTDC,42714,95506,Q,
20100331,CTDC,15269,37221,Q,
20100401,CTDC,22969,57203,Q,
20100405,CTDC,15976,35456,Q,
20100406,CTDC,5400,19501,Q,
20100407,CTDC,2400,20127,Q,
20100408,CTDC,12950,20400,Q,
20100409,CTDC,4421,9594,Q,
20100412,CTDC,3600,16381,Q,
20100413,CTDC,5500,32645,Q,
20100414,CTDC,3630,21451,Q,
20100415,CTDC,51657,111656,Q,
20100416,CTDC,2914,42731,Q,
20100419,CTDC,10900,35355,Q,
20100420,CTDC,9448,17668,Q,
20100421,CTDC,66355,121930,Q,
20100422,CTDC,55885,116168,Q,
20100423,CTDC,6346,40566,Q,
20100426,CTDC,6060,18588,Q,
20100427,CTDC,7150,28227,Q,
20100428,CTDC,11750,48936,Q,
20100429,CTDC,15546,65655,Q,
20100430,CTDC,2972,27441,Q,
20100503,CTDC,1700,10118,Q,
20100504,CTDC,7800,14777,Q,
20100510,CTDC,8782,16905,Q,
20100511,CTDC,1950,10073,Q,
20100512,CTDC,2100,7950,Q,
20100513,CTDC,1991,10700,Q,
20100518,CTDC,2000,9190,Q,
20100519,CTDC,2200,8600,Q,
20100520,CTDC,4600,23848,Q,
20100521,CTDC,2900,7915,Q,
20100524,CTDC,2500,7200,Q,
20100525,CTDC,15454,31440,Q,
20100526,CTDC,700,3800,Q,
20100527,CTDC,5600,10225,Q,
20100528,CTDC,300,4500,Q,
20100602,CTDC,1740,4440,Q,
20100603,CTDC,1100,3247,Q,
20100604,CTDC,1000,5996,Q,
20100607,CTDC,500,2100,Q,
20100610,CTDC,200,6720,Q,
20100615,CTDC,2000,11800,Q,
20100616,CTDC,2000,5517,Q,
20100617,CTDC,100,700,Q,
20100621,CTDC,100,1400,Q,
20100622,CTDC,2100,5200,Q,
20100623,CTDC,1200,1800,Q,
20100624,CTDC,100,2015,Q,
20100628,CTDC,500,1750,Q,
20100629,CTDC,1261,2961,Q,
20100701,CTDC,400,5209,Q,
20100702,CTDC,394,7729,Q,
20100706,CTDC,2885,10985,Q,
20100707,CTDC,1400,11601,Q,
20100708,CTDC,1150,10871,Q,
20100709,CTDC,9329,23613,Q,
20110804,CTDC,1000,3100,,0.0
