,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CTIB,2829,6018,Q,
20100105,CTIB,1100,2100,Q,
20100106,CTIB,4174,5674,Q,
20100107,CTIB,1700,3800,Q,
20100111,CTIB,648,648,Q,
20100114,CTIB,100,2300,Q,
20100115,CTIB,1500,4604,Q,
20100120,CTIB,400,5800,Q,
20100127,CTIB,900,900,Q,
20100128,CTIB,500,1250,Q,
20100201,CTIB,1000,1324,Q,
20100202,CTIB,1629,2451,Q,
20100204,CTIB,600,1000,Q,
20100208,CTIB,800,1298,Q,
20100209,CTIB,1600,4800,Q,
20100225,CTIB,100,5300,Q,
20100226,CTIB,500,1400,Q,
20100301,CTIB,200,8685,Q,
20100302,CTIB,800,1901,Q,
20100304,CTIB,1700,2000,Q,
20100305,CTIB,800,2401,Q,
20100310,CTIB,100,300,Q,
20100311,CTIB,750,950,Q,
20100317,CTIB,550,1650,Q,
20100318,CTIB,8883,12790,Q,
20100319,CTIB,4600,21200,Q,
20100322,CTIB,24779,61503,Q,
20100323,CTIB,5453,32416,Q,
20100324,CTIB,2600,6140,Q,
20100325,CTIB,6781,20933,Q,
20100326,CTIB,1125,7399,Q,
20100329,CTIB,1335,3600,Q,
20100331,CTIB,1589,4388,Q,
20100401,CTIB,800,4931,Q,
20100406,CTIB,500,2988,Q,
20100407,CTIB,1800,3500,Q,
20100408,CTIB,150,1266,Q,
20100409,CTIB,1362,2862,Q,
20100412,CTIB,100,3240,Q,
20100414,CTIB,900,1200,Q,
20100415,CTIB,4000,11500,Q,
20100421,CTIB,1000,1600,Q,
20100426,CTIB,10660,10960,Q,
20100427,CTIB,1860,11135,Q,
20100428,CTIB,1300,1700,Q,
20100429,CTIB,376,2876,Q,
20100430,CTIB,90741,231503,Q,
20100503,CTIB,44766,98455,Q,
20100504,CTIB,16877,35090,Q,
20100510,CTIB,7700,20166,Q,
20100511,CTIB,5465,11544,Q,
20100512,CTIB,650,5300,Q,
20100513,CTIB,4000,8337,Q,
20100517,CTIB,11776,28701,Q,
20100518,CTIB,3150,9369,Q,
20100519,CTIB,2763,3610,Q,
20100520,CTIB,5520,14029,Q,
20100521,CTIB,4800,14026,Q,
20100525,CTIB,1700,6400,Q,
20100526,CTIB,4500,10249,Q,
20100527,CTIB,800,2803,Q,
20100528,CTIB,600,600,Q,
20100601,CTIB,1528,3442,Q,
20100602,CTIB,580,1080,Q,
20100603,CTIB,520,1975,Q,
20100604,CTIB,2800,5531,Q,
20100607,CTIB,500,3700,Q,
20100608,CTIB,100,1300,Q,
20100609,CTIB,4349,15049,Q,
20100610,CTIB,2177,5350,Q,
20100611,CTIB,600,1200,Q,
20100614,CTIB,45381,95024,Q,
20100615,CTIB,15361,28855,Q,
20100616,CTIB,2301,5569,Q,
20100617,CTIB,1837,5409,Q,
20100618,CTIB,8154,14278,Q,
20100621,CTIB,30545,60586,Q,
20100622,CTIB,4630,8800,Q,
20100623,CTIB,3650,7798,Q,
20100624,CTIB,2360,8661,Q,
20100625,CTIB,350,3021,Q,
20100628,CTIB,3800,6585,Q,
20100629,CTIB,6781,20374,Q,
20100630,CTIB,1200,9916,Q,
20100701,CTIB,3842,11913,Q,
20100702,CTIB,3654,9814,Q,
20100706,CTIB,3218,13893,Q,
20100707,CTIB,1450,6740,Q,
20100708,CTIB,4341,10360,Q,
20100709,CTIB,4488,8400,Q,
20110804,CTIB,400,400,,0.0
