,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CVA,134093,189177,Q,
20100105,CVA,58269,265739,Q,
20100106,CVA,382552,564963,Q,
20100107,CVA,491195,693339,Q,
20100108,CVA,271395,528455,Q,
20100111,CVA,74052,479076,Q,
20100112,CVA,65475,144665,Q,
20100113,CVA,71270,174709,Q,
20100114,CVA,95981,202470,Q,
20100115,CVA,345336,706694,Q,
20100119,CVA,117095,627808,Q,
20100120,CVA,618909,792002,Q,
20100121,CVA,111296,268229,Q,
20100122,CVA,138462,463774,Q,
20100125,CVA,76532,192036,Q,
20100126,CVA,57822,118047,Q,
20100127,CVA,95374,206622,Q,
20100128,CVA,67811,151296,Q,
20100129,CVA,309069,887068,Q,
20100201,CVA,98853,195970,Q,
20100202,CVA,145644,241874,Q,
20100203,CVA,26438,49270,Q,
20100204,CVA,189699,480512,Q,
20100205,CVA,94812,325759,Q,
20100208,CVA,163656,506806,Q,
20100209,CVA,171595,402424,Q,
20100210,CVA,324158,1128832,Q,
20100211,CVA,81691,389299,Q,
20100212,CVA,240595,489393,Q,
20100216,CVA,56750,343293,Q,
20100217,CVA,42500,141660,Q,
20100218,CVA,86751,502156,Q,
20100219,CVA,37182,243344,Q,
20100222,CVA,60286,358349,Q,
20100223,CVA,544445,1171940,Q,
20100224,CVA,698166,1832459,Q,
20100225,CVA,295410,872899,Q,
20100226,CVA,422139,1341893,Q,
20100301,CVA,515857,734254,Q,
20100302,CVA,214713,530621,Q,
20100303,CVA,327928,621567,Q,
20100304,CVA,141525,313865,Q,
20100305,CVA,114961,448131,Q,
20100308,CVA,93110,473269,Q,
20100309,CVA,134122,585310,Q,
20100310,CVA,380079,926780,Q,
20100311,CVA,71500,316904,Q,
20100312,CVA,72858,616717,Q,
20100315,CVA,158258,437974,Q,
20100316,CVA,438403,568457,Q,
20100317,CVA,60188,345586,Q,
20100318,CVA,96813,307681,Q,
20100319,CVA,157486,526123,Q,
20100322,CVA,63803,424977,Q,
20100323,CVA,331535,607869,Q,
20100324,CVA,140564,345086,Q,
20100325,CVA,210549,592774,Q,
20100326,CVA,98792,244633,Q,
20100329,CVA,44607,179164,Q,
20100330,CVA,147722,487394,Q,
20100331,CVA,98547,229357,Q,
20100401,CVA,121421,236451,Q,
20100405,CVA,114287,207753,Q,
20100406,CVA,281714,511378,Q,
20100407,CVA,270157,457560,Q,
20100408,CVA,283003,898929,Q,
20100409,CVA,158151,1160695,Q,
20100412,CVA,544063,1201070,Q,
20100413,CVA,212845,472511,Q,
20100414,CVA,116567,229664,Q,
20100415,CVA,299839,576889,Q,
20100416,CVA,162718,587141,Q,
20100419,CVA,308444,673153,Q,
20100420,CVA,144022,369773,Q,
20100421,CVA,113013,400070,Q,
20100422,CVA,586341,1227035,Q,
20100423,CVA,192466,928300,Q,
20100426,CVA,391688,915240,Q,
20100427,CVA,205107,393938,Q,
20100428,CVA,107689,311263,Q,
20100429,CVA,252167,914917,Q,
20100430,CVA,236681,504946,Q,
20100503,CVA,117038,241514,Q,
20100504,CVA,97593,243078,Q,
20100510,CVA,134600,259630,Q,
20100511,CVA,95497,224947,Q,
20100512,CVA,193320,406421,Q,
20100513,CVA,66209,162071,Q,
20100517,CVA,50303,198825,Q,
20100518,CVA,131225,321353,Q,
20100519,CVA,88915,240763,Q,
20100520,CVA,407910,1192514,Q,
20100521,CVA,599581,1397728,Q,
20100524,CVA,255884,902367,Q,
20100525,CVA,376203,747715,Q,
20100526,CVA,484486,888320,Q,
20100527,CVA,166338,313254,Q,
20100528,CVA,57782,122135,Q,
20100601,CVA,198385,577803,Q,
20100602,CVA,198268,677410,Q,
20100603,CVA,167784,799757,Q,
20100604,CVA,106201,201235,Q,
20100607,CVA,79417,177255,Q,
20100608,CVA,235453,427605,Q,
20100609,CVA,369007,567253,Q,
20100610,CVA,712907,1179833,Q,
20100611,CVA,101170,448216,Q,
20100614,CVA,141090,365659,Q,
20100615,CVA,1114250,1747792,Q,
20100616,CVA,116732,257955,Q,
20100617,CVA,293605,539896,Q,
20100618,CVA,1910940,4032169,Q,
20100621,CVA,547002,1876096,Q,
20100622,CVA,202851,436337,Q,
20100623,CVA,188135,474448,Q,
20100624,CVA,216855,369837,Q,
20100625,CVA,62608,164858,Q,
20100628,CVA,203057,797659,Q,
20100629,CVA,235138,839691,Q,
20100630,CVA,185049,750976,Q,
20100701,CVA,272688,727876,Q,
20100702,CVA,616499,1035196,Q,
20100706,CVA,264495,589200,Q,
20100707,CVA,143698,764510,Q,
20100708,CVA,497973,863884,Q,
20100709,CVA,112425,301972,Q,
20110804,CVA,194680,371123,,0.0
