,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CWTR,187922,418563,Q,
20100105,CWTR,145646,299378,Q,
20100106,CWTR,247965,587358,Q,
20100107,CWTR,187379,369321,Q,
20100108,CWTR,131135,383561,Q,
20100111,CWTR,171098,400856,Q,
20100112,CWTR,217502,618606,Q,
20100113,CWTR,170834,398090,Q,
20100114,CWTR,129320,590573,Q,
20100115,CWTR,206719,644465,Q,
20100119,CWTR,95060,383454,Q,
20100120,CWTR,129035,406848,Q,
20100121,CWTR,110504,618422,Q,
20100122,CWTR,155463,726744,Q,
20100125,CWTR,100509,499201,Q,
20100126,CWTR,66860,286553,Q,
20100127,CWTR,64605,923067,Q,
20100128,CWTR,69321,187163,Q,
20100129,CWTR,111912,280740,Q,
20100201,CWTR,77969,1691009,Q,
20100202,CWTR,155397,376883,Q,
20100203,CWTR,94671,208539,Q,
20100204,CWTR,139751,301201,Q,
20100205,CWTR,85503,162870,Q,
20100208,CWTR,34332,87827,Q,
20100209,CWTR,74134,152506,Q,
20100210,CWTR,66186,179848,Q,
20100211,CWTR,32127,88884,Q,
20100212,CWTR,71179,157395,Q,
20100216,CWTR,34585,147664,Q,
20100217,CWTR,73972,314352,Q,
20100218,CWTR,82256,291952,Q,
20100219,CWTR,85857,232421,Q,
20100222,CWTR,93499,214366,Q,
20100223,CWTR,114672,238428,Q,
20100224,CWTR,75249,209510,Q,
20100225,CWTR,65245,215111,Q,
20100226,CWTR,98837,330202,Q,
20100301,CWTR,165893,522750,Q,
20100302,CWTR,62533,321422,Q,
20100303,CWTR,152910,648543,Q,
20100304,CWTR,394934,1968120,Q,
20100305,CWTR,864764,2203659,Q,
20100308,CWTR,193833,627626,Q,
20100309,CWTR,155260,427805,Q,
20100310,CWTR,113938,290590,Q,
20100311,CWTR,110077,300114,Q,
20100312,CWTR,246913,533950,Q,
20100315,CWTR,56930,128236,Q,
20100316,CWTR,136256,209573,Q,
20100317,CWTR,91325,238577,Q,
20100318,CWTR,141567,259548,Q,
20100319,CWTR,97924,221054,Q,
20100322,CWTR,64066,182338,Q,
20100323,CWTR,50454,164382,Q,
20100324,CWTR,70390,123392,Q,
20100325,CWTR,123503,250258,Q,
20100326,CWTR,119387,270564,Q,
20100329,CWTR,48371,100316,Q,
20100330,CWTR,59590,155934,Q,
20100331,CWTR,53509,127603,Q,
20100401,CWTR,98698,289596,Q,
20100405,CWTR,106048,249192,Q,
20100406,CWTR,74999,147038,Q,
20100407,CWTR,287730,703018,Q,
20100408,CWTR,175936,427431,Q,
20100409,CWTR,77544,195251,Q,
20100412,CWTR,84781,305219,Q,
20100413,CWTR,382245,535789,Q,
20100414,CWTR,800725,1135126,Q,
20100415,CWTR,324167,554971,Q,
20100416,CWTR,165991,351938,Q,
20100419,CWTR,80502,236006,Q,
20100420,CWTR,91784,266392,Q,
20100421,CWTR,89315,249938,Q,
20100422,CWTR,110938,342243,Q,
20100423,CWTR,62147,352904,Q,
20100426,CWTR,57210,250320,Q,
20100427,CWTR,64066,246420,Q,
20100428,CWTR,200430,478422,Q,
20100429,CWTR,207862,439445,Q,
20100430,CWTR,234880,430804,Q,
20100503,CWTR,47875,165535,Q,
20100504,CWTR,108360,293170,Q,
20100510,CWTR,55261,126175,Q,
20100511,CWTR,180997,418436,Q,
20100512,CWTR,127099,206359,Q,
20100513,CWTR,167978,256750,Q,
20100517,CWTR,213232,363163,Q,
20100518,CWTR,129927,264128,Q,
20100519,CWTR,60618,157179,Q,
20100520,CWTR,64936,217408,Q,
20100521,CWTR,80169,229388,Q,
20100524,CWTR,71184,125004,Q,
20100525,CWTR,43906,122045,Q,
20100526,CWTR,167436,472385,Q,
20100527,CWTR,27923,83235,Q,
20100528,CWTR,55706,111895,Q,
20100601,CWTR,76396,116680,Q,
20100602,CWTR,92267,172216,Q,
20100603,CWTR,940785,2288766,Q,
20100604,CWTR,638150,977470,Q,
20100607,CWTR,441433,827819,Q,
20100608,CWTR,283243,535777,Q,
20100609,CWTR,268604,413120,Q,
20100610,CWTR,89027,223769,Q,
20100611,CWTR,933360,1104940,Q,
20100614,CWTR,176400,365015,Q,
20100615,CWTR,283530,490332,Q,
20100616,CWTR,111338,312765,Q,
20100617,CWTR,130096,241850,Q,
20100618,CWTR,185304,301027,Q,
20100621,CWTR,211855,440652,Q,
20100622,CWTR,149347,274028,Q,
20100623,CWTR,172056,416848,Q,
20100624,CWTR,80638,224433,Q,
20100625,CWTR,156825,267030,Q,
20100628,CWTR,170384,775579,Q,
20100629,CWTR,197541,713600,Q,
20100630,CWTR,203251,770607,Q,
20100701,CWTR,179955,550735,Q,
20100702,CWTR,202718,420046,Q,
20100706,CWTR,217126,399299,Q,
20100707,CWTR,121215,277892,Q,
20100708,CWTR,107019,183024,Q,
20100709,CWTR,85992,182551,Q,
20110804,CWTR,223715,554473,,8920.0
