,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CXH,5479,21416,Q,
20100105,CXH,1548,3881,Q,
20100108,CXH,1000,5199,Q,
20100111,CXH,3000,12476,Q,
20100114,CXH,1050,8516,Q,
20100115,CXH,1196,3872,Q,
20100119,CXH,7314,10064,Q,
20100120,CXH,6419,10477,Q,
20100121,CXH,3572,6372,Q,
20100122,CXH,875,1511,Q,
20100125,CXH,600,1400,Q,
20100126,CXH,1675,8039,Q,
20100127,CXH,2100,5203,Q,
20100128,CXH,100,5674,Q,
20100129,CXH,1811,6475,Q,
20100201,CXH,12690,23525,Q,
20100202,CXH,30420,37390,Q,
20100203,CXH,1291,7391,Q,
20100204,CXH,4420,12362,Q,
20100205,CXH,9038,19058,Q,
20100208,CXH,3600,9299,Q,
20100209,CXH,7273,13223,Q,
20100210,CXH,2100,2100,Q,
20100211,CXH,300,1811,Q,
20100212,CXH,1717,5083,Q,
20100216,CXH,3200,5800,Q,
20100217,CXH,1250,7308,Q,
20100218,CXH,1150,6325,Q,
20100219,CXH,1600,13340,Q,
20100222,CXH,1850,8268,Q,
20100223,CXH,141,3841,Q,
20100224,CXH,460,610,Q,
20100225,CXH,1840,7551,Q,
20100226,CXH,3747,19460,Q,
20100301,CXH,5555,14886,Q,
20100302,CXH,5788,11772,Q,
20100303,CXH,1100,3700,Q,
20100304,CXH,2822,5822,Q,
20100305,CXH,1685,1935,Q,
20100308,CXH,5690,13702,Q,
20100309,CXH,7000,21438,Q,
20100310,CXH,4900,9088,Q,
20100311,CXH,4000,11390,Q,
20100312,CXH,30700,39200,Q,
20100315,CXH,2136,3286,Q,
20100317,CXH,22850,45804,Q,
20100318,CXH,100,8409,Q,
20100319,CXH,6200,14629,Q,
20100322,CXH,5214,11729,Q,
20100323,CXH,27000,61782,Q,
20100324,CXH,60700,87970,Q,
20100325,CXH,2140,4290,Q,
20100329,CXH,1525,6770,Q,
20100331,CXH,1231,7557,Q,
20100401,CXH,1300,3631,Q,
20100405,CXH,897,3888,Q,
20100406,CXH,700,9332,Q,
20100407,CXH,3450,9265,Q,
20100408,CXH,5700,10606,Q,
20100409,CXH,3000,7454,Q,
20100412,CXH,780,8493,Q,
20100413,CXH,400,6700,Q,
20100415,CXH,2171,4172,Q,
20100416,CXH,1100,2119,Q,
20100419,CXH,6500,13400,Q,
20100420,CXH,1700,2597,Q,
20100421,CXH,2000,4242,Q,
20100422,CXH,1067,3767,Q,
20100423,CXH,2300,6517,Q,
20100426,CXH,880,1180,Q,
20100427,CXH,3445,5245,Q,
20100428,CXH,1200,7035,Q,
20100429,CXH,2100,9323,Q,
20100430,CXH,143,3474,Q,
20100503,CXH,474,1481,Q,
20100504,CXH,3821,19168,Q,
20100510,CXH,2825,5029,Q,
20100511,CXH,8200,15377,Q,
20100512,CXH,2400,4802,Q,
20100517,CXH,841,7950,Q,
20100519,CXH,2050,4950,Q,
20100520,CXH,1300,15739,Q,
20100521,CXH,2465,7085,Q,
20100524,CXH,1225,6770,Q,
20100525,CXH,300,6340,Q,
20100601,CXH,200,6122,Q,
20100603,CXH,500,2226,Q,
20100604,CXH,500,800,Q,
20100607,CXH,1160,6074,Q,
20100608,CXH,200,930,Q,
20100611,CXH,4930,5645,Q,
20100615,CXH,3300,6000,Q,
20100616,CXH,3700,12158,Q,
20100617,CXH,10975,22887,Q,
20100618,CXH,4768,7788,Q,
20100621,CXH,773,3471,Q,
20100622,CXH,3076,7776,Q,
20100623,CXH,14136,16136,Q,
20100625,CXH,2485,9541,Q,
20100628,CXH,3700,7917,Q,
20100629,CXH,1200,2509,Q,
20100630,CXH,1746,4450,Q,
20100701,CXH,2300,11165,Q,
20100702,CXH,200,2873,Q,
20100706,CXH,3385,8357,Q,
20100707,CXH,2332,11327,Q,
20100708,CXH,4200,8437,Q,
20100709,CXH,3820,8220,Q,
20110804,CXH,100,2750,,0.0
