,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CXW,42600,137108,Q,
20100105,CXW,74035,175433,Q,
20100106,CXW,80990,232373,Q,
20100107,CXW,17563,66572,Q,
20100108,CXW,20067,101013,Q,
20100111,CXW,89822,202275,Q,
20100112,CXW,62328,203135,Q,
20100113,CXW,209137,631317,Q,
20100114,CXW,60936,230247,Q,
20100115,CXW,92559,274180,Q,
20100119,CXW,34982,171597,Q,
20100120,CXW,49492,326122,Q,
20100121,CXW,185513,1224299,Q,
20100122,CXW,67114,349404,Q,
20100125,CXW,134122,249715,Q,
20100126,CXW,243944,364198,Q,
20100127,CXW,67278,410799,Q,
20100128,CXW,92897,563639,Q,
20100129,CXW,120667,501393,Q,
20100201,CXW,152119,1142065,Q,
20100202,CXW,76254,698575,Q,
20100203,CXW,136702,448660,Q,
20100204,CXW,55314,217593,Q,
20100205,CXW,177332,413373,Q,
20100208,CXW,226189,591750,Q,
20100209,CXW,148645,911054,Q,
20100210,CXW,385339,1685342,Q,
20100211,CXW,219612,881282,Q,
20100212,CXW,144321,431438,Q,
20100216,CXW,95677,289900,Q,
20100217,CXW,61400,223251,Q,
20100218,CXW,123064,406554,Q,
20100219,CXW,96539,218958,Q,
20100222,CXW,90885,218683,Q,
20100223,CXW,183120,314395,Q,
20100224,CXW,122181,229047,Q,
20100225,CXW,155008,382122,Q,
20100226,CXW,127717,240829,Q,
20100301,CXW,48662,208482,Q,
20100302,CXW,260267,561074,Q,
20100303,CXW,228957,557472,Q,
20100304,CXW,51440,217779,Q,
20100305,CXW,49811,189314,Q,
20100308,CXW,48411,147584,Q,
20100309,CXW,41673,121669,Q,
20100310,CXW,50597,271749,Q,
20100311,CXW,172686,509554,Q,
20100312,CXW,131431,367539,Q,
20100315,CXW,163015,313597,Q,
20100316,CXW,39168,95442,Q,
20100317,CXW,67599,240449,Q,
20100318,CXW,119249,274061,Q,
20100319,CXW,227435,529297,Q,
20100322,CXW,160837,348792,Q,
20100323,CXW,65489,631085,Q,
20100324,CXW,68129,461358,Q,
20100325,CXW,137001,589309,Q,
20100326,CXW,60035,292934,Q,
20100329,CXW,99721,288239,Q,
20100330,CXW,71295,199956,Q,
20100331,CXW,186776,305188,Q,
20100401,CXW,116326,258527,Q,
20100405,CXW,165582,361330,Q,
20100406,CXW,307061,536816,Q,
20100407,CXW,58107,160967,Q,
20100408,CXW,83957,155999,Q,
20100409,CXW,54155,149145,Q,
20100412,CXW,83051,343659,Q,
20100413,CXW,389154,683139,Q,
20100414,CXW,118885,313273,Q,
20100415,CXW,140910,259287,Q,
20100416,CXW,96150,243032,Q,
20100419,CXW,195351,409019,Q,
20100420,CXW,155607,314726,Q,
20100421,CXW,64098,122038,Q,
20100422,CXW,67311,184583,Q,
20100423,CXW,25799,162499,Q,
20100426,CXW,31226,154843,Q,
20100427,CXW,57847,251277,Q,
20100428,CXW,56045,184077,Q,
20100429,CXW,20057,120611,Q,
20100430,CXW,40675,217469,Q,
20100503,CXW,68493,241508,Q,
20100504,CXW,37353,87045,Q,
20100510,CXW,44876,120562,Q,
20100511,CXW,65905,147076,Q,
20100512,CXW,79629,165472,Q,
20100513,CXW,50410,128849,Q,
20100517,CXW,44894,100289,Q,
20100518,CXW,119170,179549,Q,
20100519,CXW,85373,192851,Q,
20100520,CXW,173927,287483,Q,
20100521,CXW,197549,589301,Q,
20100524,CXW,192962,452371,Q,
20100525,CXW,181087,452564,Q,
20100526,CXW,148536,262205,Q,
20100527,CXW,96689,246140,Q,
20100528,CXW,106864,228250,Q,
20100601,CXW,139403,262304,Q,
20100602,CXW,267070,489049,Q,
20100603,CXW,211415,311800,Q,
20100604,CXW,285627,541033,Q,
20100607,CXW,202803,280571,Q,
20100608,CXW,229801,436178,Q,
20100609,CXW,189353,326300,Q,
20100610,CXW,86277,177520,Q,
20100611,CXW,68074,149582,Q,
20100614,CXW,229316,438895,Q,
20100615,CXW,180924,292707,Q,
20100616,CXW,135351,278875,Q,
20100617,CXW,82058,134217,Q,
20100618,CXW,80156,159510,Q,
20100621,CXW,85160,323401,Q,
20100622,CXW,168928,408956,Q,
20100623,CXW,135302,190213,Q,
20100624,CXW,44957,98511,Q,
20100625,CXW,113654,199668,Q,
20100628,CXW,51306,105464,Q,
20100629,CXW,67658,134321,Q,
20100630,CXW,99507,174303,Q,
20100701,CXW,195733,325110,Q,
20100702,CXW,63051,103559,Q,
20100706,CXW,48348,141772,Q,
20100707,CXW,75393,332978,Q,
20100708,CXW,85552,161261,Q,
20100709,CXW,124059,259164,Q,
20110804,CXW,66965,241103,,0.0
