,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CYT,35010,68466,Q,
20100105,CYT,24277,96868,Q,
20100106,CYT,31487,130425,Q,
20100107,CYT,38215,83213,Q,
20100108,CYT,34436,125165,Q,
20100111,CYT,31070,94615,Q,
20100112,CYT,16349,41953,Q,
20100113,CYT,19111,47136,Q,
20100114,CYT,20859,49213,Q,
20100115,CYT,33567,114532,Q,
20100119,CYT,12901,52933,Q,
20100120,CYT,4225,18231,Q,
20100121,CYT,19270,48191,Q,
20100122,CYT,21830,59127,Q,
20100125,CYT,10091,26455,Q,
20100126,CYT,20187,50971,Q,
20100127,CYT,12988,91116,Q,
20100128,CYT,19801,53301,Q,
20100129,CYT,87169,429309,Q,
20100201,CYT,65627,158813,Q,
20100202,CYT,17856,76837,Q,
20100203,CYT,44202,80490,Q,
20100204,CYT,42992,117599,Q,
20100205,CYT,31549,72735,Q,
20100208,CYT,15930,46152,Q,
20100209,CYT,17556,43839,Q,
20100210,CYT,11563,32138,Q,
20100211,CYT,11336,65718,Q,
20100212,CYT,23018,64392,Q,
20100216,CYT,45581,96555,Q,
20100217,CYT,14809,50082,Q,
20100218,CYT,70154,224157,Q,
20100219,CYT,80378,128646,Q,
20100222,CYT,77026,129265,Q,
20100223,CYT,35385,102255,Q,
20100224,CYT,55905,98492,Q,
20100225,CYT,104873,160497,Q,
20100226,CYT,114490,164040,Q,
20100301,CYT,20965,75746,Q,
20100302,CYT,58257,129566,Q,
20100303,CYT,69350,130670,Q,
20100304,CYT,77293,212266,Q,
20100305,CYT,11520,87851,Q,
20100308,CYT,21689,132070,Q,
20100309,CYT,44845,173097,Q,
20100310,CYT,74189,100649,Q,
20100311,CYT,19393,85707,Q,
20100312,CYT,95120,162710,Q,
20100315,CYT,70232,120686,Q,
20100316,CYT,29670,133828,Q,
20100317,CYT,66396,189394,Q,
20100318,CYT,14099,76650,Q,
20100319,CYT,31363,161204,Q,
20100322,CYT,47457,277731,Q,
20100323,CYT,29128,75415,Q,
20100324,CYT,41158,144302,Q,
20100325,CYT,32365,86073,Q,
20100326,CYT,15199,43745,Q,
20100329,CYT,45973,155414,Q,
20100330,CYT,41367,76632,Q,
20100331,CYT,15954,50982,Q,
20100401,CYT,32834,61693,Q,
20100405,CYT,22892,65389,Q,
20100406,CYT,53753,131044,Q,
20100407,CYT,90147,227807,Q,
20100408,CYT,26894,72813,Q,
20100409,CYT,23478,71492,Q,
20100412,CYT,26907,78432,Q,
20100413,CYT,48072,208317,Q,
20100414,CYT,15200,111080,Q,
20100415,CYT,7995,51024,Q,
20100416,CYT,17648,54452,Q,
20100419,CYT,13108,65533,Q,
20100420,CYT,12180,66384,Q,
20100421,CYT,53401,383916,Q,
20100422,CYT,23794,207275,Q,
20100423,CYT,43125,222817,Q,
20100426,CYT,27501,91587,Q,
20100427,CYT,42624,155048,Q,
20100428,CYT,11566,91823,Q,
20100429,CYT,15766,71568,Q,
20100430,CYT,18142,59194,Q,
20100503,CYT,30168,120744,Q,
20100504,CYT,24653,76031,Q,
20100510,CYT,13400,73488,Q,
20100511,CYT,54750,109191,Q,
20100512,CYT,12907,76205,Q,
20100513,CYT,21215,68800,Q,
20100517,CYT,22337,124080,Q,
20100518,CYT,38399,185016,Q,
20100519,CYT,24177,88363,Q,
20100520,CYT,12971,80100,Q,
20100521,CYT,43499,174772,Q,
20100524,CYT,34665,101913,Q,
20100525,CYT,45426,271983,Q,
20100526,CYT,51738,147585,Q,
20100527,CYT,17014,57313,Q,
20100528,CYT,5471,33287,Q,
20100601,CYT,14124,54724,Q,
20100602,CYT,8404,45293,Q,
20100603,CYT,30024,77196,Q,
20100604,CYT,51098,119349,Q,
20100607,CYT,26016,84462,Q,
20100608,CYT,36246,62348,Q,
20100609,CYT,16795,58234,Q,
20100610,CYT,36335,96318,Q,
20100611,CYT,35520,73621,Q,
20100614,CYT,37905,91104,Q,
20100615,CYT,119211,355592,Q,
20100616,CYT,58561,121046,Q,
20100617,CYT,30055,67248,Q,
20100618,CYT,22843,71516,Q,
20100621,CYT,29065,66862,Q,
20100622,CYT,45643,149289,Q,
20100623,CYT,15579,60029,Q,
20100624,CYT,11672,27064,Q,
20100625,CYT,24235,60934,Q,
20100628,CYT,29259,164054,Q,
20100629,CYT,21785,71193,Q,
20100630,CYT,34368,120915,Q,
20100701,CYT,36753,79687,Q,
20100702,CYT,15965,51905,Q,
20100706,CYT,17713,90833,Q,
20100707,CYT,79733,138241,Q,
20100708,CYT,66228,129534,Q,
20100709,CYT,19750,68145,Q,
20110804,CYT,15346,83110,,0.0
