,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CYTR,86241,487280,Q,
20100105,CYTR,103255,658923,Q,
20100106,CYTR,23300,225635,Q,
20100107,CYTR,57144,183435,Q,
20100108,CYTR,1114804,3290618,Q,
20100111,CYTR,191580,1056410,Q,
20100112,CYTR,622419,1853290,Q,
20100113,CYTR,1027931,3263602,Q,
20100114,CYTR,419195,1489287,Q,
20100115,CYTR,78812,324723,Q,
20100119,CYTR,130011,506291,Q,
20100120,CYTR,74960,330017,Q,
20100121,CYTR,255804,613699,Q,
20100122,CYTR,126397,530497,Q,
20100125,CYTR,249018,969918,Q,
20100126,CYTR,143140,384971,Q,
20100127,CYTR,164368,370996,Q,
20100128,CYTR,350468,658309,Q,
20100129,CYTR,128002,387677,Q,
20100201,CYTR,69412,180305,Q,
20100202,CYTR,93383,318331,Q,
20100203,CYTR,149288,362523,Q,
20100204,CYTR,88126,436652,Q,
20100205,CYTR,123077,339784,Q,
20100208,CYTR,59325,152735,Q,
20100209,CYTR,39675,247898,Q,
20100210,CYTR,45890,141054,Q,
20100211,CYTR,70435,326041,Q,
20100212,CYTR,18024,205221,Q,
20100216,CYTR,30125,192154,Q,
20100217,CYTR,67778,249480,Q,
20100218,CYTR,47484,393545,Q,
20100219,CYTR,47922,166665,Q,
20100222,CYTR,66292,219171,Q,
20100223,CYTR,84466,352839,Q,
20100224,CYTR,27100,212335,Q,
20100225,CYTR,21220,181565,Q,
20100226,CYTR,98576,234636,Q,
20100301,CYTR,56559,135026,Q,
20100302,CYTR,126879,265901,Q,
20100303,CYTR,123268,387583,Q,
20100304,CYTR,30492,170581,Q,
20100305,CYTR,83162,236737,Q,
20100308,CYTR,44601,164551,Q,
20100309,CYTR,52743,296406,Q,
20100310,CYTR,28456,168445,Q,
20100311,CYTR,389052,1335788,Q,
20100312,CYTR,165016,613800,Q,
20100315,CYTR,102507,432666,Q,
20100316,CYTR,282502,625611,Q,
20100317,CYTR,71469,282366,Q,
20100318,CYTR,146885,443677,Q,
20100319,CYTR,546538,1362230,Q,
20100322,CYTR,1201316,2909651,Q,
20100323,CYTR,617223,2117844,Q,
20100324,CYTR,106717,526568,Q,
20100325,CYTR,202115,668137,Q,
20100326,CYTR,176152,822083,Q,
20100329,CYTR,232126,739127,Q,
20100330,CYTR,271455,962655,Q,
20100331,CYTR,119895,436637,Q,
20100401,CYTR,174422,490910,Q,
20100405,CYTR,145722,506989,Q,
20100406,CYTR,109521,483553,Q,
20100407,CYTR,318950,1098989,Q,
20100408,CYTR,135205,439235,Q,
20100409,CYTR,71561,302708,Q,
20100412,CYTR,65062,283849,Q,
20100413,CYTR,147455,429161,Q,
20100414,CYTR,75309,387168,Q,
20100415,CYTR,31752,385708,Q,
20100416,CYTR,75582,400088,Q,
20100419,CYTR,293575,626653,Q,
20100420,CYTR,1325754,3911475,Q,
20100421,CYTR,196812,852240,Q,
20100422,CYTR,66909,418822,Q,
20100423,CYTR,104867,475140,Q,
20100426,CYTR,245367,507505,Q,
20100427,CYTR,328143,1215231,Q,
20100428,CYTR,189359,557448,Q,
20100429,CYTR,481946,1335093,Q,
20100430,CYTR,905563,2312391,Q,
20100503,CYTR,277555,1219459,Q,
20100504,CYTR,149446,672479,Q,
20100510,CYTR,119159,472567,Q,
20100511,CYTR,87963,297995,Q,
20100512,CYTR,84334,306179,Q,
20100513,CYTR,77517,256258,Q,
20100517,CYTR,140843,240876,Q,
20100518,CYTR,57470,188019,Q,
20100519,CYTR,121154,457037,Q,
20100520,CYTR,323657,1261754,Q,
20100521,CYTR,38298,391500,Q,
20100524,CYTR,47356,208328,Q,
20100525,CYTR,100767,486076,Q,
20100526,CYTR,87896,284381,Q,
20100527,CYTR,43822,340919,Q,
20100528,CYTR,179485,652019,Q,
20100601,CYTR,19403,168215,Q,
20100602,CYTR,66868,488135,Q,
20100603,CYTR,43300,333489,Q,
20100604,CYTR,115091,387073,Q,
20100607,CYTR,39062,377372,Q,
20100608,CYTR,79025,778753,Q,
20100609,CYTR,120090,432375,Q,
20100610,CYTR,252168,598175,Q,
20100611,CYTR,62156,148323,Q,
20100614,CYTR,151155,360023,Q,
20100615,CYTR,76432,249131,Q,
20100616,CYTR,80329,269231,Q,
20100617,CYTR,36669,181733,Q,
20100618,CYTR,16147,106258,Q,
20100621,CYTR,40877,135559,Q,
20100622,CYTR,40693,209175,Q,
20100623,CYTR,17918,131771,Q,
20100624,CYTR,25000,187784,Q,
20100625,CYTR,227331,558447,Q,
20100628,CYTR,42751,164247,Q,
20100629,CYTR,133412,282183,Q,
20100630,CYTR,81435,185727,Q,
20100701,CYTR,74966,342970,Q,
20100702,CYTR,7903,60452,Q,
20100706,CYTR,38858,380887,Q,
20100707,CYTR,160065,600297,Q,
20100708,CYTR,80848,179302,Q,
20100709,CYTR,83426,203802,Q,
20110804,CYTR,241736,766618,,3900.0
