,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,DCT,186024,625637,Q,
20100105,DCT,641284,2410093,Q,
20100106,DCT,429329,1813472,Q,
20100107,DCT,369217,1931644,Q,
20100108,DCT,919522,2853029,Q,
20100111,DCT,239357,1772804,Q,
20100112,DCT,1423793,5188534,Q,
20100113,DCT,358169,718268,Q,
20100114,DCT,412101,595814,Q,
20100115,DCT,245143,417120,Q,
20100119,DCT,139996,412166,Q,
20100120,DCT,97773,170767,Q,
20100121,DCT,160538,285044,Q,
20100122,DCT,632481,1120616,Q,
20100125,DCT,484300,1085568,Q,
20100126,DCT,298213,583654,Q,
20100127,DCT,501228,782369,Q,
20100128,DCT,319981,516229,Q,
20100129,DCT,190611,282890,Q,
20100201,DCT,107432,194749,Q,
20100202,DCT,487066,676031,Q,
20100203,DCT,103637,173034,Q,
20100204,DCT,303168,516714,Q,
20100205,DCT,81994,166289,Q,
20100208,DCT,134145,324834,Q,
20100209,DCT,81063,245492,Q,
20100210,DCT,176623,268807,Q,
20100211,DCT,313646,706645,Q,
20100212,DCT,822123,1623563,Q,
20100216,DCT,313837,481186,Q,
20100217,DCT,466490,765094,Q,
20100218,DCT,54867,293273,Q,
20100219,DCT,100160,1046247,Q,
20100222,DCT,64509,223796,Q,
20100223,DCT,102551,348022,Q,
20100224,DCT,195487,442979,Q,
20100225,DCT,86030,335278,Q,
20100226,DCT,341025,785317,Q,
20100301,DCT,52075,132241,Q,
20100302,DCT,70858,148122,Q,
20100303,DCT,167680,313510,Q,
20100304,DCT,53148,201507,Q,
20100305,DCT,133461,486670,Q,
20100308,DCT,110746,402307,Q,
20100309,DCT,169181,593546,Q,
20100310,DCT,126364,1404167,Q,
20100311,DCT,297945,2090790,Q,
20100312,DCT,78477,245810,Q,
20100315,DCT,114291,222596,Q,
20100316,DCT,109554,220189,Q,
20100317,DCT,65580,310541,Q,
20100318,DCT,34417,183787,Q,
20100319,DCT,105250,1067184,Q,
20100322,DCT,70978,211263,Q,
20100323,DCT,108595,217457,Q,
20100324,DCT,54316,153633,Q,
20100325,DCT,62514,424178,Q,
20100326,DCT,150548,291630,Q,
20100329,DCT,123998,419167,Q,
20100330,DCT,137667,368572,Q,
20100331,DCT,322230,510415,Q,
20100401,DCT,121061,248855,Q,
20100405,DCT,186361,543611,Q,
20100406,DCT,102258,514996,Q,
20100407,DCT,315040,766641,Q,
20100408,DCT,308911,647075,Q,
20100409,DCT,215799,398047,Q,
20100412,DCT,258258,642528,Q,
20100413,DCT,101717,462204,Q,
20100414,DCT,165385,390600,Q,
20100415,DCT,453811,657719,Q,
20100416,DCT,226294,574133,Q,
20100419,DCT,69260,275675,Q,
20100420,DCT,198448,602671,Q,
20100421,DCT,52964,272873,Q,
20100422,DCT,77943,224204,Q,
20100423,DCT,64055,257473,Q,
20100426,DCT,86059,496697,Q,
20100427,DCT,314884,788568,Q,
20100428,DCT,142846,414159,Q,
20100429,DCT,124569,251478,Q,
20100430,DCT,178262,736284,Q,
20100503,DCT,183224,634787,Q,
20100504,DCT,424783,1063304,Q,
20100510,DCT,319377,751383,Q,
20100511,DCT,426167,747428,Q,
20100512,DCT,660192,994033,Q,
20100513,DCT,208524,327359,Q,
20100517,DCT,141598,323727,Q,
20100518,DCT,312145,755247,Q,
20100519,DCT,366131,617383,Q,
20100520,DCT,388286,940553,Q,
20100521,DCT,159933,378685,Q,
20100524,DCT,337486,591496,Q,
20100525,DCT,174799,418053,Q,
20100526,DCT,155535,459048,Q,
20100527,DCT,269416,746579,Q,
20100528,DCT,155702,404378,Q,
20100601,DCT,176290,684938,Q,
20100602,DCT,271293,2720585,Q,
20100603,DCT,291900,720929,Q,
20100604,DCT,332459,719260,Q,
20100607,DCT,319766,929529,Q,
20100608,DCT,383316,747858,Q,
20100609,DCT,246474,455683,Q,
20100610,DCT,150237,305608,Q,
20100611,DCT,93417,198742,Q,
20100614,DCT,900246,2802532,Q,
20100615,DCT,1328972,1813667,Q,
20100616,DCT,1252161,1629457,Q,
20100617,DCT,687629,1043321,Q,
20100618,DCT,1733792,1986257,Q,
20100621,DCT,1712012,2096033,Q,
20100622,DCT,1796846,2504533,Q,
20100623,DCT,489853,789878,Q,
20100624,DCT,1219948,1887639,Q,
20100625,DCT,485613,901368,Q,
20100628,DCT,157198,283504,Q,
20100629,DCT,161483,302911,Q,
20100630,DCT,436522,1020272,Q,
20100701,DCT,264558,699875,Q,
20100702,DCT,297526,528392,Q,
20100706,DCT,453186,793411,Q,
20100707,DCT,235275,422529,Q,
20100708,DCT,123486,276230,Q,
20100709,DCT,45593,80212,Q,
20110804,DCT,364832,639033,,100.0
