,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,DDE,7859,22996,Q,
20100105,DDE,6910,33919,Q,
20100106,DDE,6259,19064,Q,
20100107,DDE,8940,11659,Q,
20100108,DDE,7454,17979,Q,
20100111,DDE,9050,13526,Q,
20100112,DDE,8212,12267,Q,
20100113,DDE,2196,11820,Q,
20100114,DDE,1100,12564,Q,
20100115,DDE,12808,38941,Q,
20100119,DDE,9173,22734,Q,
20100120,DDE,20183,44642,Q,
20100121,DDE,34176,80535,Q,
20100122,DDE,20550,49500,Q,
20100125,DDE,11605,32102,Q,
20100126,DDE,9346,22146,Q,
20100127,DDE,6025,11001,Q,
20100128,DDE,2148,17706,Q,
20100129,DDE,29341,50227,Q,
20100201,DDE,13129,17234,Q,
20100202,DDE,14139,24039,Q,
20100203,DDE,3825,7175,Q,
20100204,DDE,6311,14511,Q,
20100205,DDE,7512,21546,Q,
20100208,DDE,8383,26083,Q,
20100209,DDE,3200,7114,Q,
20100210,DDE,5800,10851,Q,
20100211,DDE,4900,25955,Q,
20100212,DDE,1142,6424,Q,
20100216,DDE,1152,2842,Q,
20100217,DDE,3342,11074,Q,
20100218,DDE,1483,2588,Q,
20100219,DDE,2600,6800,Q,
20100222,DDE,130,2190,Q,
20100223,DDE,3376,8767,Q,
20100224,DDE,2100,12426,Q,
20100225,DDE,1033,3307,Q,
20100226,DDE,3310,8648,Q,
20100301,DDE,15491,25576,Q,
20100302,DDE,14091,36575,Q,
20100303,DDE,6070,8753,Q,
20100304,DDE,1750,17350,Q,
20100305,DDE,5040,12180,Q,
20100308,DDE,3111,11072,Q,
20100309,DDE,12848,32879,Q,
20100310,DDE,7855,17070,Q,
20100311,DDE,1880,9775,Q,
20100312,DDE,5465,18215,Q,
20100315,DDE,1000,10000,Q,
20100316,DDE,3400,9000,Q,
20100317,DDE,1800,5836,Q,
20100318,DDE,6906,15267,Q,
20100319,DDE,4900,20711,Q,
20100322,DDE,24491,42656,Q,
20100323,DDE,4536,25518,Q,
20100324,DDE,2250,9677,Q,
20100325,DDE,9454,19738,Q,
20100326,DDE,3635,14301,Q,
20100329,DDE,3703,17085,Q,
20100330,DDE,3960,70640,Q,
20100331,DDE,1787,7180,Q,
20100401,DDE,3400,7153,Q,
20100405,DDE,17435,39735,Q,
20100406,DDE,5729,12209,Q,
20100407,DDE,3982,9132,Q,
20100408,DDE,10157,20737,Q,
20100409,DDE,10431,16831,Q,
20100412,DDE,6867,15566,Q,
20100413,DDE,7749,14474,Q,
20100414,DDE,18075,31043,Q,
20100415,DDE,6592,15079,Q,
20100416,DDE,4815,12306,Q,
20100419,DDE,4730,11540,Q,
20100420,DDE,6235,11358,Q,
20100421,DDE,4895,15373,Q,
20100422,DDE,671,5876,Q,
20100423,DDE,2600,14725,Q,
20100426,DDE,2189,11991,Q,
20100427,DDE,2147,12438,Q,
20100428,DDE,503,11640,Q,
20100429,DDE,6647,37613,Q,
20100430,DDE,2100,12451,Q,
20100503,DDE,17079,25243,Q,
20100504,DDE,13431,19155,Q,
20100510,DDE,9034,15567,Q,
20100511,DDE,4101,5898,Q,
20100512,DDE,18440,24327,Q,
20100513,DDE,9002,26998,Q,
20100517,DDE,11648,39689,Q,
20100518,DDE,10700,75213,Q,
20100519,DDE,10200,55400,Q,
20100520,DDE,22083,43284,Q,
20100521,DDE,6550,14151,Q,
20100524,DDE,2638,11129,Q,
20100525,DDE,6518,19958,Q,
20100526,DDE,25187,42192,Q,
20100527,DDE,3800,15100,Q,
20100528,DDE,8883,14608,Q,
20100601,DDE,14324,24779,Q,
20100602,DDE,9406,33642,Q,
20100603,DDE,7107,18857,Q,
20100604,DDE,6371,36182,Q,
20100607,DDE,14991,38264,Q,
20100608,DDE,8057,34773,Q,
20100609,DDE,8712,38903,Q,
20100610,DDE,25950,66255,Q,
20100611,DDE,18500,31685,Q,
20100614,DDE,15432,39863,Q,
20100615,DDE,9100,23534,Q,
20100616,DDE,2970,10472,Q,
20100617,DDE,8300,18725,Q,
20100618,DDE,13435,17399,Q,
20100621,DDE,6607,13831,Q,
20100622,DDE,10088,23165,Q,
20100623,DDE,7808,12458,Q,
20100624,DDE,9990,23163,Q,
20100625,DDE,20303,40021,Q,
20100628,DDE,10070,33018,Q,
20100629,DDE,13330,30429,Q,
20100630,DDE,12306,28210,Q,
20100701,DDE,17900,41330,Q,
20100702,DDE,18849,32550,Q,
20100706,DDE,8418,21619,Q,
20100707,DDE,3507,16441,Q,
20100708,DDE,9085,15903,Q,
20100709,DDE,6600,12473,Q,
20110804,DDE,5000,20350,,0.0
