,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,DIA,1167531,3484559,Q,
20100105,DIA,640974,1087932,Q,
20100106,DIA,588756,1178569,Q,
20100107,DIA,512825,1159645,Q,
20100108,DIA,616637,1071761,Q,
20100111,DIA,603129,1266007,Q,
20100112,DIA,1046776,1841057,Q,
20100113,DIA,1031015,1868287,Q,
20100114,DIA,582679,1138168,Q,
20100115,DIA,950803,2125161,Q,
20100119,DIA,934966,3020596,Q,
20100120,DIA,1126468,2095905,Q,
20100121,DIA,2056101,3936628,Q,
20100122,DIA,2545347,4161330,Q,
20100125,DIA,620911,2446131,Q,
20100126,DIA,1876776,5225165,Q,
20100127,DIA,1216569,2254668,Q,
20100128,DIA,1270943,2520070,Q,
20100129,DIA,1297843,2214190,Q,
20100201,DIA,783275,1506079,Q,
20100202,DIA,747098,1566897,Q,
20100203,DIA,476617,1202637,Q,
20100204,DIA,1563697,2596496,Q,
20100205,DIA,2257833,4334067,Q,
20100208,DIA,900307,1656159,Q,
20100209,DIA,1227180,2620017,Q,
20100210,DIA,796462,1559361,Q,
20100211,DIA,994133,1578522,Q,
20100212,DIA,1199187,2000852,Q,
20100216,DIA,767971,1805822,Q,
20100217,DIA,835731,1439079,Q,
20100218,DIA,827151,1581752,Q,
20100219,DIA,967980,1553165,Q,
20100222,DIA,665689,1006082,Q,
20100223,DIA,939942,1602066,Q,
20100224,DIA,881903,2202580,Q,
20100225,DIA,877053,1604874,Q,
20100226,DIA,662771,1271436,Q,
20100301,DIA,587918,943781,Q,
20100302,DIA,722374,1173621,Q,
20100303,DIA,514958,966166,Q,
20100304,DIA,596424,1137152,Q,
20100305,DIA,718630,1543281,Q,
20100308,DIA,787523,1358750,Q,
20100309,DIA,1083618,2030268,Q,
20100310,DIA,684909,1191470,Q,
20100311,DIA,527878,1287965,Q,
20100312,DIA,568536,1171937,Q,
20100315,DIA,682245,1186785,Q,
20100316,DIA,596336,1083283,Q,
20100317,DIA,648281,1228997,Q,
20100318,DIA,568514,1675769,Q,
20100319,DIA,1043036,2940198,Q,
20100322,DIA,836704,1407319,Q,
20100323,DIA,1044155,2689553,Q,
20100324,DIA,794103,1347094,Q,
20100325,DIA,1047192,1945633,Q,
20100326,DIA,673164,1411601,Q,
20100329,DIA,1195375,1654212,Q,
20100330,DIA,363921,917296,Q,
20100331,DIA,545486,1100481,Q,
20100401,DIA,1082106,1887080,Q,
20100405,DIA,468975,958009,Q,
20100406,DIA,314431,800747,Q,
20100407,DIA,715825,1581169,Q,
20100408,DIA,671425,1549550,Q,
20100409,DIA,735440,1347097,Q,
20100412,DIA,385173,860661,Q,
20100413,DIA,387618,1417765,Q,
20100414,DIA,611723,1424581,Q,
20100415,DIA,1632364,2256575,Q,
20100416,DIA,2197210,4014756,Q,
20100419,DIA,883315,1654880,Q,
20100420,DIA,921819,1498871,Q,
20100421,DIA,1764701,2379670,Q,
20100422,DIA,822261,1467193,Q,
20100423,DIA,1187762,4469113,Q,
20100426,DIA,627792,2320255,Q,
20100427,DIA,1631913,3102588,Q,
20100428,DIA,989245,1689976,Q,
20100429,DIA,595173,1178028,Q,
20100430,DIA,956884,1666583,Q,
20100503,DIA,692389,1357348,Q,
20100504,DIA,1775651,2978936,Q,
20100510,DIA,1457229,2927073,Q,
20100511,DIA,1917215,2958320,Q,
20100512,DIA,1518030,2554754,Q,
20100513,DIA,1070626,1810936,Q,
20100517,DIA,1516581,2618806,Q,
20100518,DIA,1437259,2714987,Q,
20100519,DIA,1917526,3824067,Q,
20100520,DIA,2260675,5253640,Q,
20100521,DIA,2898902,6296658,Q,
20100524,DIA,1594481,3079298,Q,
20100525,DIA,2190784,4759076,Q,
20100526,DIA,1595612,3645874,Q,
20100527,DIA,2002617,3895769,Q,
20100528,DIA,1623708,3081048,Q,
20100601,DIA,1463663,3122269,Q,
20100602,DIA,1569937,4005427,Q,
20100603,DIA,1046360,2054947,Q,
20100604,DIA,2791099,4462975,Q,
20100607,DIA,734251,1600953,Q,
20100608,DIA,2052792,3565155,Q,
20100609,DIA,3012880,4055318,Q,
20100610,DIA,1271796,2266663,Q,
20100611,DIA,889987,1475392,Q,
20100614,DIA,929647,1468386,Q,
20100615,DIA,1396726,2868091,Q,
20100616,DIA,774023,1885647,Q,
20100617,DIA,2176265,2796125,Q,
20100618,DIA,969755,1374382,Q,
20100621,DIA,896120,1529214,Q,
20100622,DIA,952535,1687415,Q,
20100623,DIA,1118840,1881429,Q,
20100624,DIA,1269787,2148607,Q,
20100625,DIA,941374,2094130,Q,
20100628,DIA,461102,798468,Q,
20100629,DIA,1158737,2111562,Q,
20100630,DIA,1114956,1891676,Q,
20100701,DIA,1172514,2181321,Q,
20100702,DIA,1387596,2176236,Q,
20100706,DIA,801856,1368818,Q,
20100707,DIA,907186,1764327,Q,
20100708,DIA,761830,1264451,Q,
20100709,DIA,564321,940370,Q,
20110804,DIA,1224519,3588722,,0.0
