,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,DIVX,33947,108619,Q,
20100105,DIVX,8268,44368,Q,
20100106,DIVX,28307,65784,Q,
20100107,DIVX,10289,25015,Q,
20100108,DIVX,14583,59428,Q,
20100111,DIVX,16652,60425,Q,
20100112,DIVX,8869,51684,Q,
20100113,DIVX,5401,21243,Q,
20100114,DIVX,5243,36679,Q,
20100115,DIVX,23024,78157,Q,
20100119,DIVX,13888,65978,Q,
20100120,DIVX,11875,71878,Q,
20100121,DIVX,11300,39410,Q,
20100122,DIVX,24590,65864,Q,
20100125,DIVX,600,19437,Q,
20100126,DIVX,4200,12391,Q,
20100127,DIVX,8380,18037,Q,
20100128,DIVX,3000,27149,Q,
20100129,DIVX,16435,36110,Q,
20100201,DIVX,18400,42975,Q,
20100202,DIVX,32184,57363,Q,
20100203,DIVX,8665,23760,Q,
20100204,DIVX,8750,20732,Q,
20100205,DIVX,14700,38829,Q,
20100208,DIVX,3400,16512,Q,
20100209,DIVX,25123,58509,Q,
20100210,DIVX,17507,29435,Q,
20100211,DIVX,23116,115400,Q,
20100212,DIVX,18084,54242,Q,
20100216,DIVX,27033,72634,Q,
20100217,DIVX,32797,126702,Q,
20100218,DIVX,15334,85223,Q,
20100219,DIVX,6269,92966,Q,
20100222,DIVX,9775,45289,Q,
20100223,DIVX,15725,94477,Q,
20100224,DIVX,20740,78593,Q,
20100225,DIVX,4400,14664,Q,
20100226,DIVX,11045,26656,Q,
20100301,DIVX,3946,25967,Q,
20100302,DIVX,5913,29633,Q,
20100303,DIVX,61912,226141,Q,
20100304,DIVX,201855,497677,Q,
20100305,DIVX,34089,179962,Q,
20100308,DIVX,20475,150882,Q,
20100309,DIVX,47872,110281,Q,
20100310,DIVX,18383,75965,Q,
20100311,DIVX,27339,69927,Q,
20100312,DIVX,9930,62939,Q,
20100315,DIVX,72586,196855,Q,
20100316,DIVX,27608,96549,Q,
20100317,DIVX,10000,51686,Q,
20100318,DIVX,18876,55853,Q,
20100319,DIVX,16655,52786,Q,
20100322,DIVX,10200,61653,Q,
20100323,DIVX,63065,128200,Q,
20100324,DIVX,13709,32977,Q,
20100325,DIVX,29515,51192,Q,
20100326,DIVX,14200,50637,Q,
20100329,DIVX,10497,41605,Q,
20100330,DIVX,6779,19348,Q,
20100331,DIVX,28501,54412,Q,
20100401,DIVX,38341,75695,Q,
20100405,DIVX,9926,35629,Q,
20100406,DIVX,48393,79927,Q,
20100407,DIVX,11299,31244,Q,
20100408,DIVX,5270,33795,Q,
20100409,DIVX,21653,105287,Q,
20100412,DIVX,163699,231131,Q,
20100413,DIVX,15601,63370,Q,
20100414,DIVX,26941,75811,Q,
20100415,DIVX,1491,18415,Q,
20100416,DIVX,5700,40950,Q,
20100419,DIVX,10180,48462,Q,
20100420,DIVX,2661,32943,Q,
20100421,DIVX,6200,40720,Q,
20100422,DIVX,16664,32299,Q,
20100423,DIVX,22979,114225,Q,
20100426,DIVX,86805,200602,Q,
20100427,DIVX,21975,58524,Q,
20100428,DIVX,69396,118004,Q,
20100429,DIVX,157420,491891,Q,
20100430,DIVX,41404,147877,Q,
20100503,DIVX,13466,59509,Q,
20100504,DIVX,55377,210060,Q,
20100510,DIVX,500,36588,Q,
20100511,DIVX,5444,43274,Q,
20100512,DIVX,121216,302800,Q,
20100513,DIVX,73542,245885,Q,
20100517,DIVX,13104,103394,Q,
20100518,DIVX,15614,61640,Q,
20100519,DIVX,20135,130481,Q,
20100520,DIVX,33778,129463,Q,
20100521,DIVX,57915,130801,Q,
20100524,DIVX,31509,98601,Q,
20100525,DIVX,29716,70891,Q,
20100526,DIVX,90691,329750,Q,
20100527,DIVX,41427,140509,Q,
20100528,DIVX,56414,91171,Q,
20100601,DIVX,38007,115785,Q,
20100602,DIVX,642827,2395835,Q,
20100603,DIVX,103670,514551,Q,
20100604,DIVX,65671,239724,Q,
20100607,DIVX,66501,254199,Q,
20100608,DIVX,84825,324304,Q,
20100609,DIVX,17294,144565,Q,
20100610,DIVX,19284,146892,Q,
20100611,DIVX,65474,162728,Q,
20100614,DIVX,37217,201556,Q,
20100615,DIVX,12276,159321,Q,
20100616,DIVX,14533,62356,Q,
20100617,DIVX,20822,184637,Q,
20100618,DIVX,12134,111114,Q,
20100621,DIVX,18779,115796,Q,
20100622,DIVX,17559,36099,Q,
20100623,DIVX,28179,58609,Q,
20100624,DIVX,3307,20366,Q,
20100625,DIVX,40359,62037,Q,
20100628,DIVX,17875,44526,Q,
20100629,DIVX,31845,160579,Q,
20100630,DIVX,19381,166006,Q,
20100701,DIVX,49319,100863,Q,
20100702,DIVX,6800,124983,Q,
20100706,DIVX,13945,60832,Q,
20100707,DIVX,12500,109141,Q,
20100708,DIVX,19770,79150,Q,
20100709,DIVX,12693,43481,Q,
