,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,DOV,80214,291632,Q,
20100105,DOV,39043,115956,Q,
20100106,DOV,138147,339888,Q,
20100107,DOV,82420,288379,Q,
20100108,DOV,107634,335544,Q,
20100111,DOV,132560,256275,Q,
20100112,DOV,178726,477644,Q,
20100113,DOV,354635,1622726,Q,
20100114,DOV,251741,509966,Q,
20100115,DOV,275194,446277,Q,
20100119,DOV,228035,422476,Q,
20100120,DOV,274648,590278,Q,
20100121,DOV,218272,407156,Q,
20100122,DOV,82872,198879,Q,
20100125,DOV,131216,501440,Q,
20100126,DOV,33463,204912,Q,
20100127,DOV,45822,419161,Q,
20100128,DOV,174240,632867,Q,
20100129,DOV,254669,573256,Q,
20100201,DOV,38210,164560,Q,
20100202,DOV,255788,490404,Q,
20100203,DOV,136617,374048,Q,
20100204,DOV,131076,474789,Q,
20100205,DOV,80561,686080,Q,
20100208,DOV,75280,447644,Q,
20100209,DOV,135371,617616,Q,
20100210,DOV,84027,305598,Q,
20100211,DOV,111179,441498,Q,
20100212,DOV,71934,213890,Q,
20100216,DOV,84614,330441,Q,
20100217,DOV,149825,512076,Q,
20100218,DOV,191308,541429,Q,
20100219,DOV,135236,260204,Q,
20100222,DOV,155696,264511,Q,
20100223,DOV,104548,443484,Q,
20100224,DOV,208800,620299,Q,
20100225,DOV,131549,410890,Q,
20100226,DOV,132628,285783,Q,
20100301,DOV,76768,233322,Q,
20100302,DOV,84733,249430,Q,
20100303,DOV,95123,241375,Q,
20100304,DOV,64408,188555,Q,
20100305,DOV,55553,294731,Q,
20100308,DOV,42110,109602,Q,
20100309,DOV,80005,185364,Q,
20100310,DOV,97467,210458,Q,
20100311,DOV,61521,180236,Q,
20100312,DOV,36439,97460,Q,
20100315,DOV,39178,211371,Q,
20100316,DOV,98632,396349,Q,
20100317,DOV,43223,206566,Q,
20100318,DOV,99660,268017,Q,
20100319,DOV,66105,156535,Q,
20100322,DOV,13953,109214,Q,
20100323,DOV,128374,521791,Q,
20100324,DOV,78674,332046,Q,
20100325,DOV,139522,400594,Q,
20100326,DOV,220022,589737,Q,
20100329,DOV,81464,414259,Q,
20100330,DOV,361921,488350,Q,
20100331,DOV,31317,169828,Q,
20100401,DOV,33454,366441,Q,
20100405,DOV,77168,338998,Q,
20100406,DOV,29335,238525,Q,
20100407,DOV,66793,179288,Q,
20100408,DOV,40528,179640,Q,
20100409,DOV,78346,235478,Q,
20100412,DOV,34982,161081,Q,
20100413,DOV,51630,218593,Q,
20100414,DOV,60789,252978,Q,
20100415,DOV,84997,282824,Q,
20100416,DOV,30650,104325,Q,
20100419,DOV,24233,90145,Q,
20100420,DOV,26300,320370,Q,
20100421,DOV,65105,257367,Q,
20100422,DOV,137253,445442,Q,
20100423,DOV,612190,1805230,Q,
20100426,DOV,279936,636377,Q,
20100427,DOV,138324,692218,Q,
20100428,DOV,67556,236130,Q,
20100429,DOV,40556,525679,Q,
20100430,DOV,102782,469033,Q,
20100503,DOV,69008,254013,Q,
20100504,DOV,170177,360419,Q,
20100510,DOV,77345,329590,Q,
20100511,DOV,61674,414645,Q,
20100512,DOV,28371,162346,Q,
20100513,DOV,93915,179714,Q,
20100517,DOV,106185,219464,Q,
20100518,DOV,43646,290870,Q,
20100519,DOV,85147,529235,Q,
20100520,DOV,135344,970222,Q,
20100521,DOV,130773,636811,Q,
20100524,DOV,116209,600149,Q,
20100525,DOV,127032,406868,Q,
20100526,DOV,113796,507933,Q,
20100527,DOV,40279,182739,Q,
20100528,DOV,135312,321394,Q,
20100601,DOV,100771,280742,Q,
20100602,DOV,150772,393186,Q,
20100603,DOV,120256,382276,Q,
20100604,DOV,108905,238207,Q,
20100607,DOV,120698,239110,Q,
20100608,DOV,55004,206731,Q,
20100609,DOV,149427,240652,Q,
20100610,DOV,80016,183014,Q,
20100611,DOV,117185,288872,Q,
20100614,DOV,99187,294614,Q,
20100615,DOV,76064,256076,Q,
20100616,DOV,221215,324121,Q,
20100617,DOV,142891,490423,Q,
20100618,DOV,64586,242178,Q,
20100621,DOV,89683,211853,Q,
20100622,DOV,128421,1154921,Q,
20100623,DOV,134514,553513,Q,
20100624,DOV,85652,211955,Q,
20100625,DOV,70007,245291,Q,
20100628,DOV,37202,172880,Q,
20100629,DOV,111820,287973,Q,
20100630,DOV,79814,196078,Q,
20100701,DOV,76246,299826,Q,
20100702,DOV,72460,213191,Q,
20100706,DOV,206180,381988,Q,
20100707,DOV,116291,229346,Q,
20100708,DOV,28189,91594,Q,
20100709,DOV,72493,141225,Q,
20110804,DOV,139247,338598,,100.0
