,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,DRE,365282,1031308,Q,
20100105,DRE,853733,1461301,Q,
20100106,DRE,810986,1729687,Q,
20100107,DRE,301030,757314,Q,
20100108,DRE,641596,1510032,Q,
20100111,DRE,353906,722972,Q,
20100112,DRE,555157,900912,Q,
20100113,DRE,431757,746331,Q,
20100114,DRE,166237,402376,Q,
20100115,DRE,244326,538345,Q,
20100119,DRE,285416,1006690,Q,
20100120,DRE,229930,1097063,Q,
20100121,DRE,218573,767960,Q,
20100122,DRE,182651,523931,Q,
20100125,DRE,201553,619679,Q,
20100126,DRE,220819,1008930,Q,
20100127,DRE,302956,695569,Q,
20100128,DRE,1280433,2661838,Q,
20100129,DRE,360825,650674,Q,
20100201,DRE,155841,732132,Q,
20100202,DRE,487917,2042204,Q,
20100203,DRE,403502,719918,Q,
20100204,DRE,239288,592859,Q,
20100205,DRE,241912,1024336,Q,
20100208,DRE,251335,612204,Q,
20100209,DRE,234050,1044450,Q,
20100210,DRE,1510757,3970217,Q,
20100211,DRE,570535,1370099,Q,
20100212,DRE,408133,857847,Q,
20100216,DRE,212780,671774,Q,
20100217,DRE,121103,818454,Q,
20100218,DRE,235392,826650,Q,
20100219,DRE,94409,473261,Q,
20100222,DRE,77224,590673,Q,
20100223,DRE,97237,385869,Q,
20100224,DRE,101912,479826,Q,
20100225,DRE,152690,463885,Q,
20100226,DRE,127641,411029,Q,
20100301,DRE,352510,910487,Q,
20100302,DRE,280838,1489834,Q,
20100303,DRE,126101,514037,Q,
20100304,DRE,237669,770081,Q,
20100305,DRE,487946,1216358,Q,
20100308,DRE,118291,375570,Q,
20100309,DRE,317940,1385606,Q,
20100310,DRE,151819,633141,Q,
20100311,DRE,190252,541966,Q,
20100312,DRE,175079,646972,Q,
20100315,DRE,92977,328786,Q,
20100316,DRE,148102,581757,Q,
20100317,DRE,271430,656353,Q,
20100318,DRE,78514,377664,Q,
20100319,DRE,138826,379793,Q,
20100322,DRE,132155,295395,Q,
20100323,DRE,133514,326043,Q,
20100324,DRE,126777,326454,Q,
20100325,DRE,167626,634474,Q,
20100326,DRE,147420,459791,Q,
20100329,DRE,131901,945092,Q,
20100330,DRE,171478,902356,Q,
20100331,DRE,196244,675328,Q,
20100401,DRE,212977,751654,Q,
20100405,DRE,118380,795774,Q,
20100406,DRE,323280,859908,Q,
20100407,DRE,407079,1311735,Q,
20100408,DRE,182828,418461,Q,
20100409,DRE,187286,1472007,Q,
20100412,DRE,197664,855644,Q,
20100413,DRE,119799,303409,Q,
20100414,DRE,438192,1315238,Q,
20100415,DRE,542648,992963,Q,
20100416,DRE,374816,763303,Q,
20100419,DRE,248360,450980,Q,
20100420,DRE,389694,556636,Q,
20100421,DRE,183804,570641,Q,
20100422,DRE,286259,932646,Q,
20100423,DRE,742901,1932170,Q,
20100426,DRE,640492,1259354,Q,
20100427,DRE,188331,840674,Q,
20100428,DRE,216791,547733,Q,
20100429,DRE,178520,565731,Q,
20100430,DRE,416794,723972,Q,
20100503,DRE,211301,690441,Q,
20100504,DRE,337215,814981,Q,
20100510,DRE,443939,977788,Q,
20100511,DRE,417096,882795,Q,
20100512,DRE,886616,1302668,Q,
20100513,DRE,503074,2001701,Q,
20100517,DRE,385641,832084,Q,
20100518,DRE,317331,1173466,Q,
20100519,DRE,359002,1348818,Q,
20100520,DRE,471521,1031683,Q,
20100521,DRE,338977,866541,Q,
20100524,DRE,461765,931278,Q,
20100525,DRE,243208,1351926,Q,
20100526,DRE,209520,482420,Q,
20100527,DRE,181072,438551,Q,
20100528,DRE,233407,428846,Q,
20100601,DRE,194912,403318,Q,
20100602,DRE,444081,1023228,Q,
20100603,DRE,444023,909825,Q,
20100604,DRE,415743,678940,Q,
20100607,DRE,216180,533426,Q,
20100608,DRE,419811,734780,Q,
20100609,DRE,387708,624653,Q,
20100610,DRE,333319,793719,Q,
20100611,DRE,199078,407832,Q,
20100614,DRE,227396,534975,Q,
20100615,DRE,598408,983182,Q,
20100616,DRE,308953,838577,Q,
20100617,DRE,1474058,4733537,Q,
20100618,DRE,357584,1405498,Q,
20100621,DRE,236672,745139,Q,
20100622,DRE,287306,617148,Q,
20100623,DRE,940676,2085753,Q,
20100624,DRE,489076,1096348,Q,
20100625,DRE,222997,469635,Q,
20100628,DRE,252875,475609,Q,
20100629,DRE,633177,1151156,Q,
20100630,DRE,717336,1335023,Q,
20100701,DRE,319391,837643,Q,
20100702,DRE,400917,1089217,Q,
20100706,DRE,281543,995226,Q,
20100707,DRE,1012545,1421101,Q,
20100708,DRE,847484,3630341,Q,
20100709,DRE,575385,1866666,Q,
20110804,DRE,292784,560043,,0.0
