,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,DRL,6850,28424,Q,
20100105,DRL,88164,196468,Q,
20100106,DRL,95870,224995,Q,
20100107,DRL,67598,162082,Q,
20100108,DRL,35400,79265,Q,
20100111,DRL,22175,70490,Q,
20100112,DRL,42800,68050,Q,
20100113,DRL,3000,30809,Q,
20100114,DRL,21736,46147,Q,
20100115,DRL,38000,101271,Q,
20100119,DRL,5812,64661,Q,
20100120,DRL,2600,30679,Q,
20100121,DRL,30672,51372,Q,
20100122,DRL,21077,56988,Q,
20100125,DRL,19900,35769,Q,
20100126,DRL,12500,51070,Q,
20100127,DRL,9200,25825,Q,
20100128,DRL,9770,37627,Q,
20100129,DRL,13500,29043,Q,
20100201,DRL,19056,29855,Q,
20100202,DRL,6975,40315,Q,
20100203,DRL,21466,45011,Q,
20100204,DRL,19058,52291,Q,
20100205,DRL,28900,52961,Q,
20100208,DRL,33099,48937,Q,
20100209,DRL,4455,26786,Q,
20100210,DRL,64943,141676,Q,
20100211,DRL,20825,59509,Q,
20100212,DRL,34385,65729,Q,
20100216,DRL,14855,40203,Q,
20100217,DRL,15806,73657,Q,
20100218,DRL,12944,37694,Q,
20100219,DRL,8941,14767,Q,
20100222,DRL,10777,15127,Q,
20100223,DRL,34727,72204,Q,
20100224,DRL,34013,52311,Q,
20100225,DRL,8365,26213,Q,
20100226,DRL,19580,43529,Q,
20100301,DRL,100542,262737,Q,
20100302,DRL,24251,87383,Q,
20100303,DRL,24650,47559,Q,
20100304,DRL,43476,89684,Q,
20100305,DRL,12803,52679,Q,
20100308,DRL,16700,64564,Q,
20100309,DRL,40215,78100,Q,
20100310,DRL,46754,108216,Q,
20100311,DRL,35406,69786,Q,
20100312,DRL,16650,77779,Q,
20100315,DRL,2500,25093,Q,
20100316,DRL,54750,120996,Q,
20100317,DRL,9817,28242,Q,
20100318,DRL,17940,72044,Q,
20100319,DRL,16524,57325,Q,
20100322,DRL,86606,186203,Q,
20100323,DRL,53811,113974,Q,
20100324,DRL,20862,83692,Q,
20100325,DRL,43959,105654,Q,
20100326,DRL,28986,117800,Q,
20100329,DRL,20477,70976,Q,
20100330,DRL,65029,102239,Q,
20100331,DRL,40661,135427,Q,
20100401,DRL,7695,25864,Q,
20100405,DRL,11900,53090,Q,
20100406,DRL,39585,105805,Q,
20100407,DRL,187991,377743,Q,
20100408,DRL,132112,314432,Q,
20100409,DRL,55378,115475,Q,
20100412,DRL,46500,90767,Q,
20100413,DRL,137149,289791,Q,
20100414,DRL,74579,295727,Q,
20100415,DRL,70593,250624,Q,
20100416,DRL,102681,298506,Q,
20100419,DRL,70877,386881,Q,
20100420,DRL,64053,169141,Q,
20100421,DRL,160312,259313,Q,
20100422,DRL,25188,134469,Q,
20100423,DRL,24790,167844,Q,
20100426,DRL,63140,153165,Q,
20100427,DRL,213585,358950,Q,
20100428,DRL,56487,173711,Q,
20100429,DRL,67977,394436,Q,
20100430,DRL,289239,506384,Q,
20100503,DRL,925902,2158255,Q,
20100504,DRL,325614,552511,Q,
20100510,DRL,176735,615392,Q,
20100511,DRL,77089,282949,Q,
20100512,DRL,148057,475365,Q,
20100513,DRL,109528,437304,Q,
20100517,DRL,31471,279696,Q,
20100518,DRL,68403,200517,Q,
20100519,DRL,40000,162020,Q,
20100520,DRL,70134,298336,Q,
20100521,DRL,148623,451014,Q,
20100524,DRL,119000,223079,Q,
20100525,DRL,112797,257558,Q,
20100526,DRL,326162,581427,Q,
20100527,DRL,208769,367696,Q,
20100528,DRL,146411,266352,Q,
20100601,DRL,112098,272789,Q,
20100602,DRL,76923,160724,Q,
20100603,DRL,62686,199030,Q,
20100604,DRL,25906,94251,Q,
20100607,DRL,20368,93734,Q,
20100608,DRL,67863,136109,Q,
20100609,DRL,41176,103033,Q,
20100610,DRL,61361,143753,Q,
20100611,DRL,155797,204357,Q,
20100614,DRL,178635,405739,Q,
20100615,DRL,82183,142184,Q,
20100616,DRL,60763,112868,Q,
20100617,DRL,25848,57004,Q,
20100618,DRL,27511,74737,Q,
20100621,DRL,29780,159837,Q,
20100622,DRL,18372,120408,Q,
20100623,DRL,41317,168245,Q,
20100624,DRL,41407,147358,Q,
20100625,DRL,38804,96326,Q,
20100628,DRL,31580,107787,Q,
20100629,DRL,46387,140227,Q,
20100630,DRL,20259,63139,Q,
20100701,DRL,35777,112049,Q,
20100702,DRL,234701,345146,Q,
20100706,DRL,93518,224574,Q,
20100707,DRL,77453,208685,Q,
20100708,DRL,182025,312569,Q,
20100709,DRL,56804,197505,Q,
20110804,DRL,115840,521992,,5200.0
