,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,DSCO,1264433,2873325,Q,
20100105,DSCO,94271,665424,Q,
20100106,DSCO,136640,732556,Q,
20100107,DSCO,250982,850144,Q,
20100108,DSCO,716510,1984278,Q,
20100111,DSCO,629476,1412680,Q,
20100112,DSCO,660044,1557767,Q,
20100113,DSCO,129927,659521,Q,
20100114,DSCO,207889,464570,Q,
20100115,DSCO,173619,484405,Q,
20100119,DSCO,244671,484762,Q,
20100120,DSCO,293457,871672,Q,
20100121,DSCO,204110,815206,Q,
20100122,DSCO,131576,539182,Q,
20100125,DSCO,185448,769026,Q,
20100126,DSCO,260649,741297,Q,
20100127,DSCO,93981,443472,Q,
20100128,DSCO,46680,513354,Q,
20100129,DSCO,35454,512678,Q,
20100201,DSCO,14482,314666,Q,
20100202,DSCO,47252,359441,Q,
20100203,DSCO,88319,340025,Q,
20100204,DSCO,116596,519589,Q,
20100205,DSCO,238398,695022,Q,
20100208,DSCO,152958,610642,Q,
20100209,DSCO,101577,331503,Q,
20100210,DSCO,79975,319294,Q,
20100211,DSCO,37361,237868,Q,
20100212,DSCO,134444,431170,Q,
20100216,DSCO,880808,2657871,Q,
20100217,DSCO,335052,1071242,Q,
20100218,DSCO,2548950,7513983,Q,
20100219,DSCO,485434,1555839,Q,
20100222,DSCO,347215,1189367,Q,
20100223,DSCO,1467555,3384035,Q,
20100224,DSCO,541829,1310915,Q,
20100225,DSCO,399164,1152308,Q,
20100226,DSCO,273894,1396033,Q,
20100301,DSCO,278374,1041817,Q,
20100302,DSCO,326537,835011,Q,
20100303,DSCO,223772,649392,Q,
20100304,DSCO,294798,528354,Q,
20100305,DSCO,488037,1030077,Q,
20100308,DSCO,108563,741056,Q,
20100309,DSCO,280637,729050,Q,
20100310,DSCO,376805,1092341,Q,
20100311,DSCO,273132,561820,Q,
20100312,DSCO,151445,399490,Q,
20100315,DSCO,194096,449862,Q,
20100316,DSCO,110865,581742,Q,
20100317,DSCO,146386,546861,Q,
20100318,DSCO,88762,485301,Q,
20100319,DSCO,59897,504810,Q,
20100322,DSCO,164392,605905,Q,
20100323,DSCO,130171,711614,Q,
20100324,DSCO,314822,947958,Q,
20100325,DSCO,106880,517354,Q,
20100326,DSCO,53385,439325,Q,
20100329,DSCO,29158,246613,Q,
20100330,DSCO,84835,515738,Q,
20100331,DSCO,49243,168507,Q,
20100401,DSCO,143279,597789,Q,
20100405,DSCO,107528,444008,Q,
20100406,DSCO,123931,325784,Q,
20100407,DSCO,145033,349245,Q,
20100408,DSCO,193969,426550,Q,
20100409,DSCO,575088,1056927,Q,
20100412,DSCO,1281134,3273144,Q,
20100413,DSCO,276872,1398607,Q,
20100414,DSCO,298835,1160408,Q,
20100415,DSCO,109304,533238,Q,
20100416,DSCO,86694,598957,Q,
20100419,DSCO,226981,668569,Q,
20100420,DSCO,127533,267893,Q,
20100421,DSCO,149407,422898,Q,
20100422,DSCO,48722,440609,Q,
20100423,DSCO,164732,539023,Q,
20100426,DSCO,632013,1666701,Q,
20100427,DSCO,167921,651480,Q,
20100428,DSCO,872777,2861683,Q,
20100429,DSCO,544509,2107241,Q,
20100430,DSCO,298468,1250600,Q,
20100503,DSCO,280277,1014362,Q,
20100504,DSCO,400209,1035502,Q,
20100510,DSCO,338146,903072,Q,
20100511,DSCO,1730332,3280694,Q,
20100512,DSCO,1104315,2287283,Q,
20100513,DSCO,452193,1329864,Q,
20100517,DSCO,281119,888468,Q,
20100518,DSCO,495172,1219232,Q,
20100519,DSCO,1014968,2318699,Q,
20100520,DSCO,855489,1863465,Q,
20100521,DSCO,1659904,2640734,Q,
20100524,DSCO,595172,975681,Q,
20100525,DSCO,390419,802926,Q,
20100526,DSCO,239639,515579,Q,
20100527,DSCO,211129,570530,Q,
20100528,DSCO,386234,707871,Q,
20100601,DSCO,476856,685054,Q,
20100602,DSCO,154992,391978,Q,
20100603,DSCO,282759,535537,Q,
20100604,DSCO,129228,350659,Q,
20100607,DSCO,179697,815690,Q,
20100608,DSCO,162177,440469,Q,
20100609,DSCO,919536,4660329,Q,
20100610,DSCO,704871,1654391,Q,
20100611,DSCO,149936,428041,Q,
20100614,DSCO,350047,826042,Q,
20100615,DSCO,322153,646332,Q,
20100616,DSCO,271357,593042,Q,
20100617,DSCO,4034322,8393397,Q,
20100618,DSCO,1713844,3538310,Q,
20100621,DSCO,1798802,3333666,Q,
20100622,DSCO,632656,1271163,Q,
20100623,DSCO,877576,1650915,Q,
20100624,DSCO,600280,1192837,Q,
20100625,DSCO,728652,1743894,Q,
20100628,DSCO,327299,932797,Q,
20100629,DSCO,546364,1191658,Q,
20100630,DSCO,580216,1039151,Q,
20100701,DSCO,345733,785315,Q,
20100702,DSCO,320993,551234,Q,
20100706,DSCO,383229,894368,Q,
20100707,DSCO,248810,786480,Q,
20100708,DSCO,320447,628656,Q,
20100709,DSCO,1119587,2596214,Q,
20110804,DSCO,31800,152909,,7500.0
