,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,DTF,517,737,Q,
20100106,DTF,3550,4941,Q,
20100107,DTF,2300,4100,Q,
20100108,DTF,1100,10602,Q,
20100111,DTF,100,2800,Q,
20100112,DTF,923,2723,Q,
20100113,DTF,200,3250,Q,
20100114,DTF,4200,5206,Q,
20100115,DTF,2047,3080,Q,
20100119,DTF,1951,3151,Q,
20100120,DTF,3550,3807,Q,
20100122,DTF,522,1722,Q,
20100125,DTF,4770,5639,Q,
20100126,DTF,6103,17200,Q,
20100127,DTF,2697,6582,Q,
20100128,DTF,700,2997,Q,
20100129,DTF,15452,40108,Q,
20100201,DTF,1803,4237,Q,
20100202,DTF,4460,20135,Q,
20100203,DTF,535,535,Q,
20100204,DTF,3816,14185,Q,
20100205,DTF,3266,9824,Q,
20100208,DTF,100,2972,Q,
20100209,DTF,3600,5905,Q,
20100211,DTF,8570,23370,Q,
20100212,DTF,950,3850,Q,
20100216,DTF,890,4222,Q,
20100217,DTF,151,251,Q,
20100223,DTF,400,3345,Q,
20100224,DTF,200,1648,Q,
20100225,DTF,700,800,Q,
20100226,DTF,3400,7182,Q,
20100301,DTF,2350,11408,Q,
20100302,DTF,650,6377,Q,
20100303,DTF,3990,5545,Q,
20100304,DTF,1300,2007,Q,
20100305,DTF,925,2940,Q,
20100308,DTF,200,1800,Q,
20100309,DTF,450,1950,Q,
20100311,DTF,7800,10600,Q,
20100312,DTF,9057,12357,Q,
20100315,DTF,28700,34000,Q,
20100316,DTF,5700,6700,Q,
20100317,DTF,18642,21342,Q,
20100318,DTF,12100,13810,Q,
20100319,DTF,8000,12453,Q,
20100322,DTF,27347,28697,Q,
20100323,DTF,14906,16406,Q,
20100324,DTF,10600,13709,Q,
20100325,DTF,4600,8300,Q,
20100326,DTF,520,5364,Q,
20100330,DTF,500,7038,Q,
20100401,DTF,100,1504,Q,
20100406,DTF,200,4497,Q,
20100413,DTF,700,2500,Q,
20100414,DTF,800,2653,Q,
20100415,DTF,2000,11700,Q,
20100423,DTF,100,2758,Q,
20100426,DTF,1417,2017,Q,
20100428,DTF,1400,1400,Q,
20100429,DTF,2656,3094,Q,
20100430,DTF,1018,3568,Q,
20100503,DTF,12097,12297,Q,
20100504,DTF,300,300,Q,
20100511,DTF,200,1225,Q,
20100512,DTF,500,6625,Q,
20100513,DTF,1875,3075,Q,
20100517,DTF,5771,7920,Q,
20100520,DTF,480,2355,Q,
20100521,DTF,430,907,Q,
20100525,DTF,2765,3584,Q,
20100526,DTF,4300,4700,Q,
20100527,DTF,675,3575,Q,
20100528,DTF,700,1365,Q,
20100601,DTF,1126,3194,Q,
20100602,DTF,332,632,Q,
20100603,DTF,1005,3405,Q,
20100604,DTF,702,2052,Q,
20100609,DTF,1050,8569,Q,
20100610,DTF,1683,4334,Q,
20100611,DTF,889,1689,Q,
20100615,DTF,600,1000,Q,
20100617,DTF,2000,4400,Q,
20100618,DTF,2675,5025,Q,
20100621,DTF,1100,3250,Q,
20100622,DTF,200,5866,Q,
20100624,DTF,527,2277,Q,
20100629,DTF,611,9760,Q,
20100630,DTF,256,940,Q,
20100701,DTF,500,5296,Q,
20100702,DTF,992,3692,Q,
20100707,DTF,200,1500,Q,
20100709,DTF,392,2092,Q,
20110804,DTF,3058,5585,,0.0
