,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,DX,11748,29318,Q,
20100105,DX,18453,44188,Q,
20100106,DX,25022,40225,Q,
20100107,DX,9870,28687,Q,
20100108,DX,18033,46406,Q,
20100111,DX,15726,40791,Q,
20100112,DX,12763,28521,Q,
20100113,DX,18080,47205,Q,
20100114,DX,5375,46309,Q,
20100115,DX,6451,44838,Q,
20100119,DX,13555,42632,Q,
20100120,DX,9550,28757,Q,
20100121,DX,8246,28139,Q,
20100122,DX,5351,19967,Q,
20100125,DX,6549,31625,Q,
20100126,DX,9228,18728,Q,
20100127,DX,4951,17681,Q,
20100128,DX,2776,9909,Q,
20100129,DX,4300,20211,Q,
20100201,DX,7100,19840,Q,
20100202,DX,11199,17914,Q,
20100203,DX,7402,25012,Q,
20100204,DX,9668,34297,Q,
20100205,DX,11387,32944,Q,
20100208,DX,3512,44845,Q,
20100209,DX,10621,25875,Q,
20100210,DX,7200,17456,Q,
20100211,DX,5300,28850,Q,
20100212,DX,2962,13751,Q,
20100216,DX,11002,66239,Q,
20100217,DX,2350,12539,Q,
20100218,DX,3525,17913,Q,
20100219,DX,4280,15881,Q,
20100222,DX,1800,9606,Q,
20100223,DX,6400,21528,Q,
20100224,DX,1350,9679,Q,
20100225,DX,9076,23306,Q,
20100226,DX,25051,30847,Q,
20100301,DX,6000,15250,Q,
20100302,DX,5275,13030,Q,
20100303,DX,15880,26674,Q,
20100304,DX,8350,13306,Q,
20100305,DX,13425,27193,Q,
20100308,DX,21490,27998,Q,
20100309,DX,3820,14360,Q,
20100310,DX,17148,28251,Q,
20100311,DX,10550,46637,Q,
20100312,DX,16573,27178,Q,
20100315,DX,5966,10741,Q,
20100316,DX,12001,15911,Q,
20100317,DX,18980,36060,Q,
20100318,DX,16950,698567,Q,
20100319,DX,20707,45987,Q,
20100322,DX,36918,110401,Q,
20100323,DX,12500,54637,Q,
20100324,DX,17057,39088,Q,
20100325,DX,14021,54896,Q,
20100326,DX,22182,45414,Q,
20100329,DX,23524,52717,Q,
20100330,DX,10703,21398,Q,
20100331,DX,5759,24059,Q,
20100401,DX,22723,30343,Q,
20100405,DX,10924,38117,Q,
20100406,DX,27560,80849,Q,
20100407,DX,20540,38543,Q,
20100408,DX,4321,11336,Q,
20100409,DX,9387,11767,Q,
20100412,DX,3687,32854,Q,
20100413,DX,14350,23611,Q,
20100414,DX,6552,21969,Q,
20100415,DX,2000,17574,Q,
20100416,DX,24400,57568,Q,
20100419,DX,4200,21971,Q,
20100420,DX,4657,12568,Q,
20100421,DX,4500,27304,Q,
20100422,DX,9467,18429,Q,
20100423,DX,3000,10122,Q,
20100426,DX,33425,51802,Q,
20100427,DX,26439,51806,Q,
20100428,DX,9000,24435,Q,
20100429,DX,6025,20604,Q,
20100430,DX,17980,30997,Q,
20100503,DX,10633,16511,Q,
20100504,DX,20250,58554,Q,
20100510,DX,11278,40702,Q,
20100511,DX,9652,30171,Q,
20100512,DX,7311,31041,Q,
20100513,DX,5900,25437,Q,
20100517,DX,7499,26253,Q,
20100518,DX,9510,35933,Q,
20100519,DX,14981,45483,Q,
20100520,DX,8868,61848,Q,
20100521,DX,6395,23135,Q,
20100524,DX,7499,26378,Q,
20100525,DX,22988,55384,Q,
20100526,DX,4000,15528,Q,
20100527,DX,7860,23172,Q,
20100528,DX,9283,31987,Q,
20100601,DX,9974,17040,Q,
20100602,DX,11250,18857,Q,
20100603,DX,8334,15900,Q,
20100604,DX,6809,15266,Q,
20100607,DX,14638,29098,Q,
20100608,DX,7727,21795,Q,
20100609,DX,5700,22618,Q,
20100610,DX,4400,10039,Q,
20100611,DX,7407,10809,Q,
20100614,DX,11078,36085,Q,
20100615,DX,20624,35430,Q,
20100616,DX,6206,9743,Q,
20100617,DX,7675,12635,Q,
20100618,DX,29448,49018,Q,
20100621,DX,19049,46486,Q,
20100622,DX,9115,34439,Q,
20100623,DX,8220,19800,Q,
20100624,DX,17120,36105,Q,
20100625,DX,7099,30236,Q,
20100628,DX,16204,29408,Q,
20100629,DX,5305,64502,Q,
20100630,DX,2830,63904,Q,
20100701,DX,5758,42824,Q,
20100702,DX,1100,4148,Q,
20100706,DX,4133,22460,Q,
20100707,DX,6184,12563,Q,
20100708,DX,5429,61287,Q,
20100709,DX,2175,32671,Q,
20110804,DX,39760,148523,,200.0
