,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100105,EDUC,525,625,Q,
20100106,EDUC,1000,1400,Q,
20100108,EDUC,623,1023,Q,
20100112,EDUC,3172,6372,Q,
20100113,EDUC,100,300,Q,
20100114,EDUC,4028,4700,Q,
20100115,EDUC,3219,6767,Q,
20100119,EDUC,1218,3455,Q,
20100120,EDUC,144,144,Q,
20100121,EDUC,200,700,Q,
20100122,EDUC,300,400,Q,
20100125,EDUC,700,1200,Q,
20100129,EDUC,100,1600,Q,
20100201,EDUC,300,2107,Q,
20100202,EDUC,100,1500,Q,
20100211,EDUC,100,540,Q,
20100224,EDUC,500,500,Q,
20100225,EDUC,122,1850,Q,
20100226,EDUC,1000,1000,Q,
20100301,EDUC,730,1260,Q,
20100302,EDUC,350,2200,Q,
20100303,EDUC,750,750,Q,
20100304,EDUC,900,1000,Q,
20100305,EDUC,200,1200,Q,
20100308,EDUC,1251,1501,Q,
20100309,EDUC,400,1383,Q,
20100310,EDUC,500,500,Q,
20100312,EDUC,225,1225,Q,
20100315,EDUC,360,1498,Q,
20100316,EDUC,100,450,Q,
20100318,EDUC,2130,6860,Q,
20100319,EDUC,477,1502,Q,
20100322,EDUC,1456,4335,Q,
20100323,EDUC,300,1600,Q,
20100324,EDUC,734,1494,Q,
20100329,EDUC,500,1240,Q,
20100406,EDUC,400,1027,Q,
20100407,EDUC,200,600,Q,
20100408,EDUC,790,7265,Q,
20100409,EDUC,300,4125,Q,
20100412,EDUC,1310,1610,Q,
20100413,EDUC,200,600,Q,
20100415,EDUC,600,1000,Q,
20100421,EDUC,1770,1870,Q,
20100423,EDUC,2810,6057,Q,
20100426,EDUC,300,1400,Q,
20100428,EDUC,1834,7423,Q,
20100429,EDUC,1432,5332,Q,
20100504,EDUC,450,1732,Q,
20100510,EDUC,915,1465,Q,
20100511,EDUC,1050,1350,Q,
20100512,EDUC,1140,2190,Q,
20100513,EDUC,200,300,Q,
20100517,EDUC,200,300,Q,
20100518,EDUC,160,2385,Q,
20100519,EDUC,700,4000,Q,
20100520,EDUC,600,700,Q,
20100524,EDUC,100,2756,Q,
20100525,EDUC,400,900,Q,
20100526,EDUC,200,2210,Q,
20100528,EDUC,2100,3246,Q,
20100601,EDUC,3492,17907,Q,
20100604,EDUC,200,300,Q,
20100615,EDUC,4700,6500,Q,
20100618,EDUC,118,1465,Q,
20100623,EDUC,200,1982,Q,
20100630,EDUC,200,200,Q,
20100701,EDUC,600,6150,Q,
20100709,EDUC,2915,7616,Q,
20110804,EDUC,600,1628,,0.0
