,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100106,EDpA,2000,2100,Q,
20100107,EDpA,100,350,Q,
20100108,EDpA,150,250,Q,
20100112,EDpA,200,690,Q,
20100113,EDpA,100,100,Q,
20100114,EDpA,100,475,Q,
20100115,EDpA,200,200,Q,
20100119,EDpA,100,633,Q,
20100120,EDpA,100,700,Q,
20100121,EDpA,473,673,Q,
20100122,EDpA,400,400,Q,
20100125,EDpA,200,200,Q,
20100126,EDpA,100,100,Q,
20100127,EDpA,500,500,Q,
20100201,EDpA,300,525,Q,
20100202,EDpA,1130,1130,Q,
20100203,EDpA,332,532,Q,
20100205,EDpA,100,100,Q,
20100210,EDpA,100,300,Q,
20100217,EDpA,300,500,Q,
20100219,EDpA,300,1293,Q,
20100222,EDpA,559,859,Q,
20100223,EDpA,100,100,Q,
20100301,EDpA,100,200,Q,
20100302,EDpA,300,450,Q,
20100305,EDpA,215,728,Q,
20100309,EDpA,200,875,Q,
20100311,EDpA,610,1588,Q,
20100317,EDpA,641,841,Q,
20100319,EDpA,300,500,Q,
20100322,EDpA,600,600,Q,
20100323,EDpA,999,1099,Q,
20100324,EDpA,240,440,Q,
20100325,EDpA,1856,2356,Q,
20100326,EDpA,300,409,Q,
20100329,EDpA,318,318,Q,
20100330,EDpA,575,575,Q,
20100331,EDpA,2340,2340,Q,
20100401,EDpA,1160,1360,Q,
20100405,EDpA,100,351,Q,
20100406,EDpA,2305,3105,Q,
20100407,EDpA,936,1536,Q,
20100408,EDpA,640,840,Q,
20100409,EDpA,1900,2220,Q,
20100412,EDpA,1750,1750,Q,
20100413,EDpA,134,134,Q,
20100414,EDpA,1100,2265,Q,
20100415,EDpA,1600,1700,Q,
20100416,EDpA,1010,1144,Q,
20100422,EDpA,300,897,Q,
20100423,EDpA,200,200,Q,
20100427,EDpA,550,550,Q,
20100429,EDpA,300,400,Q,
20100430,EDpA,100,400,Q,
20100503,EDpA,425,1225,Q,
20100504,EDpA,525,625,Q,
20100510,EDpA,800,950,Q,
20100511,EDpA,300,300,Q,
20100512,EDpA,510,1345,Q,
20100517,EDpA,100,100,Q,
20100518,EDpA,700,700,Q,
20100519,EDpA,300,570,Q,
20100521,EDpA,200,200,Q,
20100525,EDpA,200,200,Q,
20100526,EDpA,518,618,Q,
20100527,EDpA,360,460,Q,
20100601,EDpA,140,140,Q,
20100602,EDpA,100,100,Q,
20100603,EDpA,200,200,Q,
20100604,EDpA,110,310,Q,
20100608,EDpA,100,200,Q,
20100610,EDpA,211,211,Q,
20100614,EDpA,240,340,Q,
20100615,EDpA,910,11810,Q,
20100616,EDpA,500,700,Q,
20100622,EDpA,680,780,Q,
20100623,EDpA,210,310,Q,
20100624,EDpA,299,5904,Q,
20100625,EDpA,1700,2500,Q,
20100628,EDpA,2000,2700,Q,
20100629,EDpA,3562,5118,Q,
20100630,EDpA,500,4299,Q,
20100702,EDpA,766,766,Q,
20100706,EDpA,200,350,Q,
20100707,EDpA,3700,3800,Q,
20100709,EDpA,700,1200,Q,
