,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,EFV,16368,82858,Q,
20100105,EFV,20622,42407,Q,
20100106,EFV,19305,54659,Q,
20100107,EFV,19381,31884,Q,
20100108,EFV,23390,50011,Q,
20100111,EFV,47872,104982,Q,
20100112,EFV,9323,45164,Q,
20100113,EFV,16137,35771,Q,
20100114,EFV,31466,58763,Q,
20100115,EFV,36723,128744,Q,
20100119,EFV,28397,81218,Q,
20100120,EFV,29933,88174,Q,
20100121,EFV,23083,53823,Q,
20100122,EFV,28162,71926,Q,
20100125,EFV,45384,89424,Q,
20100126,EFV,32629,56022,Q,
20100127,EFV,34666,80440,Q,
20100128,EFV,28338,118927,Q,
20100129,EFV,29047,101561,Q,
20100201,EFV,5798,230546,Q,
20100202,EFV,5027,51811,Q,
20100203,EFV,15425,62239,Q,
20100204,EFV,12134,64697,Q,
20100205,EFV,9249,123494,Q,
20100208,EFV,3347,70146,Q,
20100209,EFV,2512,41439,Q,
20100210,EFV,15163,38007,Q,
20100211,EFV,16515,25382,Q,
20100212,EFV,50552,85818,Q,
20100216,EFV,8356,49806,Q,
20100217,EFV,108198,185212,Q,
20100218,EFV,316984,349560,Q,
20100219,EFV,12476,90868,Q,
20100222,EFV,12526,44617,Q,
20100223,EFV,23176,63834,Q,
20100224,EFV,47903,94504,Q,
20100225,EFV,43067,76150,Q,
20100226,EFV,31709,60737,Q,
20100301,EFV,57614,87443,Q,
20100302,EFV,52363,104348,Q,
20100303,EFV,48867,84160,Q,
20100304,EFV,65731,102910,Q,
20100305,EFV,18171,46552,Q,
20100308,EFV,63955,99923,Q,
20100309,EFV,50351,65696,Q,
20100310,EFV,48081,65573,Q,
20100311,EFV,62178,101755,Q,
20100312,EFV,21351,29172,Q,
20100315,EFV,15893,62543,Q,
20100316,EFV,44609,64903,Q,
20100317,EFV,20113,52275,Q,
20100318,EFV,22051,87573,Q,
20100319,EFV,35556,100610,Q,
20100322,EFV,16166,61436,Q,
20100323,EFV,37628,85834,Q,
20100324,EFV,9174,60153,Q,
20100325,EFV,9858,23674,Q,
20100326,EFV,14890,27618,Q,
20100329,EFV,53958,86918,Q,
20100330,EFV,21187,56296,Q,
20100331,EFV,8061,37897,Q,
20100401,EFV,18261,36275,Q,
20100405,EFV,29275,50295,Q,
20100406,EFV,42646,60789,Q,
20100407,EFV,15848,33187,Q,
20100408,EFV,15891,39195,Q,
20100409,EFV,22714,37575,Q,
20100412,EFV,26510,35655,Q,
20100413,EFV,20219,33841,Q,
20100414,EFV,20273,34158,Q,
20100415,EFV,27425,51717,Q,
20100416,EFV,18234,52313,Q,
20100419,EFV,19031,45908,Q,
20100420,EFV,26659,45447,Q,
20100421,EFV,17788,45535,Q,
20100422,EFV,19423,45356,Q,
20100423,EFV,17489,68459,Q,
20100426,EFV,20277,74619,Q,
20100427,EFV,19887,74659,Q,
20100428,EFV,25112,56816,Q,
20100429,EFV,7639,33610,Q,
20100430,EFV,186985,211913,Q,
20100503,EFV,17551,42645,Q,
20100504,EFV,25408,71686,Q,
20100510,EFV,39094,118550,Q,
20100511,EFV,14643,182931,Q,
20100512,EFV,31528,64126,Q,
20100513,EFV,20797,60696,Q,
20100517,EFV,47581,221682,Q,
20100518,EFV,62152,133031,Q,
20100519,EFV,11324,79972,Q,
20100520,EFV,5275,67953,Q,
20100521,EFV,14167,95487,Q,
20100524,EFV,37691,88696,Q,
20100525,EFV,20936,90438,Q,
20100526,EFV,23526,55577,Q,
20100527,EFV,14904,50861,Q,
20100528,EFV,11128,39621,Q,
20100601,EFV,17428,44853,Q,
20100602,EFV,14962,44724,Q,
20100603,EFV,20355,35429,Q,
20100604,EFV,18078,43344,Q,
20100607,EFV,28021,50384,Q,
20100608,EFV,20667,53427,Q,
20100609,EFV,19089,46484,Q,
20100610,EFV,6253,34996,Q,
20100611,EFV,24592,42054,Q,
20100614,EFV,14163,29762,Q,
20100615,EFV,15077,33029,Q,
20100616,EFV,11100,25991,Q,
20100617,EFV,13567,36972,Q,
20100618,EFV,26148,40746,Q,
20100621,EFV,165465,227000,Q,
20100622,EFV,25305,53097,Q,
20100623,EFV,18747,33900,Q,
20100624,EFV,15924,51723,Q,
20100625,EFV,12377,92684,Q,
20100628,EFV,32388,59399,Q,
20100629,EFV,38045,178421,Q,
20100630,EFV,23152,83199,Q,
20100701,EFV,18001,67179,Q,
20100702,EFV,10534,37275,Q,
20100706,EFV,16569,41220,Q,
20100707,EFV,16364,37146,Q,
20100708,EFV,12665,28547,Q,
20100709,EFV,14278,31214,Q,
20110804,EFV,41890,112630,,0.0
