,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ENOC,78012,140081,Q,
20100105,ENOC,39813,88769,Q,
20100106,ENOC,55095,101392,Q,
20100107,ENOC,51829,93148,Q,
20100108,ENOC,37688,87796,Q,
20100111,ENOC,84478,195671,Q,
20100112,ENOC,68796,147978,Q,
20100113,ENOC,163377,251141,Q,
20100114,ENOC,53549,104678,Q,
20100115,ENOC,69713,127223,Q,
20100119,ENOC,54185,134860,Q,
20100120,ENOC,25773,90431,Q,
20100121,ENOC,62525,218749,Q,
20100122,ENOC,53192,126366,Q,
20100125,ENOC,37575,79426,Q,
20100126,ENOC,74054,118518,Q,
20100127,ENOC,57530,90571,Q,
20100128,ENOC,30635,88418,Q,
20100129,ENOC,17428,66258,Q,
20100201,ENOC,51409,82135,Q,
20100202,ENOC,33138,48063,Q,
20100203,ENOC,10147,19553,Q,
20100204,ENOC,58625,136307,Q,
20100205,ENOC,69336,152508,Q,
20100208,ENOC,25564,45982,Q,
20100209,ENOC,50500,74725,Q,
20100210,ENOC,42283,65514,Q,
20100211,ENOC,72990,126016,Q,
20100212,ENOC,149321,260487,Q,
20100216,ENOC,211597,417822,Q,
20100217,ENOC,82878,326342,Q,
20100218,ENOC,114026,427784,Q,
20100219,ENOC,71020,157871,Q,
20100222,ENOC,97822,153698,Q,
20100223,ENOC,52045,104325,Q,
20100224,ENOC,50348,99225,Q,
20100225,ENOC,28970,94986,Q,
20100226,ENOC,30913,124207,Q,
20100301,ENOC,83565,171079,Q,
20100302,ENOC,37751,114301,Q,
20100303,ENOC,42286,178191,Q,
20100304,ENOC,21463,109206,Q,
20100305,ENOC,55440,130736,Q,
20100308,ENOC,74629,157192,Q,
20100309,ENOC,101002,228176,Q,
20100310,ENOC,37394,73132,Q,
20100311,ENOC,78450,148699,Q,
20100312,ENOC,65328,115154,Q,
20100315,ENOC,29873,99321,Q,
20100316,ENOC,69936,124528,Q,
20100317,ENOC,54793,139403,Q,
20100318,ENOC,25105,53681,Q,
20100319,ENOC,32005,84469,Q,
20100322,ENOC,49876,81192,Q,
20100323,ENOC,45875,109673,Q,
20100324,ENOC,154943,235585,Q,
20100325,ENOC,92490,195148,Q,
20100326,ENOC,72781,116141,Q,
20100329,ENOC,37852,110732,Q,
20100330,ENOC,26139,78905,Q,
20100331,ENOC,24636,56117,Q,
20100401,ENOC,35628,59136,Q,
20100405,ENOC,51195,81627,Q,
20100406,ENOC,48815,135095,Q,
20100407,ENOC,64622,171630,Q,
20100408,ENOC,24047,59445,Q,
20100409,ENOC,71474,141240,Q,
20100412,ENOC,50504,185652,Q,
20100413,ENOC,57335,147643,Q,
20100414,ENOC,31027,140416,Q,
20100415,ENOC,15478,94309,Q,
20100416,ENOC,42465,80486,Q,
20100419,ENOC,62045,136039,Q,
20100420,ENOC,128628,233054,Q,
20100421,ENOC,59473,179587,Q,
20100422,ENOC,54541,120384,Q,
20100423,ENOC,25572,54872,Q,
20100426,ENOC,31551,86779,Q,
20100427,ENOC,25347,78502,Q,
20100428,ENOC,28598,46100,Q,
20100429,ENOC,21700,40724,Q,
20100430,ENOC,31943,72722,Q,
20100503,ENOC,39995,130670,Q,
20100504,ENOC,34829,101958,Q,
20100510,ENOC,64047,152722,Q,
20100511,ENOC,46634,102912,Q,
20100512,ENOC,81953,160742,Q,
20100513,ENOC,46230,139890,Q,
20100517,ENOC,70654,308614,Q,
20100518,ENOC,155141,316401,Q,
20100519,ENOC,72780,121456,Q,
20100520,ENOC,39590,105065,Q,
20100521,ENOC,46381,91695,Q,
20100524,ENOC,45563,66815,Q,
20100525,ENOC,84074,216911,Q,
20100526,ENOC,41235,84164,Q,
20100527,ENOC,23755,62019,Q,
20100528,ENOC,23447,56677,Q,
20100601,ENOC,34263,75157,Q,
20100602,ENOC,25829,62164,Q,
20100603,ENOC,16501,35802,Q,
20100604,ENOC,27774,74870,Q,
20100607,ENOC,21525,49559,Q,
20100608,ENOC,31510,81811,Q,
20100609,ENOC,34835,85207,Q,
20100610,ENOC,26856,56249,Q,
20100611,ENOC,27050,59500,Q,
20100614,ENOC,52500,108453,Q,
20100615,ENOC,83842,234276,Q,
20100616,ENOC,88710,171919,Q,
20100617,ENOC,19741,47645,Q,
20100618,ENOC,28201,90911,Q,
20100621,ENOC,38343,103808,Q,
20100622,ENOC,29694,56292,Q,
20100623,ENOC,18629,48353,Q,
20100624,ENOC,13364,37464,Q,
20100625,ENOC,28813,65140,Q,
20100628,ENOC,44084,79780,Q,
20100629,ENOC,49305,99248,Q,
20100630,ENOC,47249,97479,Q,
20100701,ENOC,62781,145369,Q,
20100702,ENOC,35169,54746,Q,
20100706,ENOC,78611,232883,Q,
20100707,ENOC,69344,147066,Q,
20100708,ENOC,38125,69469,Q,
20100709,ENOC,26523,51149,Q,
20110804,ENOC,19927,69497,,290.0
