,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ENZN,66799,190597,Q,
20100105,ENZN,38781,116080,Q,
20100106,ENZN,47887,182168,Q,
20100107,ENZN,18092,151590,Q,
20100108,ENZN,19657,99758,Q,
20100111,ENZN,59329,132104,Q,
20100112,ENZN,86472,203425,Q,
20100113,ENZN,222956,404953,Q,
20100114,ENZN,187314,363600,Q,
20100115,ENZN,76399,178094,Q,
20100119,ENZN,148555,237173,Q,
20100120,ENZN,17988,85382,Q,
20100121,ENZN,64320,158241,Q,
20100122,ENZN,30869,107294,Q,
20100125,ENZN,129395,341376,Q,
20100126,ENZN,36938,185776,Q,
20100127,ENZN,59996,132905,Q,
20100128,ENZN,61438,140608,Q,
20100129,ENZN,79632,186906,Q,
20100201,ENZN,167635,311791,Q,
20100202,ENZN,311354,418347,Q,
20100203,ENZN,25956,117304,Q,
20100204,ENZN,48009,256415,Q,
20100205,ENZN,104729,418753,Q,
20100208,ENZN,143362,229852,Q,
20100209,ENZN,111975,338072,Q,
20100210,ENZN,25265,76779,Q,
20100211,ENZN,88226,172934,Q,
20100212,ENZN,30842,109672,Q,
20100216,ENZN,95085,233896,Q,
20100217,ENZN,91957,212662,Q,
20100218,ENZN,45742,187555,Q,
20100219,ENZN,109011,294529,Q,
20100222,ENZN,67636,190889,Q,
20100223,ENZN,115322,234780,Q,
20100224,ENZN,104513,244610,Q,
20100225,ENZN,92123,189827,Q,
20100226,ENZN,89222,182779,Q,
20100301,ENZN,161744,446897,Q,
20100302,ENZN,344445,569904,Q,
20100303,ENZN,380514,739732,Q,
20100304,ENZN,84684,225515,Q,
20100305,ENZN,23180,133272,Q,
20100308,ENZN,128927,411140,Q,
20100309,ENZN,70640,264136,Q,
20100310,ENZN,293323,509848,Q,
20100311,ENZN,72826,165336,Q,
20100312,ENZN,48317,94040,Q,
20100315,ENZN,62191,252689,Q,
20100316,ENZN,27384,144873,Q,
20100317,ENZN,958888,1071104,Q,
20100318,ENZN,224780,734229,Q,
20100319,ENZN,53433,162959,Q,
20100322,ENZN,41504,118005,Q,
20100323,ENZN,30361,168095,Q,
20100324,ENZN,52328,131865,Q,
20100325,ENZN,71423,143676,Q,
20100326,ENZN,43055,113465,Q,
20100329,ENZN,32999,148333,Q,
20100330,ENZN,84750,206532,Q,
20100331,ENZN,280110,561138,Q,
20100401,ENZN,85670,201565,Q,
20100405,ENZN,83154,195863,Q,
20100406,ENZN,219417,457685,Q,
20100407,ENZN,94475,201467,Q,
20100408,ENZN,22846,88563,Q,
20100409,ENZN,33839,98551,Q,
20100412,ENZN,12585,53111,Q,
20100413,ENZN,30976,151718,Q,
20100414,ENZN,24392,402162,Q,
20100415,ENZN,57995,358375,Q,
20100416,ENZN,21009,288338,Q,
20100419,ENZN,51737,1445018,Q,
20100420,ENZN,118962,214034,Q,
20100421,ENZN,39971,121641,Q,
20100422,ENZN,22613,110660,Q,
20100423,ENZN,50707,100404,Q,
20100426,ENZN,44388,110879,Q,
20100427,ENZN,68192,259582,Q,
20100428,ENZN,13737,62626,Q,
20100429,ENZN,53434,99694,Q,
20100430,ENZN,24541,86242,Q,
20100503,ENZN,50845,135054,Q,
20100504,ENZN,21413,291974,Q,
20100510,ENZN,87133,155595,Q,
20100511,ENZN,52788,187747,Q,
20100512,ENZN,39847,170504,Q,
20100513,ENZN,26924,104592,Q,
20100517,ENZN,77892,295617,Q,
20100518,ENZN,178122,527416,Q,
20100519,ENZN,48416,244032,Q,
20100520,ENZN,76723,351211,Q,
20100521,ENZN,85993,635534,Q,
20100524,ENZN,43070,219868,Q,
20100525,ENZN,122372,404296,Q,
20100526,ENZN,103634,210902,Q,
20100527,ENZN,119659,231899,Q,
20100528,ENZN,91206,183818,Q,
20100601,ENZN,104956,193691,Q,
20100602,ENZN,138544,246724,Q,
20100603,ENZN,138352,233646,Q,
20100604,ENZN,149763,245216,Q,
20100607,ENZN,65224,124742,Q,
20100608,ENZN,68367,159116,Q,
20100609,ENZN,97454,178325,Q,
20100610,ENZN,47672,93166,Q,
20100611,ENZN,23409,88837,Q,
20100614,ENZN,63122,117038,Q,
20100615,ENZN,58165,104444,Q,
20100616,ENZN,55903,135594,Q,
20100617,ENZN,91454,307675,Q,
20100618,ENZN,90797,288886,Q,
20100621,ENZN,38012,133251,Q,
20100622,ENZN,43905,101359,Q,
20100623,ENZN,17700,76277,Q,
20100624,ENZN,42018,135459,Q,
20100625,ENZN,59654,187223,Q,
20100628,ENZN,188802,450146,Q,
20100629,ENZN,137226,410916,Q,
20100630,ENZN,67685,326815,Q,
20100701,ENZN,175048,405215,Q,
20100702,ENZN,31273,129676,Q,
20100706,ENZN,175464,357715,Q,
20100707,ENZN,17324,81580,Q,
20100708,ENZN,10005,43267,Q,
20100709,ENZN,29639,88282,Q,
20110804,ENZN,65100,461075,,0.0
