,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,EPRpD,300,2249,Q,
20100105,EPRpD,1050,1550,Q,
20100106,EPRpD,685,2860,Q,
20100107,EPRpD,930,1030,Q,
20100108,EPRpD,1200,2180,Q,
20100111,EPRpD,2575,2875,Q,
20100112,EPRpD,1384,1584,Q,
20100113,EPRpD,1160,2845,Q,
20100114,EPRpD,1325,20025,Q,
20100115,EPRpD,800,4103,Q,
20100119,EPRpD,403,2574,Q,
20100121,EPRpD,710,2210,Q,
20100122,EPRpD,1209,2809,Q,
20100125,EPRpD,100,1900,Q,
20100126,EPRpD,1335,2255,Q,
20100127,EPRpD,1700,3000,Q,
20100128,EPRpD,900,2461,Q,
20100201,EPRpD,2250,3090,Q,
20100202,EPRpD,2300,3525,Q,
20100203,EPRpD,400,1100,Q,
20100204,EPRpD,500,2100,Q,
20100205,EPRpD,800,1300,Q,
20100209,EPRpD,597,997,Q,
20100211,EPRpD,100,2024,Q,
20100216,EPRpD,1550,3250,Q,
20100217,EPRpD,500,600,Q,
20100218,EPRpD,1605,2305,Q,
20100219,EPRpD,1000,2301,Q,
20100222,EPRpD,1650,3300,Q,
20100223,EPRpD,525,775,Q,
20100224,EPRpD,4850,12103,Q,
20100225,EPRpD,950,6694,Q,
20100226,EPRpD,1500,2530,Q,
20100301,EPRpD,3851,5021,Q,
20100302,EPRpD,900,1666,Q,
20100303,EPRpD,100,100,Q,
20100304,EPRpD,419,419,Q,
20100305,EPRpD,500,750,Q,
20100308,EPRpD,280,1480,Q,
20100310,EPRpD,375,675,Q,
20100311,EPRpD,800,1500,Q,
20100312,EPRpD,2500,8830,Q,
20100315,EPRpD,1600,6200,Q,
20100316,EPRpD,2500,3400,Q,
20100317,EPRpD,1695,3095,Q,
20100318,EPRpD,2150,4850,Q,
20100319,EPRpD,600,1600,Q,
20100322,EPRpD,1649,2049,Q,
20100323,EPRpD,2700,3400,Q,
20100324,EPRpD,2200,2600,Q,
20100325,EPRpD,400,2100,Q,
20100326,EPRpD,800,1300,Q,
20100329,EPRpD,769,2409,Q,
20100330,EPRpD,2300,3900,Q,
20100331,EPRpD,1550,3650,Q,
20100401,EPRpD,500,1920,Q,
20100406,EPRpD,2200,2700,Q,
20100407,EPRpD,650,650,Q,
20100408,EPRpD,1195,1845,Q,
20100409,EPRpD,300,1200,Q,
20100412,EPRpD,2200,3900,Q,
20100414,EPRpD,1200,1300,Q,
20100416,EPRpD,300,2305,Q,
20100419,EPRpD,2280,5005,Q,
20100420,EPRpD,800,1125,Q,
20100421,EPRpD,1000,2500,Q,
20100422,EPRpD,850,1407,Q,
20100426,EPRpD,600,1300,Q,
20100428,EPRpD,1165,2730,Q,
20100429,EPRpD,1000,3850,Q,
20100504,EPRpD,400,900,Q,
20100510,EPRpD,820,2667,Q,
20100511,EPRpD,1200,1800,Q,
20100512,EPRpD,300,762,Q,
20100518,EPRpD,1400,1600,Q,
20100520,EPRpD,400,1101,Q,
20100521,EPRpD,425,825,Q,
20100525,EPRpD,100,600,Q,
20100526,EPRpD,500,600,Q,
20100527,EPRpD,550,1800,Q,
20100528,EPRpD,3300,4900,Q,
20100602,EPRpD,2265,3280,Q,
20100603,EPRpD,300,2000,Q,
20100607,EPRpD,150,1450,Q,
20100610,EPRpD,1200,1300,Q,
20100611,EPRpD,800,900,Q,
20100614,EPRpD,300,500,Q,
20100615,EPRpD,300,300,Q,
20100616,EPRpD,1200,2950,Q,
20100617,EPRpD,1600,1900,Q,
20100618,EPRpD,500,2900,Q,
20100621,EPRpD,2530,5610,Q,
20100622,EPRpD,1000,2869,Q,
20100623,EPRpD,1037,17187,Q,
20100624,EPRpD,700,1600,Q,
20100628,EPRpD,230,1513,Q,
20100701,EPRpD,1141,1241,Q,
20100706,EPRpD,450,1600,Q,
20100707,EPRpD,200,300,Q,
20100708,EPRpD,1250,22272,Q,
