,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,EQR,159748,515815,Q,
20100105,EQR,154068,1111053,Q,
20100106,EQR,273833,955351,Q,
20100107,EQR,188682,797504,Q,
20100108,EQR,134627,332846,Q,
20100111,EQR,100697,273688,Q,
20100112,EQR,195587,473539,Q,
20100113,EQR,229739,412174,Q,
20100114,EQR,140685,303395,Q,
20100115,EQR,106381,269130,Q,
20100119,EQR,132694,277683,Q,
20100120,EQR,322260,605797,Q,
20100121,EQR,178945,435893,Q,
20100122,EQR,147015,607040,Q,
20100125,EQR,145948,473232,Q,
20100126,EQR,149742,426797,Q,
20100127,EQR,213353,398305,Q,
20100128,EQR,135654,274506,Q,
20100129,EQR,159535,502836,Q,
20100201,EQR,93097,323549,Q,
20100202,EQR,378643,636364,Q,
20100203,EQR,274990,493159,Q,
20100204,EQR,512114,1338684,Q,
20100205,EQR,244387,548722,Q,
20100208,EQR,208496,402181,Q,
20100209,EQR,204497,566824,Q,
20100210,EQR,121737,576518,Q,
20100211,EQR,240728,445356,Q,
20100212,EQR,166078,464911,Q,
20100216,EQR,190065,496234,Q,
20100217,EQR,210263,476630,Q,
20100218,EQR,360070,719111,Q,
20100219,EQR,267281,608976,Q,
20100222,EQR,513695,1032766,Q,
20100223,EQR,264561,801948,Q,
20100224,EQR,158842,421532,Q,
20100225,EQR,216482,385522,Q,
20100226,EQR,277951,729808,Q,
20100301,EQR,137431,498608,Q,
20100302,EQR,159574,444085,Q,
20100303,EQR,207562,488827,Q,
20100304,EQR,287186,506279,Q,
20100305,EQR,313374,544791,Q,
20100308,EQR,159724,433496,Q,
20100309,EQR,1535434,2109458,Q,
20100310,EQR,388097,833811,Q,
20100311,EQR,159185,287345,Q,
20100312,EQR,215353,485650,Q,
20100315,EQR,160390,300797,Q,
20100316,EQR,254295,479926,Q,
20100317,EQR,276932,546953,Q,
20100318,EQR,215131,658341,Q,
20100319,EQR,138581,586368,Q,
20100322,EQR,133266,480543,Q,
20100323,EQR,241963,395728,Q,
20100324,EQR,448241,1493777,Q,
20100325,EQR,765971,1107304,Q,
20100326,EQR,207437,434699,Q,
20100329,EQR,164974,358773,Q,
20100330,EQR,151702,403466,Q,
20100331,EQR,156385,364515,Q,
20100401,EQR,135979,443052,Q,
20100405,EQR,199135,595130,Q,
20100406,EQR,435410,827652,Q,
20100407,EQR,263741,561243,Q,
20100408,EQR,292534,829396,Q,
20100409,EQR,483287,930744,Q,
20100412,EQR,365599,518868,Q,
20100413,EQR,330416,863807,Q,
20100414,EQR,331448,670466,Q,
20100415,EQR,245773,616587,Q,
20100416,EQR,330237,658150,Q,
20100419,EQR,114030,468312,Q,
20100420,EQR,145739,344605,Q,
20100421,EQR,530977,858592,Q,
20100422,EQR,237479,731348,Q,
20100423,EQR,296151,703070,Q,
20100426,EQR,425905,957903,Q,
20100427,EQR,226305,663356,Q,
20100428,EQR,278125,548670,Q,
20100429,EQR,509758,1182183,Q,
20100430,EQR,381915,840523,Q,
20100503,EQR,381950,779088,Q,
20100504,EQR,344174,711044,Q,
20100510,EQR,431310,834952,Q,
20100511,EQR,405592,849843,Q,
20100512,EQR,213919,541404,Q,
20100513,EQR,160465,350100,Q,
20100517,EQR,238525,440115,Q,
20100518,EQR,132612,365280,Q,
20100519,EQR,228749,563383,Q,
20100520,EQR,304682,722352,Q,
20100521,EQR,282287,614800,Q,
20100524,EQR,205336,436364,Q,
20100525,EQR,277535,507752,Q,
20100526,EQR,291794,533514,Q,
20100527,EQR,223304,544027,Q,
20100528,EQR,168207,248472,Q,
20100601,EQR,177581,362133,Q,
20100602,EQR,533332,864752,Q,
20100603,EQR,152730,463551,Q,
20100604,EQR,365487,926349,Q,
20100607,EQR,183730,975372,Q,
20100608,EQR,206176,633977,Q,
20100609,EQR,285138,559164,Q,
20100610,EQR,190004,386155,Q,
20100611,EQR,153775,456111,Q,
20100614,EQR,215854,449332,Q,
20100615,EQR,137613,405722,Q,
20100616,EQR,219796,425765,Q,
20100617,EQR,314120,535509,Q,
20100618,EQR,146788,449227,Q,
20100621,EQR,103026,203948,Q,
20100622,EQR,166413,418630,Q,
20100623,EQR,210588,501629,Q,
20100624,EQR,276412,447729,Q,
20100625,EQR,143741,297100,Q,
20100628,EQR,118556,210021,Q,
20100629,EQR,253931,667703,Q,
20100630,EQR,237444,506248,Q,
20100701,EQR,415003,812304,Q,
20100702,EQR,686028,943054,Q,
20100706,EQR,447121,847593,Q,
20100707,EQR,300959,660414,Q,
20100708,EQR,325471,806429,Q,
20100709,EQR,133126,222762,Q,
20110804,EQR,526204,636651,,0.0
