,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100112,ERO,118,318,Q,
20100201,ERO,459,459,Q,
20100202,ERO,218,218,Q,
20100205,ERO,425,625,Q,
20100209,ERO,100,200,Q,
20100212,ERO,200,300,Q,
20100219,ERO,200,400,Q,
20100224,ERO,100,100,Q,
20100301,ERO,200,806,Q,
20100302,ERO,777,877,Q,
20100303,ERO,400,400,Q,
20100304,ERO,246,500,Q,
20100312,ERO,123,123,Q,
20100325,ERO,400,400,Q,
20100326,ERO,200,200,Q,
20100407,ERO,200,200,Q,
20100413,ERO,100,200,Q,
20100414,ERO,6800,6800,Q,
20100427,ERO,300,300,Q,
20100429,ERO,200,402,Q,
20100430,ERO,200,500,Q,
20100503,ERO,300,300,Q,
20100504,ERO,100,600,Q,
20100510,ERO,100,100,Q,
20100517,ERO,210,1010,Q,
20100518,ERO,375,725,Q,
20100519,ERO,860,1175,Q,
20100520,ERO,440,840,Q,
20100521,ERO,100,480,Q,
20100601,ERO,200,200,Q,
20100603,ERO,700,1251,Q,
20100604,ERO,2500,4300,Q,
20100608,ERO,700,955,Q,
20100615,ERO,100,441,Q,
20100616,ERO,800,1100,Q,
20100617,ERO,400,1365,Q,
20100623,ERO,900,2000,Q,
20100701,ERO,514,614,Q,
