,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ESP,1400,3668,Q,
20100105,ESP,900,1345,Q,
20100106,ESP,500,1000,Q,
20100107,ESP,1455,3965,Q,
20100108,ESP,400,1100,Q,
20100111,ESP,1900,3700,Q,
20100112,ESP,1200,1700,Q,
20100113,ESP,1900,3700,Q,
20100114,ESP,550,750,Q,
20100115,ESP,100,1200,Q,
20100119,ESP,760,1520,Q,
20100120,ESP,2200,3400,Q,
20100121,ESP,1200,1400,Q,
20100122,ESP,600,1500,Q,
20100125,ESP,2200,4500,Q,
20100126,ESP,400,500,Q,
20100127,ESP,500,1000,Q,
20100128,ESP,897,1112,Q,
20100129,ESP,200,300,Q,
20100201,ESP,500,700,Q,
20100202,ESP,1600,2000,Q,
20100203,ESP,1000,1000,Q,
20100204,ESP,1162,1262,Q,
20100205,ESP,1700,5300,Q,
20100208,ESP,700,1200,Q,
20100209,ESP,3645,6080,Q,
20100210,ESP,800,5758,Q,
20100211,ESP,2792,13520,Q,
20100212,ESP,3462,7037,Q,
20100216,ESP,900,2400,Q,
20100217,ESP,4301,5445,Q,
20100218,ESP,300,869,Q,
20100219,ESP,200,420,Q,
20100222,ESP,200,200,Q,
20100223,ESP,475,1775,Q,
20100224,ESP,610,1060,Q,
20100225,ESP,550,750,Q,
20100226,ESP,2775,4175,Q,
20100301,ESP,1600,5601,Q,
20100302,ESP,800,3100,Q,
20100303,ESP,800,2500,Q,
20100304,ESP,2770,4800,Q,
20100305,ESP,5670,9720,Q,
20100308,ESP,10026,16833,Q,
20100309,ESP,8829,12070,Q,
20100310,ESP,700,2950,Q,
20100311,ESP,1050,12510,Q,
20100312,ESP,2200,3545,Q,
20100315,ESP,2830,7168,Q,
20100316,ESP,998,998,Q,
20100317,ESP,1400,2014,Q,
20100318,ESP,2050,3000,Q,
20100319,ESP,1447,4503,Q,
20100322,ESP,2550,2750,Q,
20100323,ESP,310,710,Q,
20100325,ESP,2869,3768,Q,
20100326,ESP,1648,2607,Q,
20100329,ESP,1100,3100,Q,
20100330,ESP,200,1100,Q,
20100331,ESP,1107,2407,Q,
20100401,ESP,500,900,Q,
20100405,ESP,400,1349,Q,
20100408,ESP,200,2720,Q,
20100409,ESP,400,6330,Q,
20100412,ESP,400,1500,Q,
20100413,ESP,600,600,Q,
20100415,ESP,145,790,Q,
20100416,ESP,100,300,Q,
20100420,ESP,600,700,Q,
20100421,ESP,900,1400,Q,
20100422,ESP,250,843,Q,
20100423,ESP,500,1000,Q,
20100426,ESP,200,200,Q,
20100427,ESP,500,1000,Q,
20100428,ESP,800,1200,Q,
20100429,ESP,800,1500,Q,
20100430,ESP,1600,3363,Q,
20100503,ESP,100,1300,Q,
20100510,ESP,700,1118,Q,
20100511,ESP,2200,3446,Q,
20100512,ESP,300,1300,Q,
20100513,ESP,500,1350,Q,
20100517,ESP,100,875,Q,
20100518,ESP,130,3616,Q,
20100520,ESP,1680,2880,Q,
20100525,ESP,1000,3250,Q,
20100527,ESP,200,400,Q,
20100601,ESP,1000,1500,Q,
20100603,ESP,100,600,Q,
20100604,ESP,386,586,Q,
20100607,ESP,300,900,Q,
20100608,ESP,1300,5200,Q,
20100611,ESP,3590,6136,Q,
20100614,ESP,500,700,Q,
20100616,ESP,1800,1800,Q,
20100617,ESP,101,238,Q,
20100622,ESP,1275,5185,Q,
20100623,ESP,400,800,Q,
20100630,ESP,575,575,Q,
20100702,ESP,300,1710,Q,
20100706,ESP,1580,3957,Q,
20100708,ESP,201,4002,Q,
20110804,ESP,2050,6037,,0.0
