,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ETJ,44450,163600,Q,
20100105,ETJ,15166,78563,Q,
20100106,ETJ,28260,81575,Q,
20100107,ETJ,32575,125749,Q,
20100108,ETJ,45579,103601,Q,
20100111,ETJ,49254,130267,Q,
20100112,ETJ,48950,153656,Q,
20100113,ETJ,31015,110450,Q,
20100114,ETJ,28784,135640,Q,
20100115,ETJ,29813,117138,Q,
20100119,ETJ,29607,184150,Q,
20100120,ETJ,53198,159462,Q,
20100121,ETJ,55930,169981,Q,
20100122,ETJ,35612,121914,Q,
20100125,ETJ,35255,164905,Q,
20100126,ETJ,24605,120988,Q,
20100127,ETJ,17309,116893,Q,
20100128,ETJ,81942,178163,Q,
20100129,ETJ,33816,111824,Q,
20100201,ETJ,52426,102815,Q,
20100202,ETJ,69879,171980,Q,
20100203,ETJ,63194,152238,Q,
20100204,ETJ,122262,212678,Q,
20100205,ETJ,86675,168655,Q,
20100208,ETJ,64775,108118,Q,
20100209,ETJ,37814,114009,Q,
20100210,ETJ,56752,119012,Q,
20100211,ETJ,51072,119596,Q,
20100212,ETJ,38780,62630,Q,
20100216,ETJ,39523,117899,Q,
20100217,ETJ,41393,89610,Q,
20100218,ETJ,30180,77202,Q,
20100219,ETJ,10592,85130,Q,
20100222,ETJ,26048,97942,Q,
20100223,ETJ,22937,132459,Q,
20100224,ETJ,27664,102334,Q,
20100225,ETJ,19678,80565,Q,
20100226,ETJ,27576,107120,Q,
20100301,ETJ,10665,69042,Q,
20100302,ETJ,23178,97022,Q,
20100303,ETJ,37515,110158,Q,
20100304,ETJ,7171,123873,Q,
20100305,ETJ,28050,129240,Q,
20100308,ETJ,14211,100191,Q,
20100309,ETJ,17530,105410,Q,
20100310,ETJ,38211,120750,Q,
20100311,ETJ,26120,117597,Q,
20100312,ETJ,12337,101683,Q,
20100315,ETJ,39055,135152,Q,
20100316,ETJ,32493,100365,Q,
20100317,ETJ,28627,132711,Q,
20100318,ETJ,40737,117148,Q,
20100319,ETJ,32199,106181,Q,
20100322,ETJ,26800,107158,Q,
20100323,ETJ,62842,140031,Q,
20100324,ETJ,31010,124363,Q,
20100325,ETJ,34341,149651,Q,
20100326,ETJ,20975,140041,Q,
20100329,ETJ,12899,80176,Q,
20100330,ETJ,24040,87729,Q,
20100331,ETJ,51855,120422,Q,
20100401,ETJ,26414,123653,Q,
20100405,ETJ,12800,138538,Q,
20100406,ETJ,31769,140318,Q,
20100407,ETJ,39262,128266,Q,
20100408,ETJ,34225,108710,Q,
20100409,ETJ,26152,118058,Q,
20100412,ETJ,40284,101698,Q,
20100413,ETJ,34558,127533,Q,
20100414,ETJ,56331,183865,Q,
20100415,ETJ,43477,140835,Q,
20100416,ETJ,45398,103172,Q,
20100419,ETJ,40834,84269,Q,
20100420,ETJ,57818,164949,Q,
20100421,ETJ,147566,266984,Q,
20100422,ETJ,37233,96562,Q,
20100423,ETJ,38790,112401,Q,
20100426,ETJ,30304,119875,Q,
20100427,ETJ,41190,138224,Q,
20100428,ETJ,20879,98987,Q,
20100429,ETJ,24864,130090,Q,
20100430,ETJ,21873,90610,Q,
20100503,ETJ,43042,170683,Q,
20100504,ETJ,19409,125634,Q,
20100510,ETJ,44795,206606,Q,
20100511,ETJ,10801,153948,Q,
20100512,ETJ,35587,117067,Q,
20100513,ETJ,32370,95576,Q,
20100517,ETJ,24024,126623,Q,
20100518,ETJ,16947,97157,Q,
20100519,ETJ,21147,116106,Q,
20100520,ETJ,52452,167607,Q,
20100521,ETJ,38820,127756,Q,
20100524,ETJ,24126,121098,Q,
20100525,ETJ,44883,266137,Q,
20100526,ETJ,46466,127050,Q,
20100527,ETJ,12248,124158,Q,
20100528,ETJ,22476,62205,Q,
20100601,ETJ,24433,89075,Q,
20100602,ETJ,26493,108484,Q,
20100603,ETJ,17366,94233,Q,
20100604,ETJ,12662,60619,Q,
20100607,ETJ,17577,63884,Q,
20100608,ETJ,29096,116129,Q,
20100609,ETJ,26765,102549,Q,
20100610,ETJ,16709,79912,Q,
20100611,ETJ,23712,76048,Q,
20100614,ETJ,24081,77468,Q,
20100615,ETJ,51426,114350,Q,
20100616,ETJ,26185,138118,Q,
20100617,ETJ,11731,67319,Q,
20100618,ETJ,16689,85605,Q,
20100621,ETJ,13192,94195,Q,
20100622,ETJ,31839,105427,Q,
20100623,ETJ,25095,103881,Q,
20100624,ETJ,28583,89937,Q,
20100625,ETJ,12155,63249,Q,
20100628,ETJ,27548,89889,Q,
20100629,ETJ,53936,124091,Q,
20100630,ETJ,46766,139817,Q,
20100701,ETJ,26418,104749,Q,
20100702,ETJ,13950,95415,Q,
20100706,ETJ,25095,102504,Q,
20100707,ETJ,27906,102757,Q,
20100708,ETJ,20091,84757,Q,
20100709,ETJ,17547,88132,Q,
20110804,ETJ,124354,370104,,0.0
