,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,EXBD,13300,26083,Q,
20100105,EXBD,9358,30076,Q,
20100106,EXBD,7511,71230,Q,
20100107,EXBD,4783,11875,Q,
20100108,EXBD,17741,27690,Q,
20100111,EXBD,8518,20659,Q,
20100112,EXBD,12588,34255,Q,
20100113,EXBD,8432,36427,Q,
20100114,EXBD,11026,25556,Q,
20100115,EXBD,77653,128510,Q,
20100119,EXBD,25543,73353,Q,
20100120,EXBD,18236,38479,Q,
20100121,EXBD,22131,43608,Q,
20100122,EXBD,30315,39010,Q,
20100125,EXBD,10052,18731,Q,
20100126,EXBD,16983,41980,Q,
20100127,EXBD,11600,22077,Q,
20100128,EXBD,14524,54787,Q,
20100129,EXBD,14628,32430,Q,
20100201,EXBD,7385,22455,Q,
20100202,EXBD,41361,55594,Q,
20100203,EXBD,14815,39190,Q,
20100204,EXBD,13873,25386,Q,
20100205,EXBD,19925,41865,Q,
20100208,EXBD,16899,27875,Q,
20100209,EXBD,7116,22565,Q,
20100210,EXBD,259871,747916,Q,
20100211,EXBD,76402,127797,Q,
20100212,EXBD,73561,97524,Q,
20100216,EXBD,32694,44918,Q,
20100217,EXBD,31870,73303,Q,
20100218,EXBD,20780,62917,Q,
20100219,EXBD,12437,22268,Q,
20100222,EXBD,25967,33718,Q,
20100223,EXBD,25730,51690,Q,
20100224,EXBD,10136,14588,Q,
20100225,EXBD,8371,11976,Q,
20100226,EXBD,5731,8692,Q,
20100301,EXBD,50354,113076,Q,
20100302,EXBD,19174,175210,Q,
20100303,EXBD,66636,142712,Q,
20100304,EXBD,13300,24995,Q,
20100305,EXBD,32577,41210,Q,
20100308,EXBD,14833,22063,Q,
20100309,EXBD,23909,55799,Q,
20100310,EXBD,23178,48029,Q,
20100311,EXBD,30362,51460,Q,
20100312,EXBD,25689,148585,Q,
20100315,EXBD,28742,50438,Q,
20100316,EXBD,16586,73766,Q,
20100317,EXBD,12031,25316,Q,
20100318,EXBD,13369,90017,Q,
20100319,EXBD,20420,216598,Q,
20100322,EXBD,13722,48210,Q,
20100323,EXBD,8600,83739,Q,
20100324,EXBD,7500,23842,Q,
20100325,EXBD,23899,62889,Q,
20100326,EXBD,23136,62819,Q,
20100329,EXBD,16881,44705,Q,
20100330,EXBD,13850,109130,Q,
20100331,EXBD,13106,43305,Q,
20100401,EXBD,5600,21117,Q,
20100405,EXBD,21295,47597,Q,
20100406,EXBD,7654,26983,Q,
20100407,EXBD,7736,27880,Q,
20100408,EXBD,13000,30705,Q,
20100409,EXBD,16891,31432,Q,
20100412,EXBD,4971,27175,Q,
20100413,EXBD,3363,39187,Q,
20100414,EXBD,19681,74339,Q,
20100415,EXBD,9100,55825,Q,
20100416,EXBD,11570,70236,Q,
20100419,EXBD,6833,19444,Q,
20100420,EXBD,4616,57362,Q,
20100421,EXBD,7455,49528,Q,
20100422,EXBD,5704,39052,Q,
20100423,EXBD,8788,32564,Q,
20100426,EXBD,5659,75435,Q,
20100427,EXBD,6126,22717,Q,
20100428,EXBD,8066,27762,Q,
20100429,EXBD,19646,41155,Q,
20100430,EXBD,11600,24461,Q,
20100503,EXBD,27764,49183,Q,
20100504,EXBD,169860,467223,Q,
20100510,EXBD,41172,64290,Q,
20100511,EXBD,16791,71002,Q,
20100512,EXBD,12294,75017,Q,
20100513,EXBD,7696,21049,Q,
20100517,EXBD,10569,26920,Q,
20100518,EXBD,54013,186287,Q,
20100519,EXBD,19648,41124,Q,
20100520,EXBD,16642,29712,Q,
20100521,EXBD,13500,44037,Q,
20100524,EXBD,16359,106524,Q,
20100525,EXBD,43157,65028,Q,
20100526,EXBD,10383,45820,Q,
20100527,EXBD,17520,37917,Q,
20100528,EXBD,6100,21307,Q,
20100601,EXBD,29212,97287,Q,
20100602,EXBD,6587,45614,Q,
20100603,EXBD,11980,60953,Q,
20100604,EXBD,37183,79688,Q,
20100607,EXBD,25152,78773,Q,
20100608,EXBD,27079,97459,Q,
20100609,EXBD,59558,186110,Q,
20100610,EXBD,36385,216123,Q,
20100611,EXBD,10420,139013,Q,
20100614,EXBD,23144,212415,Q,
20100615,EXBD,11608,146562,Q,
20100616,EXBD,19204,132373,Q,
20100617,EXBD,27065,221383,Q,
20100618,EXBD,6672,20522,Q,
20100621,EXBD,11211,166181,Q,
20100622,EXBD,11445,70444,Q,
20100623,EXBD,8900,21530,Q,
20100624,EXBD,15833,29610,Q,
20100625,EXBD,15548,60145,Q,
20100628,EXBD,7974,42122,Q,
20100629,EXBD,16290,32605,Q,
20100630,EXBD,9016,26950,Q,
20100701,EXBD,13696,81513,Q,
20100702,EXBD,4993,57459,Q,
20100706,EXBD,22205,76777,Q,
20100707,EXBD,10101,67950,Q,
20100708,EXBD,6239,29743,Q,
20100709,EXBD,5075,12057,Q,
20110804,EXBD,23529,38969,,0.0
