,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,EXG,162820,549314,Q,
20100105,EXG,147923,537040,Q,
20100106,EXG,201640,497276,Q,
20100107,EXG,268518,558091,Q,
20100108,EXG,151640,579342,Q,
20100111,EXG,207103,547191,Q,
20100112,EXG,133524,558823,Q,
20100113,EXG,108520,432202,Q,
20100114,EXG,214453,574825,Q,
20100115,EXG,332285,1737700,Q,
20100119,EXG,166006,1111859,Q,
20100120,EXG,173376,835885,Q,
20100121,EXG,216220,959055,Q,
20100122,EXG,128622,889795,Q,
20100125,EXG,218890,710233,Q,
20100126,EXG,202918,707773,Q,
20100127,EXG,105400,816599,Q,
20100128,EXG,124413,578363,Q,
20100129,EXG,135586,457549,Q,
20100201,EXG,203162,450454,Q,
20100202,EXG,200357,513676,Q,
20100203,EXG,161618,382394,Q,
20100204,EXG,194307,487082,Q,
20100205,EXG,351187,1186621,Q,
20100208,EXG,259836,604533,Q,
20100209,EXG,320448,642868,Q,
20100210,EXG,218143,424828,Q,
20100211,EXG,222899,445391,Q,
20100212,EXG,209492,454527,Q,
20100216,EXG,343515,797985,Q,
20100217,EXG,261009,594449,Q,
20100218,EXG,192633,462884,Q,
20100219,EXG,172095,438744,Q,
20100222,EXG,53071,526115,Q,
20100223,EXG,131058,599212,Q,
20100224,EXG,92491,423617,Q,
20100225,EXG,203894,479814,Q,
20100226,EXG,158300,469923,Q,
20100301,EXG,171173,492946,Q,
20100302,EXG,247584,560359,Q,
20100303,EXG,107706,439751,Q,
20100304,EXG,150976,436579,Q,
20100305,EXG,101590,501046,Q,
20100308,EXG,54991,392713,Q,
20100309,EXG,98381,464928,Q,
20100310,EXG,107587,439735,Q,
20100311,EXG,95388,388078,Q,
20100312,EXG,70350,373444,Q,
20100315,EXG,100549,307843,Q,
20100316,EXG,121876,483010,Q,
20100317,EXG,96327,435564,Q,
20100318,EXG,112463,441664,Q,
20100319,EXG,165284,457091,Q,
20100322,EXG,72841,359548,Q,
20100323,EXG,80771,449452,Q,
20100324,EXG,75325,400720,Q,
20100325,EXG,118338,467993,Q,
20100326,EXG,94156,436058,Q,
20100329,EXG,91691,345939,Q,
20100330,EXG,120115,414939,Q,
20100331,EXG,87359,344337,Q,
20100401,EXG,100501,423142,Q,
20100405,EXG,79143,426269,Q,
20100406,EXG,175345,546860,Q,
20100407,EXG,138820,385167,Q,
20100408,EXG,157051,450410,Q,
20100409,EXG,95681,394686,Q,
20100412,EXG,125769,444096,Q,
20100413,EXG,92911,326346,Q,
20100414,EXG,111171,490999,Q,
20100415,EXG,121437,391964,Q,
20100416,EXG,148681,510694,Q,
20100419,EXG,106481,358271,Q,
20100420,EXG,125470,459151,Q,
20100421,EXG,138726,483721,Q,
20100422,EXG,91251,484138,Q,
20100423,EXG,128505,419053,Q,
20100426,EXG,97692,497254,Q,
20100427,EXG,142344,571147,Q,
20100428,EXG,163082,551842,Q,
20100429,EXG,96626,438402,Q,
20100430,EXG,146550,506943,Q,
20100503,EXG,184498,526839,Q,
20100504,EXG,117155,463243,Q,
20100510,EXG,325600,782677,Q,
20100511,EXG,171916,475524,Q,
20100512,EXG,147414,484327,Q,
20100513,EXG,259833,551784,Q,
20100517,EXG,152584,465597,Q,
20100518,EXG,215062,616450,Q,
20100519,EXG,357379,893376,Q,
20100520,EXG,456557,1796467,Q,
20100521,EXG,318750,640609,Q,
20100524,EXG,194857,534019,Q,
20100525,EXG,212534,763533,Q,
20100526,EXG,217263,508523,Q,
20100527,EXG,256885,591728,Q,
20100528,EXG,169899,551237,Q,
20100601,EXG,93073,417629,Q,
20100602,EXG,108254,377784,Q,
20100603,EXG,177021,518207,Q,
20100604,EXG,134616,477585,Q,
20100607,EXG,81276,436392,Q,
20100608,EXG,122101,518878,Q,
20100609,EXG,265865,673046,Q,
20100610,EXG,205652,517502,Q,
20100611,EXG,171663,410886,Q,
20100614,EXG,185164,445016,Q,
20100615,EXG,128815,425362,Q,
20100616,EXG,107300,397450,Q,
20100617,EXG,63592,362234,Q,
20100618,EXG,54932,274524,Q,
20100621,EXG,164731,461469,Q,
20100622,EXG,138365,379253,Q,
20100623,EXG,91171,347354,Q,
20100624,EXG,147928,482596,Q,
20100625,EXG,115439,402713,Q,
20100628,EXG,106635,513628,Q,
20100629,EXG,156290,1038185,Q,
20100630,EXG,152930,745721,Q,
20100701,EXG,376308,1131900,Q,
20100702,EXG,284905,707899,Q,
20100706,EXG,97507,578775,Q,
20100707,EXG,134878,677600,Q,
20100708,EXG,168975,610054,Q,
20100709,EXG,171977,575933,Q,
20110804,EXG,717913,1736122,,0.0
