,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,EXM,221608,731454,Q,
20100105,EXM,361137,892244,Q,
20100106,EXM,323358,790634,Q,
20100107,EXM,280958,619670,Q,
20100108,EXM,470675,1143668,Q,
20100111,EXM,245997,789267,Q,
20100112,EXM,196412,619054,Q,
20100113,EXM,244206,565412,Q,
20100114,EXM,180803,428735,Q,
20100115,EXM,115474,312857,Q,
20100119,EXM,221348,735698,Q,
20100120,EXM,626951,1072355,Q,
20100121,EXM,235158,553974,Q,
20100122,EXM,291638,531569,Q,
20100125,EXM,307728,517938,Q,
20100126,EXM,268098,561274,Q,
20100127,EXM,219262,456433,Q,
20100128,EXM,125492,338002,Q,
20100129,EXM,236878,606806,Q,
20100201,EXM,219383,470278,Q,
20100202,EXM,390737,687227,Q,
20100203,EXM,279647,602570,Q,
20100204,EXM,306398,900773,Q,
20100205,EXM,459980,1339187,Q,
20100208,EXM,145806,534468,Q,
20100209,EXM,676234,2075483,Q,
20100210,EXM,258413,555193,Q,
20100211,EXM,215215,531979,Q,
20100212,EXM,182643,575286,Q,
20100216,EXM,220256,769695,Q,
20100217,EXM,188177,578889,Q,
20100218,EXM,95866,270251,Q,
20100219,EXM,61771,327157,Q,
20100222,EXM,132054,535313,Q,
20100223,EXM,110789,602909,Q,
20100224,EXM,90488,435704,Q,
20100225,EXM,1671289,3683018,Q,
20100226,EXM,160609,587525,Q,
20100301,EXM,94940,599098,Q,
20100302,EXM,66641,646168,Q,
20100303,EXM,333691,1378990,Q,
20100304,EXM,387498,832450,Q,
20100305,EXM,243774,642666,Q,
20100308,EXM,435229,1224612,Q,
20100309,EXM,385200,1206662,Q,
20100310,EXM,172584,573365,Q,
20100311,EXM,191399,478694,Q,
20100312,EXM,246600,551870,Q,
20100315,EXM,149631,603182,Q,
20100316,EXM,117423,382894,Q,
20100317,EXM,119710,369111,Q,
20100318,EXM,208595,735555,Q,
20100319,EXM,90685,572291,Q,
20100322,EXM,166896,487107,Q,
20100323,EXM,158190,506853,Q,
20100324,EXM,209602,459577,Q,
20100325,EXM,174166,542026,Q,
20100326,EXM,88299,289053,Q,
20100329,EXM,135651,478652,Q,
20100330,EXM,250847,492846,Q,
20100331,EXM,147697,342077,Q,
20100401,EXM,261119,475711,Q,
20100405,EXM,154029,319072,Q,
20100406,EXM,329666,656755,Q,
20100407,EXM,313952,611784,Q,
20100408,EXM,191984,541000,Q,
20100409,EXM,341325,1055878,Q,
20100412,EXM,293380,790665,Q,
20100413,EXM,284211,600089,Q,
20100414,EXM,346582,707960,Q,
20100415,EXM,483696,940020,Q,
20100416,EXM,333614,806917,Q,
20100419,EXM,249610,602062,Q,
20100420,EXM,254192,493218,Q,
20100421,EXM,208223,551619,Q,
20100422,EXM,249078,501343,Q,
20100423,EXM,258955,538555,Q,
20100426,EXM,318015,666920,Q,
20100427,EXM,730619,1540872,Q,
20100428,EXM,601414,1092809,Q,
20100429,EXM,552664,1151052,Q,
20100430,EXM,238550,549250,Q,
20100503,EXM,331781,988270,Q,
20100504,EXM,409453,921949,Q,
20100510,EXM,382089,981592,Q,
20100511,EXM,153615,504511,Q,
20100512,EXM,255801,671821,Q,
20100513,EXM,159828,405846,Q,
20100517,EXM,335920,719142,Q,
20100518,EXM,134403,367849,Q,
20100519,EXM,283969,693389,Q,
20100520,EXM,202652,637392,Q,
20100521,EXM,292979,703239,Q,
20100524,EXM,104801,263965,Q,
20100525,EXM,169993,495463,Q,
20100526,EXM,246117,514739,Q,
20100527,EXM,245646,741011,Q,
20100528,EXM,162489,522517,Q,
20100601,EXM,101469,295879,Q,
20100602,EXM,163792,400180,Q,
20100603,EXM,156332,341554,Q,
20100604,EXM,192741,462610,Q,
20100607,EXM,199553,427099,Q,
20100608,EXM,442125,755901,Q,
20100609,EXM,273732,549586,Q,
20100610,EXM,165322,461966,Q,
20100611,EXM,93749,344670,Q,
20100614,EXM,176414,452742,Q,
20100615,EXM,94542,503967,Q,
20100616,EXM,144308,574164,Q,
20100617,EXM,166285,479241,Q,
20100618,EXM,165168,394904,Q,
20100621,EXM,63001,520922,Q,
20100622,EXM,80845,370029,Q,
20100623,EXM,109079,430101,Q,
20100624,EXM,144050,441019,Q,
20100625,EXM,158923,895062,Q,
20100628,EXM,107627,399240,Q,
20100629,EXM,192381,547251,Q,
20100630,EXM,207592,549508,Q,
20100701,EXM,148455,557059,Q,
20100702,EXM,108719,262285,Q,
20100706,EXM,262616,740483,Q,
20100707,EXM,294572,670939,Q,
20100708,EXM,155746,425604,Q,
20100709,EXM,84765,369995,Q,
20110804,EXM,127194,393253,,400.0
