,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FAN,3759,32685,Q,
20100105,FAN,2175,16019,Q,
20100106,FAN,3075,15848,Q,
20100107,FAN,4572,19181,Q,
20100108,FAN,8682,24578,Q,
20100111,FAN,36658,46102,Q,
20100112,FAN,17092,35807,Q,
20100113,FAN,5514,12026,Q,
20100114,FAN,20591,34032,Q,
20100115,FAN,7033,21482,Q,
20100119,FAN,25788,47769,Q,
20100120,FAN,5446,21342,Q,
20100121,FAN,1000,39720,Q,
20100122,FAN,1510,38989,Q,
20100125,FAN,1219,16863,Q,
20100126,FAN,150,20867,Q,
20100127,FAN,101,15480,Q,
20100128,FAN,1061,19007,Q,
20100129,FAN,5304,21798,Q,
20100201,FAN,1324,12725,Q,
20100202,FAN,1400,16258,Q,
20100203,FAN,960,9046,Q,
20100204,FAN,4707,41769,Q,
20100205,FAN,2097,31995,Q,
20100208,FAN,7250,166066,Q,
20100209,FAN,19976,31155,Q,
20100210,FAN,1559,8162,Q,
20100211,FAN,510,7097,Q,
20100212,FAN,958,14896,Q,
20100216,FAN,2189,11271,Q,
20100217,FAN,6675,14104,Q,
20100218,FAN,3656,9229,Q,
20100219,FAN,1973,8158,Q,
20100222,FAN,1145,5356,Q,
20100223,FAN,3085,11932,Q,
20100224,FAN,8156,18531,Q,
20100225,FAN,1964,5826,Q,
20100226,FAN,3141,8794,Q,
20100301,FAN,1000,12999,Q,
20100302,FAN,686,6877,Q,
20100303,FAN,7433,13123,Q,
20100304,FAN,1242,7584,Q,
20100305,FAN,9505,15735,Q,
20100308,FAN,3930,10157,Q,
20100309,FAN,1911,8756,Q,
20100310,FAN,1855,11080,Q,
20100311,FAN,6499,11147,Q,
20100312,FAN,2869,11239,Q,
20100315,FAN,2782,10290,Q,
20100316,FAN,2653,10183,Q,
20100317,FAN,1210,5808,Q,
20100318,FAN,100,13519,Q,
20100319,FAN,3385,12408,Q,
20100323,FAN,5593,19564,Q,
20100324,FAN,3124,9678,Q,
20100325,FAN,13021,19757,Q,
20100326,FAN,1465,10793,Q,
20100329,FAN,2500,9304,Q,
20100330,FAN,1830,7011,Q,
20100331,FAN,2800,17692,Q,
20100401,FAN,5600,25123,Q,
20100405,FAN,1700,13116,Q,
20100406,FAN,2168,11344,Q,
20100408,FAN,282,6854,Q,
20100409,FAN,3451,14158,Q,
20100412,FAN,1997,9540,Q,
20100413,FAN,1700,9156,Q,
20100414,FAN,3265,13081,Q,
20100415,FAN,3348,13987,Q,
20100416,FAN,6268,26192,Q,
20100419,FAN,1700,11990,Q,
20100420,FAN,4500,14986,Q,
20100421,FAN,5414,13139,Q,
20100422,FAN,4077,13024,Q,
20100423,FAN,3107,8735,Q,
20100426,FAN,6378,15878,Q,
20100427,FAN,5562,21651,Q,
20100428,FAN,11555,30677,Q,
20100429,FAN,15207,29814,Q,
20100430,FAN,11515,18479,Q,
20100503,FAN,4314,10806,Q,
20100504,FAN,14959,38465,Q,
20100510,FAN,9050,27351,Q,
20100511,FAN,17701,25191,Q,
20100512,FAN,9013,15314,Q,
20100513,FAN,4625,10440,Q,
20100517,FAN,4757,22041,Q,
20100518,FAN,7126,16936,Q,
20100519,FAN,5955,17984,Q,
20100520,FAN,6395,30821,Q,
20100521,FAN,3524,29440,Q,
20100524,FAN,1250,10785,Q,
20100525,FAN,9834,187603,Q,
20100526,FAN,1754,17925,Q,
20100527,FAN,16380,28448,Q,
20100528,FAN,5306,12990,Q,
20100601,FAN,6560,15787,Q,
20100602,FAN,3282,9658,Q,
20100603,FAN,4432,9320,Q,
20100604,FAN,9500,17887,Q,
20100607,FAN,4326,16175,Q,
20100608,FAN,7985,18949,Q,
20100609,FAN,1670,10243,Q,
20100610,FAN,1670,12818,Q,
20100611,FAN,4800,12933,Q,
20100614,FAN,3824,6684,Q,
20100615,FAN,8170,21155,Q,
20100616,FAN,8100,21722,Q,
20100617,FAN,4239,10039,Q,
20100618,FAN,2946,6262,Q,
20100621,FAN,15939,22246,Q,
20100622,FAN,5476,11609,Q,
20100623,FAN,2075,8387,Q,
20100624,FAN,2550,13090,Q,
20100628,FAN,2500,11162,Q,
20100629,FAN,92136,104502,Q,
20100630,FAN,6346,15071,Q,
20100701,FAN,3784,16251,Q,
20100702,FAN,755,10726,Q,
20100706,FAN,2227,6772,Q,
20100707,FAN,3600,12250,Q,
20100708,FAN,4070,8522,Q,
20100709,FAN,1300,4764,Q,
20110804,FAN,2100,17497,,0.0
