,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FAS,1677590,4408139,Q,
20100105,FAS,1502241,5736582,Q,
20100106,FAS,1212957,4636027,Q,
20100107,FAS,2615898,7921423,Q,
20100108,FAS,2006609,5386024,Q,
20100111,FAS,1581708,4856257,Q,
20100112,FAS,2539484,6275693,Q,
20100113,FAS,3243163,7134712,Q,
20100114,FAS,1787145,5587619,Q,
20100115,FAS,2773249,6258826,Q,
20100119,FAS,1723621,5931004,Q,
20100120,FAS,1964179,6525098,Q,
20100121,FAS,5876364,12384973,Q,
20100122,FAS,5065979,11654834,Q,
20100125,FAS,3778968,7923089,Q,
20100126,FAS,3841248,8331607,Q,
20100127,FAS,4923725,10178257,Q,
20100128,FAS,5083251,11715997,Q,
20100129,FAS,3715573,9819990,Q,
20100201,FAS,2729467,7241812,Q,
20100202,FAS,2000281,7295597,Q,
20100203,FAS,3543896,8707096,Q,
20100204,FAS,6205627,12230221,Q,
20100205,FAS,5247508,13879129,Q,
20100208,FAS,4446964,10665743,Q,
20100209,FAS,5478058,13630601,Q,
20100210,FAS,3553568,11781143,Q,
20100211,FAS,4413601,9668464,Q,
20100212,FAS,3322233,9106399,Q,
20100216,FAS,2669745,8624749,Q,
20100217,FAS,2216706,8124566,Q,
20100218,FAS,2118247,7114385,Q,
20100219,FAS,2201998,7228211,Q,
20100222,FAS,3074969,8389955,Q,
20100223,FAS,5528227,12901676,Q,
20100224,FAS,2654384,8526897,Q,
20100225,FAS,4888296,11345537,Q,
20100226,FAS,2876284,7986590,Q,
20100301,FAS,2525810,6153734,Q,
20100302,FAS,2736224,7799962,Q,
20100303,FAS,2694844,7115797,Q,
20100304,FAS,1770937,6560899,Q,
20100305,FAS,2723152,7899899,Q,
20100308,FAS,1695119,5367338,Q,
20100309,FAS,3595581,9221177,Q,
20100310,FAS,3628187,11028403,Q,
20100311,FAS,2659145,7935957,Q,
20100312,FAS,2710471,8001824,Q,
20100315,FAS,3006278,8427164,Q,
20100316,FAS,3225448,8368530,Q,
20100317,FAS,2349629,7879047,Q,
20100318,FAS,1666380,7334308,Q,
20100319,FAS,1596491,7941833,Q,
20100322,FAS,2896986,7406363,Q,
20100323,FAS,2662606,6639032,Q,
20100324,FAS,3100564,8611939,Q,
20100325,FAS,3282104,11946263,Q,
20100326,FAS,3050862,11177916,Q,
20100329,FAS,2811150,7717933,Q,
20100330,FAS,2688042,7448356,Q,
20100331,FAS,2112661,6871444,Q,
20100401,FAS,1734898,5533290,Q,
20100405,FAS,1446110,5127621,Q,
20100406,FAS,2402045,6165313,Q,
20100407,FAS,2695448,7194821,Q,
20100408,FAS,2361371,6366420,Q,
20100409,FAS,2156370,6259843,Q,
20100412,FAS,1760293,5202541,Q,
20100413,FAS,1865200,5022703,Q,
20100414,FAS,2584457,6808123,Q,
20100415,FAS,2803888,7054875,Q,
20100416,FAS,4050937,13864333,Q,
20100419,FAS,5713429,12625253,Q,
20100420,FAS,3987743,7980206,Q,
20100421,FAS,4608444,9621683,Q,
20100422,FAS,4400153,10433818,Q,
20100423,FAS,2402664,7163046,Q,
20100426,FAS,2767484,6231872,Q,
20100427,FAS,5305575,11086004,Q,
20100428,FAS,4141295,8187958,Q,
20100429,FAS,1910347,5142218,Q,
20100430,FAS,3408943,6999676,Q,
20100503,FAS,2436466,5074351,Q,
20100504,FAS,4018726,7059458,Q,
20100510,FAS,6906253,18159573,Q,
20100511,FAS,7543763,17264210,Q,
20100512,FAS,5151489,13140297,Q,
20100513,FAS,5415328,12223527,Q,
20100517,FAS,12641835,22895673,Q,
20100518,FAS,13079261,24451509,Q,
20100519,FAS,18924550,33047399,Q,
20100520,FAS,19131861,35917203,Q,
20100521,FAS,21117283,42782616,Q,
20100524,FAS,11869843,26629248,Q,
20100525,FAS,14848740,35808654,Q,
20100526,FAS,8263287,25344898,Q,
20100527,FAS,4522446,18992302,Q,
20100528,FAS,7664264,20294829,Q,
20100601,FAS,8262817,18915506,Q,
20100602,FAS,8215976,18328207,Q,
20100603,FAS,9162216,22044622,Q,
20100604,FAS,14856230,28748841,Q,
20100607,FAS,11402401,27120650,Q,
20100608,FAS,15027217,36951843,Q,
20100609,FAS,6913866,22444512,Q,
20100610,FAS,6230334,21577000,Q,
20100611,FAS,6689156,19013615,Q,
20100614,FAS,5462902,20220873,Q,
20100615,FAS,5288826,16627908,Q,
20100616,FAS,3902089,16553730,Q,
20100617,FAS,5150221,15525241,Q,
20100618,FAS,2723752,10751340,Q,
20100621,FAS,3115400,12235090,Q,
20100622,FAS,5367222,13560853,Q,
20100623,FAS,6224626,15131799,Q,
20100624,FAS,10192777,22203034,Q,
20100625,FAS,8585234,21193570,Q,
20100628,FAS,3766450,11872699,Q,
20100629,FAS,12542672,26146259,Q,
20100630,FAS,7808036,19047513,Q,
20100701,FAS,14629809,32217981,Q,
20100702,FAS,9939277,22003689,Q,
20100706,FAS,9095224,26772629,Q,
20100707,FAS,8031732,24863102,Q,
20100708,FAS,7526278,22043823,Q,
20100709,FAS,5819910,16371707,Q,
20110804,FAS,5736825,13551150,,437109.0
