,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100106,FBSI,200,200,Q,
20100107,FBSI,100,200,Q,
20100115,FBSI,100,100,Q,
20100120,FBSI,100,100,Q,
20100128,FBSI,100,100,Q,
20100129,FBSI,150,150,Q,
20100201,FBSI,100,100,Q,
20100202,FBSI,500,1546,Q,
20100203,FBSI,200,500,Q,
20100204,FBSI,100,100,Q,
20100205,FBSI,100,100,Q,
20100209,FBSI,100,100,Q,
20100211,FBSI,200,200,Q,
20100212,FBSI,100,200,Q,
20100216,FBSI,100,100,Q,
20100222,FBSI,100,100,Q,
20100303,FBSI,200,1000,Q,
20100304,FBSI,1000,1104,Q,
20100319,FBSI,400,500,Q,
20100405,FBSI,500,2500,Q,
20100419,FBSI,200,300,Q,
20100421,FBSI,300,500,Q,
20100423,FBSI,120,1931,Q,
20100513,FBSI,100,3700,Q,
20100518,FBSI,100,200,Q,
20100524,FBSI,100,200,Q,
20100528,FBSI,100,100,Q,
20100601,FBSI,280,280,Q,
20100602,FBSI,200,200,Q,
20100603,FBSI,300,600,Q,
20100604,FBSI,100,200,Q,
20100607,FBSI,100,100,Q,
20100629,FBSI,500,800,Q,
20100630,FBSI,200,900,Q,
20100701,FBSI,100,200,Q,
20100706,FBSI,100,100,Q,
20100707,FBSI,300,625,Q,
