,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FBSS,100,874,Q,
20100105,FBSS,300,300,Q,
20100108,FBSS,600,723,Q,
20100111,FBSS,416,1359,Q,
20100115,FBSS,842,2084,Q,
20100119,FBSS,300,300,Q,
20100125,FBSS,1001,1404,Q,
20100128,FBSS,100,1000,Q,
20100202,FBSS,170,170,Q,
20100203,FBSS,177,500,Q,
20100210,FBSS,100,100,Q,
20100222,FBSS,250,360,Q,
20100226,FBSS,100,200,Q,
20100303,FBSS,100,100,Q,
20100304,FBSS,300,300,Q,
20100311,FBSS,200,200,Q,
20100316,FBSS,200,200,Q,
20100317,FBSS,331,706,Q,
20100322,FBSS,900,1000,Q,
20100324,FBSS,700,1172,Q,
20100325,FBSS,180,480,Q,
20100330,FBSS,671,2071,Q,
20100401,FBSS,200,700,Q,
20100405,FBSS,200,300,Q,
20100412,FBSS,377,377,Q,
20100415,FBSS,360,460,Q,
20100416,FBSS,200,600,Q,
20100419,FBSS,100,100,Q,
20100420,FBSS,200,200,Q,
20100421,FBSS,300,1000,Q,
20100423,FBSS,100,400,Q,
20100427,FBSS,100,400,Q,
20100429,FBSS,100,200,Q,
20100503,FBSS,200,200,Q,
20100504,FBSS,585,985,Q,
20100510,FBSS,108,108,Q,
20100512,FBSS,200,600,Q,
20100520,FBSS,100,100,Q,
20100521,FBSS,200,200,Q,
20100602,FBSS,100,300,Q,
20100603,FBSS,200,200,Q,
20100604,FBSS,200,200,Q,
20100607,FBSS,100,550,Q,
20100608,FBSS,200,300,Q,
20100609,FBSS,1000,1000,Q,
20100614,FBSS,100,100,Q,
20100616,FBSS,300,400,Q,
20100623,FBSS,200,700,Q,
20100701,FBSS,200,200,Q,
20100707,FBSS,300,865,Q,
20100709,FBSS,100,100,Q,
20110804,FBSS,100,300,,0.0
