,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FCFC,1300,1787,Q,
20100105,FCFC,200,8396,Q,
20100106,FCFC,700,2900,Q,
20100107,FCFC,400,4661,Q,
20100108,FCFC,100,1200,Q,
20100111,FCFC,600,5394,Q,
20100112,FCFC,1603,2613,Q,
20100113,FCFC,4950,6700,Q,
20100114,FCFC,420,820,Q,
20100119,FCFC,100,2829,Q,
20100120,FCFC,2200,4335,Q,
20100121,FCFC,100,500,Q,
20100125,FCFC,100,500,Q,
20100126,FCFC,500,500,Q,
20100127,FCFC,4000,4600,Q,
20100201,FCFC,300,2010,Q,
20100205,FCFC,100,1483,Q,
20100208,FCFC,9717,14017,Q,
20100209,FCFC,4100,15046,Q,
20100210,FCFC,300,1400,Q,
20100211,FCFC,6492,9896,Q,
20100212,FCFC,891,2693,Q,
20100218,FCFC,100,200,Q,
20100219,FCFC,1000,1000,Q,
20100222,FCFC,800,2000,Q,
20100224,FCFC,666,3266,Q,
20100225,FCFC,449,849,Q,
20100226,FCFC,2662,5962,Q,
20100302,FCFC,2100,4931,Q,
20100303,FCFC,500,600,Q,
20100304,FCFC,710,2210,Q,
20100305,FCFC,300,4100,Q,
20100309,FCFC,500,1400,Q,
20100311,FCFC,100,1200,Q,
20100317,FCFC,300,850,Q,
20100318,FCFC,1600,2900,Q,
20100319,FCFC,500,1500,Q,
20100322,FCFC,1725,5104,Q,
20100323,FCFC,400,1398,Q,
20100324,FCFC,4475,12884,Q,
20100325,FCFC,890,7890,Q,
20100326,FCFC,800,2100,Q,
20100329,FCFC,1900,4000,Q,
20100330,FCFC,16901,34041,Q,
20100331,FCFC,6312,6512,Q,
20100401,FCFC,2393,5607,Q,
20100405,FCFC,400,2600,Q,
20100406,FCFC,1469,2669,Q,
20100407,FCFC,490,1521,Q,
20100408,FCFC,2172,3072,Q,
20100409,FCFC,1200,2222,Q,
20100412,FCFC,500,600,Q,
20100413,FCFC,800,1300,Q,
20100414,FCFC,4193,7600,Q,
20100415,FCFC,6308,8208,Q,
20100420,FCFC,900,2929,Q,
20100421,FCFC,500,1100,Q,
20100422,FCFC,400,725,Q,
20100426,FCFC,4100,7050,Q,
20100427,FCFC,800,2200,Q,
20100430,FCFC,2300,5400,Q,
20100503,FCFC,117,217,Q,
20100504,FCFC,700,1000,Q,
20100510,FCFC,200,700,Q,
20100517,FCFC,1476,5851,Q,
20100524,FCFC,400,2900,Q,
20100525,FCFC,600,1000,Q,
20100526,FCFC,2100,3200,Q,
20100527,FCFC,150,150,Q,
20100528,FCFC,4608,10501,Q,
20100601,FCFC,100,200,Q,
20100602,FCFC,500,2000,Q,
20100603,FCFC,4499,6494,Q,
20100604,FCFC,1600,2400,Q,
20100607,FCFC,700,3000,Q,
20100608,FCFC,600,1100,Q,
20100610,FCFC,300,1200,Q,
20100611,FCFC,300,698,Q,
20100614,FCFC,300,2000,Q,
20100615,FCFC,318,736,Q,
20100622,FCFC,240,340,Q,
20100623,FCFC,260,260,Q,
20100625,FCFC,300,800,Q,
20100629,FCFC,200,1450,Q,
20100630,FCFC,6600,8200,Q,
20100701,FCFC,1082,1199,Q,
20100702,FCFC,100,600,Q,
20100706,FCFC,763,2171,Q,
20100707,FCFC,200,2000,Q,
20100708,FCFC,600,700,Q,
20110804,FCFC,400,1000,,0.0
