,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FCZA,651,865,Q,
20100106,FCZA,400,400,Q,
20100108,FCZA,1665,1665,Q,
20100111,FCZA,2312,4024,Q,
20100112,FCZA,500,4520,Q,
20100113,FCZA,1600,2400,Q,
20100114,FCZA,200,500,Q,
20100115,FCZA,100,100,Q,
20100119,FCZA,880,1600,Q,
20100121,FCZA,108,208,Q,
20100122,FCZA,799,2599,Q,
20100126,FCZA,900,3148,Q,
20100127,FCZA,400,1600,Q,
20100128,FCZA,1411,2811,Q,
20100129,FCZA,1000,1325,Q,
20100201,FCZA,2302,3525,Q,
20100202,FCZA,224,1636,Q,
20100204,FCZA,1504,3604,Q,
20100208,FCZA,2500,6926,Q,
20100209,FCZA,1547,1847,Q,
20100210,FCZA,1927,2027,Q,
20100218,FCZA,1197,1397,Q,
20100222,FCZA,400,2732,Q,
20100225,FCZA,728,891,Q,
20100301,FCZA,512,512,Q,
20100305,FCZA,200,2906,Q,
20100308,FCZA,500,3201,Q,
20100309,FCZA,800,2420,Q,
20100311,FCZA,470,830,Q,
20100317,FCZA,5770,7745,Q,
20100318,FCZA,2500,7638,Q,
20100319,FCZA,1600,5670,Q,
20100322,FCZA,400,1700,Q,
20100323,FCZA,1500,2801,Q,
20100325,FCZA,8177,16812,Q,
20100326,FCZA,5400,9409,Q,
20100329,FCZA,5068,6168,Q,
20100330,FCZA,1673,2947,Q,
20100331,FCZA,5800,9796,Q,
20100401,FCZA,2684,4885,Q,
20100405,FCZA,753,2414,Q,
20100406,FCZA,200,600,Q,
20100407,FCZA,300,600,Q,
20100408,FCZA,1554,2054,Q,
20100409,FCZA,3074,7329,Q,
20100412,FCZA,2400,3100,Q,
20100413,FCZA,500,500,Q,
20100414,FCZA,493,1633,Q,
20100419,FCZA,400,4871,Q,
20100420,FCZA,100,900,Q,
20100421,FCZA,1400,8400,Q,
20100422,FCZA,3170,9950,Q,
20100423,FCZA,3390,8743,Q,
20100426,FCZA,5451,8206,Q,
20100427,FCZA,1960,7115,Q,
20100428,FCZA,2820,5895,Q,
20100429,FCZA,100,2700,Q,
20100430,FCZA,780,6000,Q,
20100503,FCZA,2202,2902,Q,
20100510,FCZA,600,1760,Q,
20100512,FCZA,543,3943,Q,
20100513,FCZA,300,2999,Q,
20100517,FCZA,1700,2300,Q,
20100519,FCZA,500,1100,Q,
20100521,FCZA,100,1100,Q,
20100525,FCZA,200,1851,Q,
20100526,FCZA,100,100,Q,
20100527,FCZA,225,425,Q,
20100601,FCZA,1219,1718,Q,
20100607,FCZA,418,2602,Q,
20100608,FCZA,3025,5324,Q,
20100610,FCZA,300,1500,Q,
20100617,FCZA,600,600,Q,
20100628,FCZA,100,200,Q,
20100701,FCZA,680,2180,Q,
20100702,FCZA,500,600,Q,
20100706,FCZA,300,2300,Q,
20110804,FCZA,400,2600,,0.0
