,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FDO,672004,1405749,Q,
20100105,FDO,625097,1569538,Q,
20100106,FDO,2421961,4928571,Q,
20100107,FDO,250651,827738,Q,
20100108,FDO,526879,955953,Q,
20100111,FDO,279915,649219,Q,
20100112,FDO,866240,1978882,Q,
20100113,FDO,354171,1325590,Q,
20100114,FDO,190790,550294,Q,
20100115,FDO,260336,610092,Q,
20100119,FDO,229840,555183,Q,
20100120,FDO,239665,474299,Q,
20100121,FDO,484789,879787,Q,
20100122,FDO,271783,588340,Q,
20100125,FDO,278937,478476,Q,
20100126,FDO,349372,692430,Q,
20100127,FDO,619531,753421,Q,
20100128,FDO,249570,526879,Q,
20100129,FDO,592784,808675,Q,
20100201,FDO,354307,597808,Q,
20100202,FDO,218342,425410,Q,
20100203,FDO,129122,360016,Q,
20100204,FDO,464250,838823,Q,
20100205,FDO,548072,1061258,Q,
20100208,FDO,389128,625892,Q,
20100209,FDO,111359,280650,Q,
20100210,FDO,303510,477461,Q,
20100211,FDO,191380,380321,Q,
20100212,FDO,246556,367940,Q,
20100216,FDO,297276,462192,Q,
20100217,FDO,117582,216697,Q,
20100218,FDO,143521,426652,Q,
20100219,FDO,254154,472809,Q,
20100222,FDO,186236,366241,Q,
20100223,FDO,138224,286955,Q,
20100224,FDO,246274,469620,Q,
20100225,FDO,267810,478198,Q,
20100226,FDO,207389,494039,Q,
20100301,FDO,324795,830593,Q,
20100302,FDO,282992,470368,Q,
20100303,FDO,242758,499160,Q,
20100304,FDO,1342856,3373662,Q,
20100305,FDO,346508,834220,Q,
20100308,FDO,208484,491945,Q,
20100309,FDO,237116,427895,Q,
20100310,FDO,167887,371880,Q,
20100311,FDO,98982,390680,Q,
20100312,FDO,120040,352487,Q,
20100315,FDO,71710,215557,Q,
20100316,FDO,61330,214903,Q,
20100317,FDO,277305,622480,Q,
20100318,FDO,177560,406736,Q,
20100319,FDO,149255,333367,Q,
20100322,FDO,131972,308170,Q,
20100323,FDO,289993,663280,Q,
20100324,FDO,114876,261239,Q,
20100325,FDO,146695,349507,Q,
20100326,FDO,209037,441007,Q,
20100329,FDO,208484,498496,Q,
20100330,FDO,267797,510500,Q,
20100331,FDO,208748,329239,Q,
20100401,FDO,184931,380028,Q,
20100405,FDO,293970,492958,Q,
20100406,FDO,480530,886025,Q,
20100407,FDO,1386170,3093898,Q,
20100408,FDO,897095,1680676,Q,
20100409,FDO,301815,853502,Q,
20100412,FDO,201429,532468,Q,
20100413,FDO,371118,769530,Q,
20100414,FDO,221946,481181,Q,
20100415,FDO,222245,442418,Q,
20100416,FDO,142274,645851,Q,
20100419,FDO,275659,727904,Q,
20100420,FDO,112855,377178,Q,
20100421,FDO,156022,370279,Q,
20100422,FDO,301893,845009,Q,
20100423,FDO,444754,1078191,Q,
20100426,FDO,229087,633373,Q,
20100427,FDO,252007,520131,Q,
20100428,FDO,176661,330452,Q,
20100429,FDO,166529,296961,Q,
20100430,FDO,219640,442569,Q,
20100503,FDO,152791,313557,Q,
20100504,FDO,363386,661873,Q,
20100510,FDO,372487,500669,Q,
20100511,FDO,170801,319438,Q,
20100512,FDO,125086,243241,Q,
20100513,FDO,2366379,2552851,Q,
20100517,FDO,166204,360261,Q,
20100518,FDO,258380,1763297,Q,
20100519,FDO,592864,1702033,Q,
20100520,FDO,280651,670137,Q,
20100521,FDO,386673,993571,Q,
20100524,FDO,187973,396711,Q,
20100525,FDO,136866,461536,Q,
20100526,FDO,270243,626449,Q,
20100527,FDO,425360,752739,Q,
20100528,FDO,123747,411882,Q,
20100601,FDO,155936,527314,Q,
20100602,FDO,432781,1956939,Q,
20100603,FDO,537366,1927675,Q,
20100604,FDO,282090,643391,Q,
20100607,FDO,162973,671000,Q,
20100608,FDO,211966,513636,Q,
20100609,FDO,121109,364714,Q,
20100610,FDO,140002,232009,Q,
20100611,FDO,144703,320918,Q,
20100614,FDO,239500,452853,Q,
20100615,FDO,377617,689383,Q,
20100616,FDO,234654,363020,Q,
20100617,FDO,119770,211328,Q,
20100618,FDO,161041,291929,Q,
20100621,FDO,193175,318241,Q,
20100622,FDO,257231,653340,Q,
20100623,FDO,304410,750607,Q,
20100624,FDO,416672,957518,Q,
20100625,FDO,385374,749592,Q,
20100628,FDO,204461,650353,Q,
20100629,FDO,588612,1164057,Q,
20100630,FDO,396507,1161022,Q,
20100701,FDO,349374,764169,Q,
20100702,FDO,242452,464615,Q,
20100706,FDO,481984,940554,Q,
20100707,FDO,1597807,4159301,Q,
20100708,FDO,469193,1184116,Q,
20100709,FDO,245887,562831,Q,
20110804,FDO,135435,643164,,100.0
