,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FELE,2400,6182,Q,
20100105,FELE,1973,6004,Q,
20100106,FELE,17353,32453,Q,
20100107,FELE,12139,18452,Q,
20100108,FELE,15399,20621,Q,
20100111,FELE,3850,16756,Q,
20100112,FELE,1814,4814,Q,
20100113,FELE,1280,6930,Q,
20100114,FELE,1025,3837,Q,
20100115,FELE,3124,13015,Q,
20100119,FELE,900,11186,Q,
20100120,FELE,15089,32794,Q,
20100121,FELE,3965,17728,Q,
20100122,FELE,4170,44064,Q,
20100125,FELE,3961,27144,Q,
20100126,FELE,4025,39075,Q,
20100127,FELE,5261,55243,Q,
20100128,FELE,2800,9630,Q,
20100129,FELE,7200,16103,Q,
20100201,FELE,6031,11631,Q,
20100202,FELE,25506,61577,Q,
20100203,FELE,3708,10938,Q,
20100204,FELE,3154,7773,Q,
20100205,FELE,15660,58819,Q,
20100208,FELE,3091,16500,Q,
20100209,FELE,3600,28000,Q,
20100210,FELE,3665,16465,Q,
20100211,FELE,4394,36262,Q,
20100212,FELE,2472,11572,Q,
20100216,FELE,17100,27402,Q,
20100217,FELE,42950,62907,Q,
20100218,FELE,6200,34825,Q,
20100219,FELE,1854,22378,Q,
20100222,FELE,21484,56293,Q,
20100223,FELE,2400,13820,Q,
20100224,FELE,4800,23868,Q,
20100225,FELE,8138,42832,Q,
20100226,FELE,12015,37140,Q,
20100301,FELE,7382,54199,Q,
20100302,FELE,5153,80625,Q,
20100303,FELE,1900,22086,Q,
20100304,FELE,7000,39284,Q,
20100305,FELE,7329,59990,Q,
20100308,FELE,2300,13346,Q,
20100309,FELE,3400,38048,Q,
20100310,FELE,4900,74989,Q,
20100311,FELE,40400,52820,Q,
20100312,FELE,6200,94399,Q,
20100315,FELE,2200,11433,Q,
20100316,FELE,700,21215,Q,
20100317,FELE,5468,229901,Q,
20100318,FELE,7962,298257,Q,
20100319,FELE,6067,22611,Q,
20100322,FELE,3517,74519,Q,
20100323,FELE,9041,150880,Q,
20100324,FELE,3718,21157,Q,
20100325,FELE,2822,28963,Q,
20100326,FELE,1911,27333,Q,
20100329,FELE,8453,181053,Q,
20100330,FELE,9047,63446,Q,
20100331,FELE,9306,296662,Q,
20100401,FELE,15075,25487,Q,
20100405,FELE,19714,120933,Q,
20100406,FELE,10511,25423,Q,
20100407,FELE,11983,24686,Q,
20100408,FELE,2100,13235,Q,
20100409,FELE,14445,35293,Q,
20100412,FELE,7806,16611,Q,
20100413,FELE,8198,13299,Q,
20100414,FELE,4800,15477,Q,
20100415,FELE,4010,15821,Q,
20100416,FELE,20612,30512,Q,
20100419,FELE,11028,24282,Q,
20100420,FELE,16379,61373,Q,
20100421,FELE,6973,19787,Q,
20100422,FELE,9663,28594,Q,
20100423,FELE,9158,187857,Q,
20100426,FELE,4801,15866,Q,
20100427,FELE,9647,20165,Q,
20100428,FELE,4129,12641,Q,
20100429,FELE,25008,50153,Q,
20100430,FELE,20700,43365,Q,
20100503,FELE,5811,19416,Q,
20100504,FELE,11804,29755,Q,
20100510,FELE,5700,12861,Q,
20100511,FELE,8624,16509,Q,
20100512,FELE,6450,12886,Q,
20100513,FELE,5493,9921,Q,
20100517,FELE,2593,7504,Q,
20100518,FELE,5227,12247,Q,
20100519,FELE,4520,14037,Q,
20100520,FELE,12190,30457,Q,
20100521,FELE,6115,22025,Q,
20100524,FELE,3210,7510,Q,
20100525,FELE,9439,89836,Q,
20100526,FELE,13928,57860,Q,
20100527,FELE,3709,62267,Q,
20100528,FELE,10979,64038,Q,
20100601,FELE,12310,20531,Q,
20100602,FELE,8685,18993,Q,
20100603,FELE,5460,13624,Q,
20100604,FELE,5550,9261,Q,
20100607,FELE,12793,20688,Q,
20100608,FELE,11979,19313,Q,
20100609,FELE,16525,72618,Q,
20100610,FELE,17445,26915,Q,
20100611,FELE,7602,16502,Q,
20100614,FELE,7960,14341,Q,
20100615,FELE,9847,16977,Q,
20100616,FELE,5575,13614,Q,
20100617,FELE,1400,4100,Q,
20100618,FELE,3322,15361,Q,
20100621,FELE,7648,15495,Q,
20100622,FELE,4452,19383,Q,
20100623,FELE,3300,19190,Q,
20100624,FELE,8704,19098,Q,
20100625,FELE,20144,50954,Q,
20100628,FELE,16945,31675,Q,
20100629,FELE,26144,40596,Q,
20100630,FELE,12232,21748,Q,
20100701,FELE,5403,12723,Q,
20100702,FELE,1795,7567,Q,
20100706,FELE,5877,15696,Q,
20100707,FELE,6364,16492,Q,
20100708,FELE,1532,2332,Q,
20100709,FELE,1606,3706,Q,
20110804,FELE,10889,21248,,0.0
