,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100105,FFFD,381,381,Q,
20100107,FFFD,1000,2300,Q,
20100111,FFFD,1825,3637,Q,
20100129,FFFD,103,103,Q,
20100202,FFFD,709,1573,Q,
20100203,FFFD,1095,1910,Q,
20100205,FFFD,200,339,Q,
20100208,FFFD,900,1772,Q,
20100209,FFFD,400,400,Q,
20100210,FFFD,1200,1600,Q,
20100211,FFFD,399,899,Q,
20100217,FFFD,300,984,Q,
20100219,FFFD,200,200,Q,
20100225,FFFD,349,449,Q,
20100301,FFFD,328,1128,Q,
20100302,FFFD,219,219,Q,
20100303,FFFD,644,644,Q,
20100304,FFFD,200,400,Q,
20100310,FFFD,100,100,Q,
20100316,FFFD,300,300,Q,
20100318,FFFD,400,400,Q,
20100319,FFFD,100,100,Q,
20100323,FFFD,1000,2068,Q,
20100325,FFFD,400,400,Q,
20100329,FFFD,100,100,Q,
20100401,FFFD,200,800,Q,
20100405,FFFD,254,445,Q,
20100407,FFFD,100,100,Q,
20100409,FFFD,1808,2074,Q,
20100412,FFFD,201,602,Q,
20100414,FFFD,452,652,Q,
20100415,FFFD,300,500,Q,
20100419,FFFD,300,300,Q,
20100420,FFFD,900,2100,Q,
20100421,FFFD,100,300,Q,
20100430,FFFD,108,216,Q,
20100504,FFFD,144,144,Q,
20100520,FFFD,100,100,Q,
20100528,FFFD,100,100,Q,
20100602,FFFD,300,300,Q,
20100604,FFFD,200,1500,Q,
20100609,FFFD,100,1348,Q,
20100629,FFFD,100,100,Q,
20100701,FFFD,600,600,Q,
20100702,FFFD,100,471,Q,
20100706,FFFD,200,418,Q,
