,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FNI,12274,29741,Q,
20100105,FNI,18710,22209,Q,
20100106,FNI,47697,51643,Q,
20100107,FNI,19800,36845,Q,
20100108,FNI,13801,22586,Q,
20100111,FNI,13416,17137,Q,
20100112,FNI,15514,30875,Q,
20100113,FNI,8563,20790,Q,
20100114,FNI,12126,56031,Q,
20100115,FNI,14689,29322,Q,
20100119,FNI,24571,37741,Q,
20100120,FNI,10303,31298,Q,
20100121,FNI,12750,46883,Q,
20100122,FNI,10113,51243,Q,
20100125,FNI,6246,26795,Q,
20100126,FNI,4788,42169,Q,
20100127,FNI,2615,44513,Q,
20100128,FNI,8613,35270,Q,
20100129,FNI,9232,46812,Q,
20100201,FNI,29212,50741,Q,
20100202,FNI,9931,31447,Q,
20100203,FNI,10035,348275,Q,
20100204,FNI,8017,41220,Q,
20100205,FNI,8215,64246,Q,
20100208,FNI,2440,23570,Q,
20100209,FNI,9399,26828,Q,
20100210,FNI,3554,12554,Q,
20100211,FNI,42549,53568,Q,
20100212,FNI,19052,22831,Q,
20100216,FNI,28559,33593,Q,
20100217,FNI,9852,14141,Q,
20100218,FNI,7042,11877,Q,
20100219,FNI,9467,18454,Q,
20100222,FNI,10354,15713,Q,
20100223,FNI,4222,13978,Q,
20100224,FNI,8888,10895,Q,
20100225,FNI,7401,15740,Q,
20100226,FNI,9514,12944,Q,
20100301,FNI,14731,22202,Q,
20100302,FNI,19001,24724,Q,
20100303,FNI,407664,412238,Q,
20100304,FNI,118218,123173,Q,
20100305,FNI,19590,42314,Q,
20100308,FNI,120351,129158,Q,
20100309,FNI,21085,28413,Q,
20100310,FNI,11926,22023,Q,
20100311,FNI,9454,17672,Q,
20100312,FNI,18632,30783,Q,
20100315,FNI,10805,29705,Q,
20100316,FNI,9713,17281,Q,
20100317,FNI,23696,34122,Q,
20100318,FNI,159908,172391,Q,
20100319,FNI,6353,14657,Q,
20100322,FNI,12192,20504,Q,
20100323,FNI,11533,22797,Q,
20100324,FNI,10702,17352,Q,
20100325,FNI,15547,26056,Q,
20100326,FNI,36810,72738,Q,
20100329,FNI,14425,43255,Q,
20100330,FNI,7355,31941,Q,
20100331,FNI,17927,26374,Q,
20100401,FNI,12992,24600,Q,
20100405,FNI,11134,23984,Q,
20100406,FNI,19050,29310,Q,
20100407,FNI,18354,130346,Q,
20100408,FNI,4550,11339,Q,
20100409,FNI,6238,11398,Q,
20100412,FNI,5416,22141,Q,
20100413,FNI,4917,12129,Q,
20100414,FNI,15400,27329,Q,
20100415,FNI,10775,21400,Q,
20100416,FNI,13005,29631,Q,
20100419,FNI,8969,32078,Q,
20100420,FNI,3756,13824,Q,
20100421,FNI,3603,12219,Q,
20100422,FNI,8411,14890,Q,
20100423,FNI,6299,15036,Q,
20100426,FNI,8801,29554,Q,
20100427,FNI,4331,22701,Q,
20100428,FNI,4704,24098,Q,
20100429,FNI,8976,15889,Q,
20100430,FNI,1181,9510,Q,
20100503,FNI,5480,16834,Q,
20100504,FNI,5872,34136,Q,
20100510,FNI,6570,31579,Q,
20100511,FNI,2339,18369,Q,
20100512,FNI,6460,20126,Q,
20100513,FNI,10461,26945,Q,
20100517,FNI,1930,15106,Q,
20100518,FNI,600,10525,Q,
20100519,FNI,1884,29234,Q,
20100520,FNI,1506,31848,Q,
20100521,FNI,882,262113,Q,
20100524,FNI,2372,22608,Q,
20100525,FNI,26824,61550,Q,
20100526,FNI,25587,52574,Q,
20100527,FNI,3925,12276,Q,
20100528,FNI,3407,9079,Q,
20100601,FNI,5979,16959,Q,
20100602,FNI,14236,24119,Q,
20100603,FNI,1814,7682,Q,
20100604,FNI,2000,13079,Q,
20100607,FNI,3185,9488,Q,
20100608,FNI,4068,19822,Q,
20100609,FNI,1791,7407,Q,
20100610,FNI,3512,8608,Q,
20100611,FNI,3086,14846,Q,
20100614,FNI,23898,36208,Q,
20100615,FNI,14906,20996,Q,
20100616,FNI,11073,18876,Q,
20100617,FNI,29412,35461,Q,
20100618,FNI,53228,64441,Q,
20100621,FNI,18171,31935,Q,
20100622,FNI,11930,15041,Q,
20100623,FNI,10505,18932,Q,
20100624,FNI,400,5214,Q,
20100625,FNI,8361,12966,Q,
20100628,FNI,273892,280858,Q,
20100629,FNI,8417,24865,Q,
20100630,FNI,2966,14107,Q,
20100701,FNI,1600,221040,Q,
20100702,FNI,1867,11711,Q,
20100706,FNI,1204,17926,Q,
20100707,FNI,5753,13104,Q,
20100708,FNI,17015,47572,Q,
20100709,FNI,5743,30471,Q,
20110804,FNI,2172,30664,,0.0
