,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FOF,28626,82646,Q,
20100105,FOF,15786,75360,Q,
20100106,FOF,4366,44339,Q,
20100107,FOF,11291,34740,Q,
20100108,FOF,5087,81027,Q,
20100111,FOF,6895,38560,Q,
20100112,FOF,15981,32060,Q,
20100113,FOF,20670,64809,Q,
20100114,FOF,10950,51900,Q,
20100115,FOF,6844,39686,Q,
20100119,FOF,3655,20208,Q,
20100120,FOF,15250,40212,Q,
20100121,FOF,14336,60067,Q,
20100122,FOF,2828,37846,Q,
20100125,FOF,21643,57026,Q,
20100126,FOF,8642,46697,Q,
20100127,FOF,12450,65252,Q,
20100128,FOF,4591,25885,Q,
20100129,FOF,6280,27427,Q,
20100201,FOF,3157,36764,Q,
20100202,FOF,8645,28461,Q,
20100203,FOF,9202,27248,Q,
20100204,FOF,8250,28924,Q,
20100205,FOF,13616,56564,Q,
20100208,FOF,6035,39989,Q,
20100209,FOF,11063,35369,Q,
20100210,FOF,8525,19226,Q,
20100211,FOF,8070,33262,Q,
20100212,FOF,2608,17283,Q,
20100216,FOF,24263,50107,Q,
20100217,FOF,15809,43097,Q,
20100218,FOF,3211,25485,Q,
20100219,FOF,5504,32575,Q,
20100222,FOF,4802,30775,Q,
20100223,FOF,34584,73292,Q,
20100224,FOF,24233,51437,Q,
20100225,FOF,16192,41725,Q,
20100226,FOF,7957,44161,Q,
20100301,FOF,11230,22928,Q,
20100302,FOF,27551,34321,Q,
20100303,FOF,18655,37936,Q,
20100304,FOF,12664,25002,Q,
20100305,FOF,21960,36480,Q,
20100308,FOF,18510,36351,Q,
20100309,FOF,5185,21949,Q,
20100310,FOF,5715,40287,Q,
20100311,FOF,8681,27410,Q,
20100312,FOF,2700,43288,Q,
20100315,FOF,4300,38944,Q,
20100316,FOF,5435,46473,Q,
20100317,FOF,8354,41997,Q,
20100318,FOF,8230,29584,Q,
20100319,FOF,26783,50185,Q,
20100322,FOF,16330,45893,Q,
20100323,FOF,6500,37365,Q,
20100324,FOF,14650,40362,Q,
20100325,FOF,4860,39447,Q,
20100326,FOF,4020,24719,Q,
20100329,FOF,1826,15366,Q,
20100330,FOF,9690,25914,Q,
20100331,FOF,1572,17271,Q,
20100401,FOF,5840,28642,Q,
20100405,FOF,20560,46206,Q,
20100406,FOF,14018,34161,Q,
20100407,FOF,16807,30254,Q,
20100408,FOF,5548,27334,Q,
20100409,FOF,2450,14592,Q,
20100412,FOF,4659,19498,Q,
20100413,FOF,1560,17591,Q,
20100414,FOF,12051,39408,Q,
20100415,FOF,7530,34495,Q,
20100416,FOF,2710,45212,Q,
20100419,FOF,1345,23635,Q,
20100420,FOF,37287,74139,Q,
20100421,FOF,4830,21504,Q,
20100422,FOF,3667,15117,Q,
20100423,FOF,3682,12171,Q,
20100426,FOF,12960,36253,Q,
20100427,FOF,1696,20510,Q,
20100428,FOF,4774,16618,Q,
20100429,FOF,8127,27180,Q,
20100430,FOF,26060,41445,Q,
20100503,FOF,8579,20661,Q,
20100504,FOF,15669,27034,Q,
20100510,FOF,25171,50739,Q,
20100511,FOF,5045,32644,Q,
20100512,FOF,8369,43388,Q,
20100513,FOF,4016,18730,Q,
20100517,FOF,15316,25696,Q,
20100518,FOF,45725,74437,Q,
20100519,FOF,17426,54179,Q,
20100520,FOF,57723,122026,Q,
20100521,FOF,9652,38574,Q,
20100524,FOF,9174,37497,Q,
20100525,FOF,46650,111154,Q,
20100526,FOF,9903,32411,Q,
20100527,FOF,3391,81172,Q,
20100528,FOF,19673,34222,Q,
20100601,FOF,5306,32265,Q,
20100602,FOF,10486,29782,Q,
20100603,FOF,7189,27278,Q,
20100604,FOF,17814,37611,Q,
20100607,FOF,5432,32461,Q,
20100608,FOF,11218,34021,Q,
20100609,FOF,17886,32587,Q,
20100610,FOF,11497,23522,Q,
20100611,FOF,4372,10828,Q,
20100614,FOF,7110,15197,Q,
20100615,FOF,7674,28563,Q,
20100616,FOF,9630,34463,Q,
20100617,FOF,4350,11553,Q,
20100618,FOF,7754,19870,Q,
20100621,FOF,5380,26083,Q,
20100622,FOF,3745,18592,Q,
20100623,FOF,15125,47184,Q,
20100624,FOF,4079,26137,Q,
20100625,FOF,2580,17646,Q,
20100628,FOF,4086,27649,Q,
20100629,FOF,6659,23642,Q,
20100630,FOF,4751,26971,Q,
20100701,FOF,19269,53850,Q,
20100702,FOF,13000,42213,Q,
20100706,FOF,7527,37657,Q,
20100707,FOF,4200,29938,Q,
20100708,FOF,6172,16570,Q,
20100709,FOF,8376,27397,Q,
20110804,FOF,23985,94899,,0.0
