,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FR,123658,255526,Q,
20100105,FR,173596,408428,Q,
20100106,FR,53153,266516,Q,
20100107,FR,72878,298372,Q,
20100108,FR,93205,190870,Q,
20100111,FR,43580,135662,Q,
20100112,FR,41068,107696,Q,
20100113,FR,137366,274935,Q,
20100114,FR,30786,123842,Q,
20100115,FR,50753,89136,Q,
20100119,FR,96811,247699,Q,
20100120,FR,134467,227483,Q,
20100121,FR,70979,217868,Q,
20100122,FR,148913,342167,Q,
20100125,FR,120056,358474,Q,
20100126,FR,184199,307770,Q,
20100127,FR,63289,175629,Q,
20100128,FR,58692,155520,Q,
20100129,FR,80945,174884,Q,
20100201,FR,35745,90052,Q,
20100202,FR,86301,184813,Q,
20100203,FR,77567,139577,Q,
20100204,FR,122825,242470,Q,
20100205,FR,59869,167305,Q,
20100208,FR,89821,183942,Q,
20100209,FR,62322,122413,Q,
20100210,FR,27550,84357,Q,
20100211,FR,39460,93494,Q,
20100212,FR,42011,98949,Q,
20100216,FR,51889,149758,Q,
20100217,FR,43871,117568,Q,
20100218,FR,39811,84226,Q,
20100219,FR,94088,206390,Q,
20100222,FR,64041,158302,Q,
20100223,FR,104367,194421,Q,
20100224,FR,70023,194864,Q,
20100225,FR,67334,220943,Q,
20100226,FR,66000,152210,Q,
20100301,FR,82097,234343,Q,
20100302,FR,47716,229699,Q,
20100303,FR,58540,292281,Q,
20100304,FR,62062,251108,Q,
20100305,FR,120015,389750,Q,
20100308,FR,91097,355753,Q,
20100309,FR,151811,487335,Q,
20100310,FR,155589,412827,Q,
20100311,FR,342643,1895217,Q,
20100312,FR,252568,577539,Q,
20100315,FR,59983,729403,Q,
20100316,FR,116650,579927,Q,
20100317,FR,366498,1298827,Q,
20100318,FR,135039,580666,Q,
20100319,FR,79667,472158,Q,
20100322,FR,78218,371498,Q,
20100323,FR,124715,330722,Q,
20100324,FR,215888,648920,Q,
20100325,FR,246035,583838,Q,
20100326,FR,221941,709694,Q,
20100329,FR,95112,285243,Q,
20100330,FR,74343,316998,Q,
20100331,FR,168174,691648,Q,
20100401,FR,97991,236885,Q,
20100405,FR,130155,455442,Q,
20100406,FR,220942,491368,Q,
20100407,FR,359867,726328,Q,
20100408,FR,351468,1107956,Q,
20100409,FR,191911,1363527,Q,
20100412,FR,323179,745110,Q,
20100413,FR,252775,547281,Q,
20100414,FR,237234,736508,Q,
20100415,FR,120968,510043,Q,
20100416,FR,89221,313979,Q,
20100419,FR,104570,248631,Q,
20100420,FR,190783,569610,Q,
20100421,FR,185560,450567,Q,
20100422,FR,173839,359212,Q,
20100423,FR,94194,312863,Q,
20100426,FR,106933,268780,Q,
20100427,FR,123784,323686,Q,
20100428,FR,237928,830754,Q,
20100429,FR,164328,644136,Q,
20100430,FR,142935,316679,Q,
20100503,FR,326769,638152,Q,
20100504,FR,122452,353900,Q,
20100510,FR,79986,327064,Q,
20100511,FR,51940,209154,Q,
20100512,FR,38079,162268,Q,
20100513,FR,84993,418272,Q,
20100517,FR,84540,323908,Q,
20100518,FR,74087,272035,Q,
20100519,FR,142597,494978,Q,
20100520,FR,218471,515301,Q,
20100521,FR,141021,343117,Q,
20100524,FR,79851,204635,Q,
20100525,FR,144524,344466,Q,
20100526,FR,158341,332841,Q,
20100527,FR,99837,237280,Q,
20100528,FR,85308,201422,Q,
20100601,FR,51301,140365,Q,
20100602,FR,77116,255492,Q,
20100603,FR,65947,248341,Q,
20100604,FR,147643,393818,Q,
20100607,FR,146754,369724,Q,
20100608,FR,181200,582553,Q,
20100609,FR,100409,326156,Q,
20100610,FR,101209,843717,Q,
20100611,FR,95677,255055,Q,
20100614,FR,123467,338465,Q,
20100615,FR,108851,294088,Q,
20100616,FR,177051,358737,Q,
20100617,FR,47497,148775,Q,
20100618,FR,69543,177883,Q,
20100621,FR,202733,397756,Q,
20100622,FR,137222,284766,Q,
20100623,FR,112577,177138,Q,
20100624,FR,94021,209460,Q,
20100625,FR,98027,210284,Q,
20100628,FR,104011,255277,Q,
20100629,FR,68366,259399,Q,
20100630,FR,178610,456779,Q,
20100701,FR,208331,643555,Q,
20100702,FR,70343,256734,Q,
20100706,FR,386051,810184,Q,
20100707,FR,345176,592549,Q,
20100708,FR,441172,679443,Q,
20100709,FR,324477,573571,Q,
20110804,FR,99203,723125,,0.0
