,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FREpB,2715,4615,Q,
20100105,FREpB,200,600,Q,
20100106,FREpB,1400,4500,Q,
20100107,FREpB,4816,7292,Q,
20100108,FREpB,3900,5300,Q,
20100111,FREpB,8261,336060,Q,
20100112,FREpB,3500,4100,Q,
20100113,FREpB,200,200700,Q,
20100114,FREpB,4860,1158072,Q,
20100115,FREpB,400,4100,Q,
20100119,FREpB,880,3740,Q,
20100120,FREpB,360,11360,Q,
20100122,FREpB,700,14120,Q,
20100125,FREpB,140,13040,Q,
20100127,FREpB,100,300,Q,
20100217,FREpB,150,150,Q,
20100224,FREpB,600,900,Q,
20100225,FREpB,200,200,Q,
20100303,FREpB,400,1000,Q,
20100309,FREpB,200,1100,Q,
20100310,FREpB,10300,23700,Q,
20100311,FREpB,6200,6300,Q,
20100312,FREpB,3000,3000,Q,
20100315,FREpB,400,400,Q,
20100317,FREpB,300,300,Q,
20100318,FREpB,1200,1500,Q,
20100319,FREpB,301,1801,Q,
20100323,FREpB,3000,3200,Q,
20100324,FREpB,105,1705,Q,
20100326,FREpB,200,700,Q,
20100329,FREpB,1000,1000,Q,
20100330,FREpB,400,790,Q,
20100331,FREpB,100,300,Q,
20100405,FREpB,21900,24100,Q,
20100408,FREpB,1300,3150,Q,
20100409,FREpB,900,900,Q,
20100412,FREpB,400,1700,Q,
20100414,FREpB,1250,1737,Q,
20100415,FREpB,1300,4350,Q,
20100430,FREpB,150,150,Q,
20100525,FREpB,500,850,Q,
20100601,FREpB,200,600,Q,
20100602,FREpB,300,300,Q,
20100616,FREpB,61601,85536,Q,
20100617,FREpB,12800,13900,Q,
20100623,FREpB,400,600,Q,
20100702,FREpB,300,980,Q,
