,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100111,FREpK,434,634,Q,
20100112,FREpK,107,107,Q,
20100115,FREpK,131,131,Q,
20100120,FREpK,200,200,Q,
20100122,FREpK,4948,5548,Q,
20100125,FREpK,500,1005,Q,
20100126,FREpK,100,100,Q,
20100128,FREpK,1320,2257,Q,
20100201,FREpK,100,3600,Q,
20100210,FREpK,2369,5269,Q,
20100216,FREpK,100,100,Q,
20100224,FREpK,1100,1100,Q,
20100226,FREpK,400,400,Q,
20100309,FREpK,1200,1200,Q,
20100316,FREpK,200,1010,Q,
20100317,FREpK,200,1400,Q,
20100319,FREpK,100,2200,Q,
20100322,FREpK,400,14900,Q,
20100324,FREpK,200,1100,Q,
20100405,FREpK,100,100,Q,
20100409,FREpK,100,2150,Q,
20100412,FREpK,100,100,Q,
20100414,FREpK,300,405,Q,
20100416,FREpK,500,500,Q,
20100419,FREpK,100,1600,Q,
20100420,FREpK,200,200,Q,
20100422,FREpK,100,1080,Q,
20100423,FREpK,2700,15525,Q,
20100426,FREpK,880,6480,Q,
20100427,FREpK,5376,8476,Q,
20100503,FREpK,1400,1400,Q,
20100504,FREpK,356,656,Q,
20100511,FREpK,400,1700,Q,
20100517,FREpK,1600,2700,Q,
20100518,FREpK,1768,1768,Q,
20100524,FREpK,225,225,Q,
20100526,FREpK,196,196,Q,
20100616,FREpK,19400,23120,Q,
20100617,FREpK,1960,998370,Q,
20100618,FREpK,240,957,Q,
20100621,FREpK,5000,5400,Q,
20100622,FREpK,14500,15868,Q,
20100624,FREpK,200,200,Q,
20100625,FREpK,490,22590,Q,
20100628,FREpK,200,2300,Q,
20100701,FREpK,2100,2844,Q,
20100706,FREpK,4656,5886,Q,
