,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FREpO,368,12362,Q,
20100105,FREpO,2826,5208,Q,
20100106,FREpO,100,500,Q,
20100107,FREpO,926,1726,Q,
20100108,FREpO,2600,59770,Q,
20100120,FREpO,100,100,Q,
20100121,FREpO,1000,2100,Q,
20100122,FREpO,300,3100,Q,
20100208,FREpO,500,500,Q,
20100216,FREpO,700,1625,Q,
20100302,FREpO,139,1339,Q,
20100304,FREpO,100,400,Q,
20100317,FREpO,1750,3450,Q,
20100318,FREpO,5000,6100,Q,
20100319,FREpO,2100,5300,Q,
20100322,FREpO,7035,16710,Q,
20100324,FREpO,100,860,Q,
20100325,FREpO,700,2190,Q,
20100331,FREpO,200,2066,Q,
20100415,FREpO,4060,10560,Q,
20100419,FREpO,500,2815,Q,
20100420,FREpO,300,600,Q,
20100423,FREpO,1000,4300,Q,
20100427,FREpO,576,576,Q,
20100429,FREpO,400,400,Q,
20100430,FREpO,400,400,Q,
20100518,FREpO,2220,4120,Q,
20100519,FREpO,500,500,Q,
20100527,FREpO,100,100,Q,
20100602,FREpO,100,800,Q,
20100607,FREpO,400,800,Q,
20100614,FREpO,3100,4000,Q,
20100615,FREpO,200,200,Q,
20100616,FREpO,9100,34450,Q,
20100617,FREpO,5800,7400,Q,
20100618,FREpO,1000,4575,Q,
20100621,FREpO,400,6700,Q,
20100625,FREpO,28000,95700,Q,
20100628,FREpO,3537,5669,Q,
20100707,FREpO,500,500,Q,
