,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FRZ,43500,124602,Q,
20100105,FRZ,11700,46962,Q,
20100106,FRZ,19158,79488,Q,
20100107,FRZ,19239,89847,Q,
20100108,FRZ,20971,51495,Q,
20100111,FRZ,49831,95467,Q,
20100112,FRZ,21139,47214,Q,
20100113,FRZ,47823,91182,Q,
20100114,FRZ,33195,71877,Q,
20100115,FRZ,23450,46120,Q,
20100119,FRZ,43575,62782,Q,
20100120,FRZ,21782,54965,Q,
20100121,FRZ,25952,84642,Q,
20100122,FRZ,3200,39846,Q,
20100125,FRZ,27182,45856,Q,
20100126,FRZ,52995,143145,Q,
20100127,FRZ,59501,95082,Q,
20100128,FRZ,7070,31444,Q,
20100129,FRZ,27439,121362,Q,
20100201,FRZ,38959,78056,Q,
20100202,FRZ,30851,124733,Q,
20100203,FRZ,17929,98744,Q,
20100204,FRZ,88525,207294,Q,
20100205,FRZ,54956,143995,Q,
20100208,FRZ,10460,52554,Q,
20100209,FRZ,10836,47207,Q,
20100210,FRZ,25776,48341,Q,
20100211,FRZ,32316,56823,Q,
20100212,FRZ,62527,94825,Q,
20100216,FRZ,58828,107600,Q,
20100217,FRZ,30433,133415,Q,
20100218,FRZ,5800,40932,Q,
20100219,FRZ,35173,202859,Q,
20100222,FRZ,17819,105889,Q,
20100223,FRZ,8888,54709,Q,
20100224,FRZ,10100,99020,Q,
20100225,FRZ,19400,99655,Q,
20100226,FRZ,37436,167834,Q,
20100301,FRZ,74000,385702,Q,
20100302,FRZ,17875,86304,Q,
20100303,FRZ,31299,106378,Q,
20100304,FRZ,19429,57033,Q,
20100305,FRZ,8800,31870,Q,
20100308,FRZ,41467,95895,Q,
20100309,FRZ,20556,40396,Q,
20100310,FRZ,27615,89780,Q,
20100311,FRZ,9568,18818,Q,
20100312,FRZ,9500,18819,Q,
20100315,FRZ,7450,50529,Q,
20100316,FRZ,10300,34316,Q,
20100317,FRZ,16121,58344,Q,
20100318,FRZ,9246,25139,Q,
20100319,FRZ,15652,46592,Q,
20100322,FRZ,18527,59893,Q,
20100323,FRZ,10661,62511,Q,
20100324,FRZ,12100,44456,Q,
20100325,FRZ,3250,26984,Q,
20100326,FRZ,1888,29863,Q,
20100329,FRZ,1346,15824,Q,
20100330,FRZ,2005,26531,Q,
20100331,FRZ,4661,14511,Q,
20100401,FRZ,15327,38055,Q,
20100405,FRZ,16350,43520,Q,
20100406,FRZ,9800,34048,Q,
20100407,FRZ,12897,41852,Q,
20100408,FRZ,5975,22545,Q,
20100409,FRZ,8900,48350,Q,
20100412,FRZ,31935,162093,Q,
20100413,FRZ,14950,85667,Q,
20100414,FRZ,24000,48585,Q,
20100415,FRZ,30740,67465,Q,
20100416,FRZ,51931,77371,Q,
20100419,FRZ,34377,96158,Q,
20100420,FRZ,38480,68299,Q,
20100421,FRZ,25649,45636,Q,
20100422,FRZ,78356,139314,Q,
20100423,FRZ,27903,63366,Q,
20100426,FRZ,61348,114067,Q,
20100427,FRZ,26854,59883,Q,
20100428,FRZ,20800,38810,Q,
20100429,FRZ,16532,43903,Q,
20100430,FRZ,14355,26000,Q,
20100503,FRZ,23169,54565,Q,
20100504,FRZ,23718,54701,Q,
20100510,FRZ,17566,25016,Q,
20100511,FRZ,8800,12000,Q,
20100512,FRZ,17557,55514,Q,
20100513,FRZ,2200,11325,Q,
20100517,FRZ,2225,23930,Q,
20100518,FRZ,10200,32313,Q,
20100519,FRZ,7600,27665,Q,
20100520,FRZ,9200,67425,Q,
20100521,FRZ,13205,49749,Q,
20100524,FRZ,16241,31184,Q,
20100525,FRZ,8835,38769,Q,
20100526,FRZ,3881,25851,Q,
20100527,FRZ,3751,14951,Q,
20100528,FRZ,18624,34070,Q,
20100601,FRZ,3135,18503,Q,
20100602,FRZ,6544,17444,Q,
20100603,FRZ,1230,41630,Q,
20100604,FRZ,3900,31149,Q,
20100607,FRZ,7200,64231,Q,
20100608,FRZ,2332,27084,Q,
20100609,FRZ,2042,10928,Q,
20100610,FRZ,10250,29700,Q,
20100611,FRZ,6500,9528,Q,
20100614,FRZ,3600,25280,Q,
20100615,FRZ,4900,32938,Q,
20100616,FRZ,2200,13430,Q,
20100617,FRZ,3100,6280,Q,
20100618,FRZ,11700,28517,Q,
20100621,FRZ,19100,49916,Q,
20100622,FRZ,5000,20516,Q,
20100623,FRZ,5750,7650,Q,
20100624,FRZ,8865,23864,Q,
20100625,FRZ,12280,22397,Q,
20100628,FRZ,8540,14983,Q,
20100629,FRZ,32248,80436,Q,
20100630,FRZ,4600,26104,Q,
20100701,FRZ,7011,20978,Q,
20100702,FRZ,1650,8750,Q,
20100706,FRZ,7600,40175,Q,
20100707,FRZ,4200,36250,Q,
20100708,FRZ,5000,23990,Q,
20100709,FRZ,9200,30069,Q,
20110804,FRZ,5971,51286,,0.0
