,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FSIN,68549,119644,Q,
20100105,FSIN,58471,117905,Q,
20100106,FSIN,28657,65059,Q,
20100107,FSIN,10800,45037,Q,
20100108,FSIN,43460,103229,Q,
20100111,FSIN,24505,80919,Q,
20100112,FSIN,16553,60107,Q,
20100113,FSIN,11681,56387,Q,
20100114,FSIN,31892,79370,Q,
20100115,FSIN,5800,26607,Q,
20100119,FSIN,38532,78930,Q,
20100120,FSIN,11000,74165,Q,
20100121,FSIN,21838,191866,Q,
20100122,FSIN,74647,189835,Q,
20100125,FSIN,38494,84069,Q,
20100126,FSIN,109438,225815,Q,
20100127,FSIN,317615,826398,Q,
20100128,FSIN,77879,213036,Q,
20100129,FSIN,68416,161220,Q,
20100201,FSIN,43950,101540,Q,
20100202,FSIN,34754,81654,Q,
20100203,FSIN,12814,51264,Q,
20100204,FSIN,36597,147481,Q,
20100205,FSIN,21526,64830,Q,
20100208,FSIN,20462,101606,Q,
20100209,FSIN,30318,54182,Q,
20100210,FSIN,69948,161801,Q,
20100211,FSIN,20640,44260,Q,
20100212,FSIN,6291,29433,Q,
20100216,FSIN,10160,53976,Q,
20100217,FSIN,8855,49917,Q,
20100218,FSIN,3400,19162,Q,
20100219,FSIN,9565,65730,Q,
20100222,FSIN,25366,84609,Q,
20100223,FSIN,13495,49820,Q,
20100224,FSIN,17650,50047,Q,
20100225,FSIN,16787,41027,Q,
20100226,FSIN,19451,47211,Q,
20100301,FSIN,29287,85138,Q,
20100302,FSIN,57700,110608,Q,
20100303,FSIN,67882,266858,Q,
20100304,FSIN,16586,35486,Q,
20100305,FSIN,14384,89070,Q,
20100308,FSIN,101482,193028,Q,
20100309,FSIN,138174,306824,Q,
20100310,FSIN,231083,534503,Q,
20100311,FSIN,52313,154170,Q,
20100312,FSIN,44066,117886,Q,
20100315,FSIN,71982,187113,Q,
20100316,FSIN,15600,110454,Q,
20100317,FSIN,41285,85198,Q,
20100318,FSIN,24126,89871,Q,
20100319,FSIN,18730,94630,Q,
20100322,FSIN,18330,119863,Q,
20100323,FSIN,24705,65192,Q,
20100324,FSIN,9289,43341,Q,
20100325,FSIN,29098,278963,Q,
20100326,FSIN,12736,31559,Q,
20100329,FSIN,20833,62697,Q,
20100330,FSIN,13270,28913,Q,
20100331,FSIN,27296,45358,Q,
20100401,FSIN,108500,212794,Q,
20100405,FSIN,60498,118348,Q,
20100406,FSIN,22214,75062,Q,
20100407,FSIN,15777,52196,Q,
20100408,FSIN,51159,102984,Q,
20100409,FSIN,91726,156228,Q,
20100412,FSIN,73911,133293,Q,
20100413,FSIN,32950,60144,Q,
20100414,FSIN,33837,60916,Q,
20100415,FSIN,49573,81074,Q,
20100416,FSIN,77066,153438,Q,
20100419,FSIN,78580,151939,Q,
20100420,FSIN,28638,52018,Q,
20100421,FSIN,57093,79956,Q,
20100422,FSIN,42347,108348,Q,
20100423,FSIN,28735,89083,Q,
20100426,FSIN,93009,181074,Q,
20100427,FSIN,47348,118924,Q,
20100428,FSIN,32770,119361,Q,
20100429,FSIN,52254,101754,Q,
20100430,FSIN,61439,92926,Q,
20100503,FSIN,35586,85414,Q,
20100504,FSIN,68555,256788,Q,
20100510,FSIN,70221,179152,Q,
20100511,FSIN,46931,97125,Q,
20100512,FSIN,95974,134251,Q,
20100513,FSIN,81143,189203,Q,
20100517,FSIN,31724,68641,Q,
20100518,FSIN,26190,89310,Q,
20100519,FSIN,46638,140821,Q,
20100520,FSIN,60999,219107,Q,
20100521,FSIN,67603,124144,Q,
20100524,FSIN,27710,109449,Q,
20100525,FSIN,55163,145826,Q,
20100526,FSIN,82015,131678,Q,
20100527,FSIN,65338,94781,Q,
20100528,FSIN,38630,63867,Q,
20100601,FSIN,80538,193987,Q,
20100602,FSIN,22356,52507,Q,
20100603,FSIN,106178,186902,Q,
20100604,FSIN,43844,77959,Q,
20100607,FSIN,46029,113176,Q,
20100608,FSIN,75355,174241,Q,
20100609,FSIN,35631,79655,Q,
20100610,FSIN,20693,101083,Q,
20100611,FSIN,28037,94590,Q,
20100614,FSIN,37102,94426,Q,
20100615,FSIN,45519,115295,Q,
20100616,FSIN,41072,72738,Q,
20100617,FSIN,9288,21043,Q,
20100618,FSIN,20978,47125,Q,
20100621,FSIN,23271,46691,Q,
20100622,FSIN,61618,143173,Q,
20100623,FSIN,25457,62947,Q,
20100624,FSIN,33350,74410,Q,
20100625,FSIN,89585,236937,Q,
20100628,FSIN,44318,183190,Q,
20100629,FSIN,71907,151949,Q,
20100630,FSIN,47859,97360,Q,
20100701,FSIN,90837,151881,Q,
20100702,FSIN,31085,65061,Q,
20100706,FSIN,55663,162638,Q,
20100707,FSIN,36017,85907,Q,
20100708,FSIN,38289,75222,Q,
20100709,FSIN,33130,64025,Q,
20110804,FSIN,25750,79149,,0.0
