,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FUD,2330,3730,Q,
20100105,FUD,3096,3396,Q,
20100106,FUD,300,400,Q,
20100107,FUD,1400,1400,Q,
20100111,FUD,535,7764,Q,
20100112,FUD,145,445,Q,
20100113,FUD,980,980,Q,
20100114,FUD,100,200,Q,
20100119,FUD,100,1100,Q,
20100120,FUD,357,357,Q,
20100122,FUD,6100,7300,Q,
20100126,FUD,100,300,Q,
20100127,FUD,150,1350,Q,
20100202,FUD,135,1865,Q,
20100203,FUD,100,200,Q,
20100204,FUD,450,750,Q,
20100208,FUD,300,300,Q,
20100211,FUD,100,100,Q,
20100219,FUD,200,200,Q,
20100223,FUD,220,510,Q,
20100224,FUD,500,900,Q,
20100301,FUD,390,1937,Q,
20100304,FUD,500,500,Q,
20100308,FUD,661,5447,Q,
20100309,FUD,300,900,Q,
20100310,FUD,700,950,Q,
20100311,FUD,100,300,Q,
20100312,FUD,700,1100,Q,
20100315,FUD,878,878,Q,
20100316,FUD,403,403,Q,
20100319,FUD,214,314,Q,
20100322,FUD,100,200,Q,
20100323,FUD,200,900,Q,
20100325,FUD,300,400,Q,
20100326,FUD,998,1698,Q,
20100329,FUD,3095,3395,Q,
20100330,FUD,400,1100,Q,
20100331,FUD,434,834,Q,
20100401,FUD,900,1000,Q,
20100405,FUD,1865,3290,Q,
20100407,FUD,200,550,Q,
20100408,FUD,200,507,Q,
20100409,FUD,600,800,Q,
20100414,FUD,226,353,Q,
20100415,FUD,484,484,Q,
20100416,FUD,800,1450,Q,
20100419,FUD,701,701,Q,
20100420,FUD,584,584,Q,
20100426,FUD,100,1348,Q,
20100429,FUD,1100,1462,Q,
20100430,FUD,128,128,Q,
20100503,FUD,100,1000,Q,
20100504,FUD,1060,1760,Q,
20100513,FUD,200,2135,Q,
20100517,FUD,328,428,Q,
20100518,FUD,220,1370,Q,
20100519,FUD,1500,2313,Q,
20100525,FUD,100,1000,Q,
20100608,FUD,437,840,Q,
20100621,FUD,200,300,Q,
20100622,FUD,300,300,Q,
20100624,FUD,200,200,Q,
20100701,FUD,100,100,Q,
20100706,FUD,100,100,Q,
20110804,FUD,4071,5830,,0.0
