,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,FUNC,5957,13002,Q,
20100105,FUNC,1825,2475,Q,
20100106,FUNC,1254,2490,Q,
20100107,FUNC,2430,8744,Q,
20100108,FUNC,13449,17136,Q,
20100111,FUNC,7178,12061,Q,
20100112,FUNC,5650,8937,Q,
20100113,FUNC,2875,4990,Q,
20100114,FUNC,1085,3115,Q,
20100115,FUNC,1666,4250,Q,
20100119,FUNC,2040,3140,Q,
20100120,FUNC,1525,4031,Q,
20100121,FUNC,1100,2300,Q,
20100122,FUNC,1166,4886,Q,
20100125,FUNC,3700,11500,Q,
20100126,FUNC,8542,19045,Q,
20100127,FUNC,17622,21862,Q,
20100128,FUNC,5250,6713,Q,
20100129,FUNC,4771,15773,Q,
20100201,FUNC,11747,17645,Q,
20100202,FUNC,5370,9645,Q,
20100203,FUNC,7970,13170,Q,
20100204,FUNC,211,1461,Q,
20100205,FUNC,1021,2911,Q,
20100208,FUNC,2715,3215,Q,
20100209,FUNC,100,968,Q,
20100210,FUNC,1010,1010,Q,
20100211,FUNC,444,444,Q,
20100212,FUNC,1138,2687,Q,
20100216,FUNC,1260,3260,Q,
20100217,FUNC,2158,3683,Q,
20100219,FUNC,1946,1946,Q,
20100222,FUNC,5640,11417,Q,
20100223,FUNC,1770,2870,Q,
20100224,FUNC,1400,1400,Q,
20100225,FUNC,511,511,Q,
20100226,FUNC,1379,1651,Q,
20100301,FUNC,270,270,Q,
20100302,FUNC,300,300,Q,
20100304,FUNC,1800,3400,Q,
20100305,FUNC,2662,5825,Q,
20100308,FUNC,5180,13069,Q,
20100309,FUNC,1399,4374,Q,
20100310,FUNC,5693,5993,Q,
20100311,FUNC,2600,3800,Q,
20100312,FUNC,4000,6450,Q,
20100315,FUNC,10786,24992,Q,
20100316,FUNC,3785,7135,Q,
20100317,FUNC,9631,20312,Q,
20100318,FUNC,12304,17839,Q,
20100319,FUNC,6612,13737,Q,
20100322,FUNC,1841,4474,Q,
20100323,FUNC,525,1919,Q,
20100324,FUNC,1300,1900,Q,
20100325,FUNC,340,940,Q,
20100326,FUNC,500,1000,Q,
20100329,FUNC,2993,8076,Q,
20100330,FUNC,1393,5064,Q,
20100331,FUNC,400,3050,Q,
20100401,FUNC,2722,8822,Q,
20100405,FUNC,500,1700,Q,
20100406,FUNC,3520,6570,Q,
20100407,FUNC,2160,4000,Q,
20100408,FUNC,1064,8104,Q,
20100409,FUNC,1740,4055,Q,
20100412,FUNC,200,3205,Q,
20100413,FUNC,200,4069,Q,
20100414,FUNC,931,2213,Q,
20100415,FUNC,600,3250,Q,
20100416,FUNC,900,2200,Q,
20100419,FUNC,400,1743,Q,
20100420,FUNC,2038,4810,Q,
20100421,FUNC,1300,3100,Q,
20100422,FUNC,783,3206,Q,
20100423,FUNC,4754,7188,Q,
20100426,FUNC,1200,15843,Q,
20100427,FUNC,1199,1805,Q,
20100428,FUNC,543,3743,Q,
20100429,FUNC,1558,3607,Q,
20100430,FUNC,1809,2109,Q,
20100512,FUNC,323,2714,Q,
20100513,FUNC,2492,26334,Q,
20100517,FUNC,200,600,Q,
20100520,FUNC,8688,13048,Q,
20100524,FUNC,100,2220,Q,
20100528,FUNC,800,1400,Q,
20100607,FUNC,500,8901,Q,
20100608,FUNC,1100,8590,Q,
20100609,FUNC,201,5331,Q,
20100610,FUNC,1400,15184,Q,
20100611,FUNC,4577,18277,Q,
20100614,FUNC,1160,9366,Q,
20100615,FUNC,200,12440,Q,
20100616,FUNC,6615,14453,Q,
20100617,FUNC,597,4103,Q,
20100622,FUNC,400,1560,Q,
20100623,FUNC,900,4699,Q,
20100624,FUNC,360,1160,Q,
20100628,FUNC,1302,5424,Q,
20100629,FUNC,700,8449,Q,
20100630,FUNC,600,12191,Q,
20100701,FUNC,7325,9855,Q,
20100702,FUNC,753,1753,Q,
20100706,FUNC,1240,3336,Q,
20100707,FUNC,280,280,Q,
20100708,FUNC,1000,2300,Q,
20100709,FUNC,200,200,Q,
20110804,FUNC,1790,4680,,0.0
