,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,GCS,9787,34102,Q,
20100105,GCS,2200,21697,Q,
20100106,GCS,9779,46788,Q,
20100107,GCS,2779,17634,Q,
20100108,GCS,6100,32569,Q,
20100111,GCS,1093,46462,Q,
20100112,GCS,10147,48903,Q,
20100113,GCS,7228,30317,Q,
20100114,GCS,2055,36327,Q,
20100115,GCS,6676,30969,Q,
20100119,GCS,3800,23678,Q,
20100120,GCS,7727,28072,Q,
20100121,GCS,3177,47285,Q,
20100122,GCS,7388,80581,Q,
20100125,GCS,10300,42837,Q,
20100126,GCS,2400,27989,Q,
20100127,GCS,900,37839,Q,
20100129,GCS,1100,41251,Q,
20100201,GCS,6000,37637,Q,
20100202,GCS,600,17863,Q,
20100203,GCS,400,17548,Q,
20100204,GCS,3000,16966,Q,
20100205,GCS,11589,53407,Q,
20100208,GCS,8068,26633,Q,
20100209,GCS,1800,18951,Q,
20100210,GCS,4489,36128,Q,
20100211,GCS,2000,15929,Q,
20100212,GCS,4951,25191,Q,
20100216,GCS,5307,45577,Q,
20100217,GCS,7000,21763,Q,
20100218,GCS,2600,87703,Q,
20100219,GCS,4100,35507,Q,
20100222,GCS,9691,109949,Q,
20100223,GCS,554,47509,Q,
20100224,GCS,11934,39473,Q,
20100225,GCS,100,26488,Q,
20100226,GCS,5434,31285,Q,
20100301,GCS,2040,32828,Q,
20100302,GCS,945,26430,Q,
20100303,GCS,14528,61940,Q,
20100304,GCS,7361,38293,Q,
20100305,GCS,6184,23521,Q,
20100308,GCS,5077,24459,Q,
20100309,GCS,3262,18419,Q,
20100310,GCS,1550,17014,Q,
20100311,GCS,2870,38974,Q,
20100312,GCS,700,47849,Q,
20100315,GCS,2896,33440,Q,
20100316,GCS,3739,22820,Q,
20100317,GCS,2079,31887,Q,
20100318,GCS,149,28877,Q,
20100319,GCS,3300,37923,Q,
20100322,GCS,2500,69390,Q,
20100323,GCS,1100,33744,Q,
20100326,GCS,400,54741,Q,
20100329,GCS,900,20705,Q,
20100330,GCS,3000,39878,Q,
20100331,GCS,1460,30339,Q,
20100401,GCS,600,16378,Q,
20100406,GCS,5910,24545,Q,
20100407,GCS,5890,25498,Q,
20100408,GCS,656,31811,Q,
20100409,GCS,600,15847,Q,
20100412,GCS,24743,115828,Q,
20100413,GCS,8100,27195,Q,
20100414,GCS,8040,31491,Q,
20100415,GCS,23274,51913,Q,
20100416,GCS,110,48121,Q,
20100419,GCS,6000,34374,Q,
20100420,GCS,4356,57391,Q,
20100421,GCS,1600,13027,Q,
20100422,GCS,1400,18565,Q,
20100423,GCS,826,32028,Q,
20100426,GCS,300,19727,Q,
20100428,GCS,3517,35196,Q,
20100429,GCS,300,37145,Q,
20100430,GCS,2282,11632,Q,
20100503,GCS,4000,60699,Q,
20100504,GCS,1800,31368,Q,
20100510,GCS,4693,44522,Q,
20100511,GCS,1200,10707,Q,
20100512,GCS,1600,9500,Q,
20100513,GCS,100,11574,Q,
20100517,GCS,1800,14445,Q,
20100518,GCS,2464,17011,Q,
20100519,GCS,5202,33477,Q,
20100520,GCS,8650,52421,Q,
20100521,GCS,8464,37985,Q,
20100524,GCS,4170,13069,Q,
20100525,GCS,4600,56240,Q,
20100526,GCS,4130,20945,Q,
20100527,GCS,4764,28527,Q,
20100528,GCS,6809,9900,Q,
20100601,GCS,1400,10826,Q,
20100602,GCS,1900,29075,Q,
20100603,GCS,1800,19858,Q,
20100604,GCS,1500,8940,Q,
20100607,GCS,7179,18738,Q,
20100608,GCS,3263,18243,Q,
20100609,GCS,6512,37047,Q,
20100610,GCS,10900,29335,Q,
20100611,GCS,1100,14873,Q,
20100614,GCS,3300,15394,Q,
20100615,GCS,8400,26313,Q,
20100616,GCS,1000,11248,Q,
20100618,GCS,3100,23223,Q,
20100621,GCS,200,17232,Q,
20100622,GCS,5288,24255,Q,
20100623,GCS,10000,38761,Q,
20100624,GCS,15441,48739,Q,
20100625,GCS,34398,125899,Q,
20100628,GCS,9700,46947,Q,
20100629,GCS,12998,26913,Q,
20100630,GCS,12412,66690,Q,
20100701,GCS,1520,18169,Q,
20100702,GCS,4200,22942,Q,
20100706,GCS,9580,50372,Q,
20100707,GCS,800,9674,Q,
20100708,GCS,500,24377,Q,
20100709,GCS,10110,40492,Q,
