,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100225,GFC.WS,4800,30000,Q,
20100226,GFC.WS,1350,33050,Q,
20100331,GFC.WS,2500,55302,Q,
20100414,GFC.WS,1069900,1088800,Q,
20100415,GFC.WS,105900,205900,Q,
20100421,GFC.WS,14200,14200,Q,
20100427,GFC.WS,11678,11678,Q,
20100429,GFC.WS,10900,10900,Q,
20100430,GFC.WS,15850,15850,Q,
20100503,GFC.WS,49178,239878,Q,
20100504,GFC.WS,5000,5000,Q,
20100511,GFC.WS,1400,19200,Q,
20100513,GFC.WS,35660,87240,Q,
20100517,GFC.WS,5800,33800,Q,
20100518,GFC.WS,15600,123400,Q,
20100519,GFC.WS,34462,60562,Q,
20100520,GFC.WS,18800,20800,Q,
20100521,GFC.WS,18900,28100,Q,
20100527,GFC.WS,12700,15100,Q,
20100601,GFC.WS,35000,35000,Q,
20100602,GFC.WS,28800,29700,Q,
20100603,GFC.WS,67100,254600,Q,
20100604,GFC.WS,7700,49300,Q,
20100608,GFC.WS,105000,165700,Q,
20100614,GFC.WS,441000,568523,Q,
20100615,GFC.WS,1000,76450,Q,
20100616,GFC.WS,12100,436612,Q,
20100617,GFC.WS,5000,201288,Q,
20100618,GFC.WS,3800,33488,Q,
20100621,GFC.WS,100,5100,Q,
20100623,GFC.WS,3500,54700,Q,
20100628,GFC.WS,47900,151350,Q,
20100629,GFC.WS,5500,34200,Q,
20100706,GFC.WS,2450,2850,Q,
