,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100107,GJF,200,600,Q,
20100112,GJF,200,200,Q,
20100113,GJF,350,999,Q,
20100119,GJF,2600,3000,Q,
20100120,GJF,300,1200,Q,
20100121,GJF,300,300,Q,
20100122,GJF,1300,1500,Q,
20100125,GJF,200,200,Q,
20100127,GJF,200,850,Q,
20100128,GJF,100,500,Q,
20100201,GJF,500,1000,Q,
20100204,GJF,400,800,Q,
20100205,GJF,485,1810,Q,
20100208,GJF,200,200,Q,
20100209,GJF,900,2200,Q,
20100210,GJF,100,200,Q,
20100217,GJF,300,300,Q,
20100218,GJF,200,300,Q,
20100303,GJF,100,1810,Q,
20100304,GJF,800,2500,Q,
20100309,GJF,950,950,Q,
20100311,GJF,600,600,Q,
20100319,GJF,100,100,Q,
20100330,GJF,400,400,Q,
20100401,GJF,300,750,Q,
20100407,GJF,1731,2431,Q,
20100408,GJF,380,480,Q,
20100409,GJF,100,200,Q,
20100412,GJF,3500,4200,Q,
20100413,GJF,300,300,Q,
20100414,GJF,200,600,Q,
20100415,GJF,100,100,Q,
20100416,GJF,100,100,Q,
20100421,GJF,300,300,Q,
20100422,GJF,330,330,Q,
20100423,GJF,200,200,Q,
20100513,GJF,100,500,Q,
20100518,GJF,600,900,Q,
20100519,GJF,993,1373,Q,
20100521,GJF,633,1133,Q,
20100525,GJF,300,500,Q,
20100526,GJF,300,900,Q,
20100528,GJF,1000,1000,Q,
20100604,GJF,600,800,Q,
20100607,GJF,500,500,Q,
20100609,GJF,1100,2413,Q,
20100610,GJF,200,712,Q,
20100615,GJF,700,3400,Q,
20100622,GJF,1100,2600,Q,
20100624,GJF,877,877,Q,
20100625,GJF,170,170,Q,
20100629,GJF,900,2035,Q,
20100630,GJF,200,500,Q,
20100701,GJF,500,1300,Q,
20100706,GJF,370,770,Q,
20100707,GJF,191,291,Q,
20100709,GJF,200,200,Q,
