,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,GKKpA,500,2200,Q,
20100105,GKKpA,2174,5728,Q,
20100106,GKKpA,1400,3200,Q,
20100107,GKKpA,1100,1300,Q,
20100108,GKKpA,4938,9138,Q,
20100112,GKKpA,200,600,Q,
20100113,GKKpA,1685,1685,Q,
20100114,GKKpA,900,2125,Q,
20100115,GKKpA,1200,1430,Q,
20100119,GKKpA,100,300,Q,
20100121,GKKpA,600,7020,Q,
20100125,GKKpA,900,4900,Q,
20100127,GKKpA,2700,3200,Q,
20100129,GKKpA,1635,4135,Q,
20100201,GKKpA,100,510,Q,
20100209,GKKpA,100,2825,Q,
20100212,GKKpA,400,3760,Q,
20100217,GKKpA,1580,3180,Q,
20100218,GKKpA,530,630,Q,
20100219,GKKpA,250,250,Q,
20100223,GKKpA,400,800,Q,
20100224,GKKpA,200,1800,Q,
20100225,GKKpA,1900,2940,Q,
20100226,GKKpA,400,1710,Q,
20100301,GKKpA,570,770,Q,
20100303,GKKpA,1900,3200,Q,
20100304,GKKpA,3100,6800,Q,
20100305,GKKpA,550,5295,Q,
20100308,GKKpA,100,300,Q,
20100309,GKKpA,3344,6144,Q,
20100310,GKKpA,600,1950,Q,
20100312,GKKpA,500,3840,Q,
20100315,GKKpA,27585,98283,Q,
20100316,GKKpA,6970,36250,Q,
20100317,GKKpA,21395,35620,Q,
20100318,GKKpA,19243,23372,Q,
20100319,GKKpA,7840,12720,Q,
20100322,GKKpA,4600,13100,Q,
20100323,GKKpA,4874,7174,Q,
20100324,GKKpA,10650,19250,Q,
20100325,GKKpA,6000,13600,Q,
20100326,GKKpA,1200,2350,Q,
20100329,GKKpA,10040,31170,Q,
20100330,GKKpA,11125,46220,Q,
20100331,GKKpA,16450,75938,Q,
20100401,GKKpA,12630,74163,Q,
20100405,GKKpA,3700,21100,Q,
20100406,GKKpA,20130,28300,Q,
20100407,GKKpA,7100,8400,Q,
20100408,GKKpA,11000,14500,Q,
20100409,GKKpA,3800,78271,Q,
20100412,GKKpA,11572,12872,Q,
20100413,GKKpA,7060,8620,Q,
20100414,GKKpA,2100,2300,Q,
20100415,GKKpA,1198,1498,Q,
20100416,GKKpA,600,1000,Q,
20100419,GKKpA,14200,27335,Q,
20100420,GKKpA,2100,3400,Q,
20100421,GKKpA,1600,3025,Q,
20100422,GKKpA,500,900,Q,
20100426,GKKpA,1300,2100,Q,
20100430,GKKpA,7950,25850,Q,
20100503,GKKpA,14173,24973,Q,
20100504,GKKpA,1627,4827,Q,
20100510,GKKpA,100,7600,Q,
20100511,GKKpA,2256,3456,Q,
20100512,GKKpA,800,1200,Q,
20100518,GKKpA,4900,13606,Q,
20100520,GKKpA,7089,10014,Q,
20100525,GKKpA,100,3200,Q,
20100603,GKKpA,1000,1100,Q,
20100611,GKKpA,1500,4700,Q,
20100615,GKKpA,200,200,Q,
20100616,GKKpA,1600,3500,Q,
20100617,GKKpA,700,16400,Q,
20100618,GKKpA,1775,1875,Q,
20100622,GKKpA,311,311,Q,
20100624,GKKpA,225,225,Q,
20100628,GKKpA,2869,3569,Q,
20100629,GKKpA,1178,1978,Q,
20100630,GKKpA,2700,7800,Q,
20100702,GKKpA,1141,1341,Q,
