,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,GNBT,90492,758360,Q,
20100105,GNBT,481995,1677234,Q,
20100106,GNBT,469828,1537218,Q,
20100107,GNBT,435344,869609,Q,
20100108,GNBT,933188,1926104,Q,
20100111,GNBT,3216207,7609312,Q,
20100112,GNBT,1049279,2488300,Q,
20100113,GNBT,2005590,4423461,Q,
20100114,GNBT,1432106,3243539,Q,
20100115,GNBT,304943,1700622,Q,
20100119,GNBT,328291,1801992,Q,
20100120,GNBT,364951,1174982,Q,
20100121,GNBT,640388,1800386,Q,
20100122,GNBT,517562,1376829,Q,
20100125,GNBT,580366,1904811,Q,
20100126,GNBT,212598,977050,Q,
20100127,GNBT,478004,1742436,Q,
20100128,GNBT,463464,1473036,Q,
20100129,GNBT,584019,1660010,Q,
20100201,GNBT,442553,1192675,Q,
20100202,GNBT,212496,961933,Q,
20100203,GNBT,283318,923611,Q,
20100204,GNBT,349446,913148,Q,
20100205,GNBT,231497,851797,Q,
20100208,GNBT,168971,578526,Q,
20100209,GNBT,267186,575280,Q,
20100210,GNBT,153087,443580,Q,
20100211,GNBT,82956,502744,Q,
20100212,GNBT,80863,446047,Q,
20100216,GNBT,261796,792618,Q,
20100217,GNBT,184428,734970,Q,
20100218,GNBT,138249,664846,Q,
20100219,GNBT,163637,536295,Q,
20100222,GNBT,74789,413157,Q,
20100223,GNBT,424679,1337931,Q,
20100224,GNBT,252865,1091459,Q,
20100225,GNBT,60091,450457,Q,
20100226,GNBT,756623,2371555,Q,
20100301,GNBT,224717,913522,Q,
20100302,GNBT,400735,1588144,Q,
20100303,GNBT,133500,812207,Q,
20100304,GNBT,724242,1892988,Q,
20100305,GNBT,372634,1132879,Q,
20100308,GNBT,206472,832633,Q,
20100309,GNBT,212159,1273445,Q,
20100310,GNBT,117665,969625,Q,
20100311,GNBT,271362,1196477,Q,
20100312,GNBT,37676,542264,Q,
20100315,GNBT,210475,577913,Q,
20100316,GNBT,60068,436396,Q,
20100317,GNBT,100622,691382,Q,
20100318,GNBT,118247,1156849,Q,
20100319,GNBT,946135,4815326,Q,
20100322,GNBT,339881,1668635,Q,
20100323,GNBT,451048,1719949,Q,
20100324,GNBT,87754,928894,Q,
20100325,GNBT,38474,550883,Q,
20100326,GNBT,475826,2494043,Q,
20100329,GNBT,288456,1490407,Q,
20100330,GNBT,86000,1210327,Q,
20100331,GNBT,210963,524028,Q,
20100401,GNBT,209096,765141,Q,
20100405,GNBT,75468,487430,Q,
20100406,GNBT,811925,4116928,Q,
20100407,GNBT,692417,2519571,Q,
20100408,GNBT,1509776,4090817,Q,
20100409,GNBT,688129,2462522,Q,
20100412,GNBT,987543,4250838,Q,
20100413,GNBT,931255,2262398,Q,
20100414,GNBT,2019436,4168670,Q,
20100415,GNBT,847525,2407420,Q,
20100416,GNBT,531146,1640293,Q,
20100419,GNBT,298741,1346183,Q,
20100420,GNBT,219359,817322,Q,
20100421,GNBT,214419,759772,Q,
20100422,GNBT,216980,923262,Q,
20100423,GNBT,195785,1409024,Q,
20100426,GNBT,428093,1506187,Q,
20100427,GNBT,953448,1987169,Q,
20100428,GNBT,951249,2246449,Q,
20100429,GNBT,1205920,2820870,Q,
20100430,GNBT,411989,1293048,Q,
20100503,GNBT,589673,1498133,Q,
20100504,GNBT,283276,1564832,Q,
20100510,GNBT,805746,2253882,Q,
20100511,GNBT,813080,1443219,Q,
20100512,GNBT,416626,1694064,Q,
20100513,GNBT,461295,1254321,Q,
20100517,GNBT,704370,3062869,Q,
20100518,GNBT,5188663,12265990,Q,
20100519,GNBT,1337603,3608865,Q,
20100520,GNBT,497218,1884283,Q,
20100521,GNBT,199424,1392823,Q,
20100524,GNBT,277955,1166873,Q,
20100525,GNBT,153314,776237,Q,
20100526,GNBT,371450,1210347,Q,
20100527,GNBT,186921,796618,Q,
20100528,GNBT,423777,1179354,Q,
20100601,GNBT,1221413,2519909,Q,
20100602,GNBT,1101138,2509510,Q,
20100603,GNBT,746948,1355208,Q,
20100604,GNBT,515794,1231050,Q,
20100607,GNBT,611284,1611752,Q,
20100608,GNBT,417286,1260338,Q,
20100609,GNBT,261232,848895,Q,
20100610,GNBT,171882,736196,Q,
20100611,GNBT,97421,403373,Q,
20100614,GNBT,211783,1139944,Q,
20100615,GNBT,142789,810245,Q,
20100616,GNBT,51995,713137,Q,
20100617,GNBT,245837,980884,Q,
20100618,GNBT,313875,1115732,Q,
20100621,GNBT,157509,956234,Q,
20100622,GNBT,389159,1161829,Q,
20100623,GNBT,424371,1189406,Q,
20100624,GNBT,272224,648778,Q,
20100625,GNBT,219030,555544,Q,
20100628,GNBT,141872,390510,Q,
20100629,GNBT,229205,1000530,Q,
20100630,GNBT,125266,525408,Q,
20100701,GNBT,128719,611779,Q,
20100702,GNBT,83496,266170,Q,
20100706,GNBT,142637,759908,Q,
20100707,GNBT,171989,615874,Q,
20100708,GNBT,280823,568295,Q,
20100709,GNBT,111280,360395,Q,
