,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,GRH,29174,80516,Q,
20100105,GRH,21625,40010,Q,
20100106,GRH,18513,48846,Q,
20100107,GRH,10350,33334,Q,
20100108,GRH,9860,48755,Q,
20100111,GRH,95747,178022,Q,
20100112,GRH,18565,86120,Q,
20100113,GRH,3800,38610,Q,
20100114,GRH,11400,16522,Q,
20100115,GRH,6282,15277,Q,
20100119,GRH,7294,21139,Q,
20100120,GRH,3817,18262,Q,
20100121,GRH,23061,41185,Q,
20100122,GRH,13690,29272,Q,
20100125,GRH,10294,18749,Q,
20100126,GRH,1647,5902,Q,
20100127,GRH,26055,62364,Q,
20100128,GRH,15770,22984,Q,
20100129,GRH,21362,41763,Q,
20100201,GRH,1200,8755,Q,
20100202,GRH,780,8750,Q,
20100203,GRH,69083,96965,Q,
20100204,GRH,26115,42475,Q,
20100205,GRH,250,2358,Q,
20100208,GRH,6057,15282,Q,
20100209,GRH,2768,14852,Q,
20100210,GRH,3700,10908,Q,
20100212,GRH,5848,12862,Q,
20100216,GRH,8300,24321,Q,
20100217,GRH,11389,19661,Q,
20100218,GRH,10396,22117,Q,
20100219,GRH,8412,23862,Q,
20100222,GRH,27610,41805,Q,
20100223,GRH,9595,21195,Q,
20100224,GRH,7300,12849,Q,
20100225,GRH,7900,34144,Q,
20100226,GRH,6500,37700,Q,
20100301,GRH,5183,27321,Q,
20100302,GRH,6577,19863,Q,
20100303,GRH,5850,15607,Q,
20100304,GRH,2220,9165,Q,
20100305,GRH,3000,7900,Q,
20100308,GRH,1500,15870,Q,
20100309,GRH,31843,71420,Q,
20100310,GRH,14820,26435,Q,
20100311,GRH,15129,36853,Q,
20100312,GRH,7081,36297,Q,
20100316,GRH,7180,25041,Q,
20100317,GRH,161468,403414,Q,
20100318,GRH,154361,386940,Q,
20100319,GRH,37894,122185,Q,
20100322,GRH,13320,64315,Q,
20100323,GRH,7411,54515,Q,
20100324,GRH,2900,40626,Q,
20100325,GRH,3450,26515,Q,
20100326,GRH,650,16591,Q,
20100329,GRH,6425,26436,Q,
20100330,GRH,1542,11145,Q,
20100331,GRH,9973,39010,Q,
20100401,GRH,17009,19019,Q,
20100405,GRH,17252,34383,Q,
20100406,GRH,3647,28799,Q,
20100407,GRH,15900,20531,Q,
20100408,GRH,6281,20049,Q,
20100409,GRH,11140,41440,Q,
20100412,GRH,1800,16775,Q,
20100413,GRH,5315,27945,Q,
20100414,GRH,9709,64615,Q,
20100415,GRH,950,18496,Q,
20100416,GRH,5285,17948,Q,
20100419,GRH,15000,42240,Q,
20100420,GRH,2567,17912,Q,
20100421,GRH,4400,15834,Q,
20100422,GRH,1400,10010,Q,
20100423,GRH,400,8591,Q,
20100426,GRH,19000,38786,Q,
20100427,GRH,1100,11015,Q,
20100428,GRH,2619,20759,Q,
20100429,GRH,1200,11030,Q,
20100430,GRH,2900,7200,Q,
20100503,GRH,13360,59631,Q,
20100504,GRH,13962,28440,Q,
20100510,GRH,13000,51836,Q,
20100511,GRH,5000,50869,Q,
20100512,GRH,19109,36939,Q,
20100513,GRH,31106,52070,Q,
20100517,GRH,18308,26586,Q,
20100518,GRH,16373,31316,Q,
20100519,GRH,8559,32118,Q,
20100520,GRH,28504,72829,Q,
20100521,GRH,15170,44034,Q,
20100524,GRH,2300,11384,Q,
20100525,GRH,14543,25618,Q,
20100526,GRH,5740,11090,Q,
20100527,GRH,26216,45537,Q,
20100528,GRH,12470,18170,Q,
20100601,GRH,2631,7859,Q,
20100602,GRH,5000,26250,Q,
20100603,GRH,200,4756,Q,
20100604,GRH,10880,29013,Q,
20100607,GRH,8558,24787,Q,
20100608,GRH,8281,39446,Q,
20100609,GRH,1080,4581,Q,
20100610,GRH,6200,17382,Q,
20100614,GRH,1430,15450,Q,
20100615,GRH,6150,19586,Q,
20100616,GRH,7600,14664,Q,
20100617,GRH,5200,14050,Q,
20100621,GRH,1080,7980,Q,
20100622,GRH,4153,15078,Q,
20100623,GRH,2550,6767,Q,
20100624,GRH,4300,11025,Q,
20100625,GRH,1938,5060,Q,
20100628,GRH,900,2058,Q,
20100629,GRH,2309,10909,Q,
20100630,GRH,4600,19825,Q,
20100701,GRH,9718,29100,Q,
20100702,GRH,9163,12599,Q,
20100706,GRH,7512,13923,Q,
20100708,GRH,3500,19120,Q,
20100709,GRH,7374,14117,Q,
20110804,GRH,3800,27062,,0.0
