,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100105,GRI,445,445,Q,
20100106,GRI,757,757,Q,
20100107,GRI,1215,1483,Q,
20100108,GRI,800,800,Q,
20100111,GRI,896,1646,Q,
20100112,GRI,2174,2374,Q,
20100113,GRI,963,2481,Q,
20100114,GRI,2356,3162,Q,
20100115,GRI,2297,2297,Q,
20100119,GRI,750,913,Q,
20100120,GRI,331,331,Q,
20100121,GRI,2549,2649,Q,
20100122,GRI,300,3793,Q,
20100125,GRI,2000,3482,Q,
20100126,GRI,854,1494,Q,
20100127,GRI,8439,59757,Q,
20100128,GRI,3628,10992,Q,
20100129,GRI,1869,2169,Q,
20100201,GRI,12331,12331,Q,
20100202,GRI,494,2142,Q,
20100203,GRI,706,1306,Q,
20100204,GRI,100,1052,Q,
20100205,GRI,800,1907,Q,
20100208,GRI,1209,1508,Q,
20100209,GRI,7304,8030,Q,
20100210,GRI,5361,5761,Q,
20100211,GRI,11938,12325,Q,
20100212,GRI,6481,7343,Q,
20100216,GRI,2760,8633,Q,
20100217,GRI,636,785,Q,
20100218,GRI,2918,3446,Q,
20100219,GRI,1286,1848,Q,
20100222,GRI,1915,7321,Q,
20100223,GRI,1030,1281,Q,
20100224,GRI,5657,5657,Q,
20100225,GRI,1843,2623,Q,
20100226,GRI,2535,3237,Q,
20100301,GRI,4469,5239,Q,
20100302,GRI,5462,5662,Q,
20100303,GRI,3622,3722,Q,
20100304,GRI,10520,11020,Q,
20100305,GRI,1000,1325,Q,
20100308,GRI,16025,16725,Q,
20100309,GRI,4800,4800,Q,
20100310,GRI,3790,3990,Q,
20100311,GRI,750,1050,Q,
20100312,GRI,1645,3437,Q,
20100316,GRI,1530,1630,Q,
20100317,GRI,2665,2665,Q,
20100318,GRI,400,919,Q,
20100319,GRI,1326,8423,Q,
20100322,GRI,2196,2652,Q,
20100323,GRI,1007,1221,Q,
20100324,GRI,875,1625,Q,
20100325,GRI,200,200,Q,
20100326,GRI,1700,4741,Q,
20100329,GRI,500,600,Q,
20100330,GRI,564,564,Q,
20100331,GRI,586,50718,Q,
20100401,GRI,520,520,Q,
20100405,GRI,1102,1357,Q,
20100406,GRI,200,1357,Q,
20100407,GRI,2790,5621,Q,
20100408,GRI,900,1412,Q,
20100409,GRI,2684,3174,Q,
20100412,GRI,3887,3887,Q,
20100413,GRI,6156,7252,Q,
20100414,GRI,2478,3681,Q,
20100415,GRI,6195,7428,Q,
20100416,GRI,8781,9669,Q,
20100419,GRI,4726,5742,Q,
20100420,GRI,1860,2360,Q,
20100421,GRI,2405,2505,Q,
20100422,GRI,21389,21679,Q,
20100423,GRI,4161,5000,Q,
20100426,GRI,1880,2580,Q,
20100427,GRI,4976,5806,Q,
20100428,GRI,2562,2762,Q,
20100429,GRI,1899,2299,Q,
20100430,GRI,1896,2185,Q,
20100503,GRI,4218,4218,Q,
20100504,GRI,4756,6311,Q,
20100510,GRI,1193,1686,Q,
20100511,GRI,539,1502,Q,
20100512,GRI,763,988,Q,
20100513,GRI,1637,2623,Q,
20100517,GRI,290,1173,Q,
20100518,GRI,661,788,Q,
20100519,GRI,655,3516,Q,
20100520,GRI,2355,3831,Q,
20100521,GRI,774,8647,Q,
20100524,GRI,2470,3469,Q,
20100525,GRI,5371,6955,Q,
20100526,GRI,2000,3528,Q,
20100527,GRI,1400,1650,Q,
20100528,GRI,2091,2409,Q,
20100601,GRI,1067,2031,Q,
20100602,GRI,7475,7675,Q,
20100603,GRI,9449,9624,Q,
20100604,GRI,1950,1950,Q,
20100607,GRI,500,670,Q,
20100608,GRI,100,100,Q,
20100609,GRI,5374,13914,Q,
20100610,GRI,1450,2235,Q,
20100611,GRI,1558,1558,Q,
20100614,GRI,249,349,Q,
20100615,GRI,567,1292,Q,
20100616,GRI,2105,2105,Q,
20100617,GRI,874,874,Q,
20100618,GRI,333,2860,Q,
20100621,GRI,6868,7795,Q,
20100622,GRI,738,1438,Q,
20100623,GRI,857,857,Q,
20100624,GRI,1449,2269,Q,
20100625,GRI,2579,2979,Q,
20100628,GRI,516,516,Q,
20100629,GRI,2840,4518,Q,
20100630,GRI,1057,1197,Q,
20100701,GRI,1082,1885,Q,
20100702,GRI,500,975,Q,
20100706,GRI,600,5777,Q,
20100707,GRI,534,2017,Q,
20100708,GRI,3216,3725,Q,
20100709,GRI,211,2648,Q,
20110804,GRI,3262,8746,,0.0
