,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,GRR,2100,4744,Q,
20100105,GRR,200,1610,Q,
20100106,GRR,1951,4551,Q,
20100107,GRR,400,1609,Q,
20100108,GRR,1851,7347,Q,
20100111,GRR,7127,9083,Q,
20100112,GRR,700,3685,Q,
20100114,GRR,8098,11843,Q,
20100115,GRR,288,801,Q,
20100119,GRR,5699,8196,Q,
20100120,GRR,1401,4628,Q,
20100121,GRR,1179,8147,Q,
20100122,GRR,2633,4666,Q,
20100125,GRR,200,2110,Q,
20100126,GRR,1798,6550,Q,
20100127,GRR,2000,2450,Q,
20100128,GRR,800,4085,Q,
20100129,GRR,890,3860,Q,
20100201,GRR,700,3623,Q,
20100204,GRR,2401,5094,Q,
20100208,GRR,2200,5179,Q,
20100209,GRR,3067,3667,Q,
20100210,GRR,100,1400,Q,
20100211,GRR,1000,2855,Q,
20100212,GRR,100,1200,Q,
20100216,GRR,200,1598,Q,
20100217,GRR,2100,3500,Q,
20100222,GRR,500,1820,Q,
20100223,GRR,1089,2039,Q,
20100224,GRR,1100,1100,Q,
20100225,GRR,544,944,Q,
20100226,GRR,200,600,Q,
20100301,GRR,650,850,Q,
20100303,GRR,2491,5831,Q,
20100308,GRR,580,780,Q,
20100309,GRR,900,2400,Q,
20100310,GRR,1220,2286,Q,
20100312,GRR,1800,2400,Q,
20100315,GRR,300,805,Q,
20100316,GRR,100,1335,Q,
20100318,GRR,800,2256,Q,
20100322,GRR,900,1865,Q,
20100324,GRR,400,3495,Q,
20100325,GRR,900,2860,Q,
20100326,GRR,200,700,Q,
20100329,GRR,100,1440,Q,
20100330,GRR,519,1276,Q,
20100331,GRR,4000,4925,Q,
20100401,GRR,1700,2912,Q,
20100405,GRR,2100,3493,Q,
20100406,GRR,1900,2526,Q,
20100407,GRR,1500,2149,Q,
20100408,GRR,3400,3400,Q,
20100409,GRR,400,2150,Q,
20100412,GRR,1531,4041,Q,
20100414,GRR,1000,2550,Q,
20100415,GRR,2400,5020,Q,
20100416,GRR,500,2844,Q,
20100419,GRR,200,915,Q,
20100420,GRR,400,1300,Q,
20100421,GRR,2750,7570,Q,
20100422,GRR,560,960,Q,
20100423,GRR,2100,2700,Q,
20100427,GRR,955,1255,Q,
20100428,GRR,814,1201,Q,
20100429,GRR,250,250,Q,
20100430,GRR,300,400,Q,
20100503,GRR,100,2334,Q,
20100504,GRR,2769,4149,Q,
20100510,GRR,995,3043,Q,
20100511,GRR,1000,2300,Q,
20100517,GRR,500,1000,Q,
20100519,GRR,4886,8480,Q,
20100520,GRR,4997,7647,Q,
20100525,GRR,1400,2303,Q,
20100528,GRR,1400,1900,Q,
20100601,GRR,1400,6127,Q,
20100602,GRR,300,1569,Q,
20100604,GRR,700,800,Q,
20100607,GRR,1300,2100,Q,
20100609,GRR,4750,7150,Q,
20100611,GRR,1265,1365,Q,
20100614,GRR,465,1632,Q,
20100615,GRR,2300,5337,Q,
20100618,GRR,300,550,Q,
20100622,GRR,555,1135,Q,
20100624,GRR,2750,4137,Q,
20100625,GRR,400,1264,Q,
20100629,GRR,1072,1707,Q,
20100630,GRR,297,1683,Q,
20100702,GRR,1807,2207,Q,
20100707,GRR,1705,2205,Q,
20100708,GRR,1470,2937,Q,
20100709,GRR,1116,1116,Q,
20110804,GRR,400,6526,,0.0
