,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,GSpA,6961,19425,Q,
20100105,GSpA,7998,25731,Q,
20100106,GSpA,8002,13461,Q,
20100107,GSpA,9863,18310,Q,
20100108,GSpA,5255,74133,Q,
20100111,GSpA,46030,94830,Q,
20100112,GSpA,10185,119546,Q,
20100113,GSpA,58830,120808,Q,
20100114,GSpA,6192,23475,Q,
20100115,GSpA,8368,21240,Q,
20100119,GSpA,11965,18357,Q,
20100120,GSpA,6705,38951,Q,
20100121,GSpA,10829,34352,Q,
20100122,GSpA,8843,24102,Q,
20100125,GSpA,12952,24791,Q,
20100126,GSpA,14411,21068,Q,
20100127,GSpA,9996,15582,Q,
20100128,GSpA,9889,24669,Q,
20100129,GSpA,3325,11666,Q,
20100201,GSpA,3920,8862,Q,
20100202,GSpA,23797,37221,Q,
20100203,GSpA,7417,22226,Q,
20100204,GSpA,7854,22254,Q,
20100205,GSpA,5591,46617,Q,
20100208,GSpA,6287,11758,Q,
20100209,GSpA,11425,69703,Q,
20100210,GSpA,4210,14402,Q,
20100211,GSpA,13917,22252,Q,
20100212,GSpA,10774,14056,Q,
20100216,GSpA,20679,32633,Q,
20100217,GSpA,24155,34216,Q,
20100218,GSpA,27118,97518,Q,
20100219,GSpA,18724,303903,Q,
20100222,GSpA,22651,27473,Q,
20100223,GSpA,18663,37140,Q,
20100224,GSpA,21122,39679,Q,
20100225,GSpA,18942,26078,Q,
20100226,GSpA,10141,14698,Q,
20100301,GSpA,18776,27392,Q,
20100302,GSpA,24087,44272,Q,
20100303,GSpA,20915,32218,Q,
20100304,GSpA,10723,23115,Q,
20100305,GSpA,4269,18255,Q,
20100308,GSpA,11857,22344,Q,
20100309,GSpA,12958,27813,Q,
20100310,GSpA,4860,21895,Q,
20100311,GSpA,10753,27764,Q,
20100312,GSpA,9396,16713,Q,
20100315,GSpA,10394,23094,Q,
20100316,GSpA,13122,18494,Q,
20100317,GSpA,7817,10762,Q,
20100318,GSpA,10769,23487,Q,
20100319,GSpA,9047,15375,Q,
20100322,GSpA,5088,7988,Q,
20100323,GSpA,18076,25304,Q,
20100324,GSpA,13765,23645,Q,
20100325,GSpA,6904,39517,Q,
20100326,GSpA,13683,21563,Q,
20100329,GSpA,14385,25952,Q,
20100330,GSpA,16421,71145,Q,
20100331,GSpA,11450,27113,Q,
20100401,GSpA,4078,59304,Q,
20100405,GSpA,12666,18398,Q,
20100406,GSpA,7336,23348,Q,
20100407,GSpA,16325,22938,Q,
20100408,GSpA,21207,71097,Q,
20100409,GSpA,12413,20388,Q,
20100412,GSpA,18367,28802,Q,
20100413,GSpA,12760,22867,Q,
20100414,GSpA,30141,44481,Q,
20100415,GSpA,20437,39999,Q,
20100416,GSpA,66904,189324,Q,
20100419,GSpA,46453,180883,Q,
20100420,GSpA,1150,50317,Q,
20100421,GSpA,24695,68541,Q,
20100422,GSpA,14278,41819,Q,
20100423,GSpA,27501,46221,Q,
20100426,GSpA,25114,101396,Q,
20100427,GSpA,21275,124033,Q,
20100428,GSpA,5481,44627,Q,
20100429,GSpA,13839,54856,Q,
20100430,GSpA,23456,125182,Q,
20100503,GSpA,14512,48616,Q,
20100504,GSpA,33323,55242,Q,
20100510,GSpA,23861,49771,Q,
20100511,GSpA,18943,177819,Q,
20100512,GSpA,12002,172959,Q,
20100513,GSpA,21885,214130,Q,
20100517,GSpA,16738,29725,Q,
20100518,GSpA,32670,56411,Q,
20100519,GSpA,22938,137004,Q,
20100520,GSpA,34685,76415,Q,
20100521,GSpA,47423,367165,Q,
20100524,GSpA,67943,88960,Q,
20100525,GSpA,34175,77759,Q,
20100526,GSpA,16818,71553,Q,
20100527,GSpA,32878,140631,Q,
20100528,GSpA,14642,25656,Q,
20100601,GSpA,6457,8757,Q,
20100602,GSpA,12558,20240,Q,
20100603,GSpA,6303,17075,Q,
20100604,GSpA,2329,13288,Q,
20100607,GSpA,1800,13777,Q,
20100608,GSpA,5922,18673,Q,
20100609,GSpA,12543,30325,Q,
20100610,GSpA,8961,13762,Q,
20100611,GSpA,12056,21104,Q,
20100614,GSpA,6154,11653,Q,
20100615,GSpA,4336,19579,Q,
20100616,GSpA,3058,14824,Q,
20100617,GSpA,2500,14101,Q,
20100618,GSpA,1400,14935,Q,
20100621,GSpA,5100,19322,Q,
20100622,GSpA,7420,13223,Q,
20100623,GSpA,7574,18159,Q,
20100624,GSpA,9681,14856,Q,
20100625,GSpA,8236,11441,Q,
20100628,GSpA,7750,23300,Q,
20100629,GSpA,9574,15124,Q,
20100630,GSpA,8350,21177,Q,
20100701,GSpA,3882,19498,Q,
20100702,GSpA,1960,9514,Q,
20100706,GSpA,9350,28405,Q,
20100707,GSpA,1115,464676,Q,
20100708,GSpA,5829,27155,Q,
20100709,GSpA,15243,30483,Q,
