,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HAP,18201,23166,Q,
20100105,HAP,12905,16684,Q,
20100106,HAP,14434,20799,Q,
20100107,HAP,19560,26451,Q,
20100108,HAP,18571,19871,Q,
20100111,HAP,28097,32462,Q,
20100112,HAP,12821,21753,Q,
20100113,HAP,7258,14497,Q,
20100114,HAP,6353,10730,Q,
20100115,HAP,43149,58659,Q,
20100119,HAP,17806,27079,Q,
20100120,HAP,9739,19082,Q,
20100121,HAP,6780,27592,Q,
20100122,HAP,4760,23793,Q,
20100125,HAP,8210,21283,Q,
20100126,HAP,4259,155076,Q,
20100127,HAP,6012,22307,Q,
20100128,HAP,2088,19956,Q,
20100129,HAP,1335,12617,Q,
20100201,HAP,15256,32722,Q,
20100202,HAP,3767,11276,Q,
20100203,HAP,4712,7984,Q,
20100204,HAP,11061,17839,Q,
20100205,HAP,1910,26775,Q,
20100208,HAP,3169,8141,Q,
20100209,HAP,3185,16399,Q,
20100210,HAP,4525,9118,Q,
20100211,HAP,12418,18030,Q,
20100212,HAP,3150,7817,Q,
20100216,HAP,7946,10854,Q,
20100217,HAP,3431,6243,Q,
20100218,HAP,3434,4189,Q,
20100219,HAP,5983,10958,Q,
20100222,HAP,5208,6584,Q,
20100223,HAP,5251,13723,Q,
20100224,HAP,3530,5953,Q,
20100225,HAP,3570,10791,Q,
20100226,HAP,6812,10787,Q,
20100301,HAP,4330,9755,Q,
20100302,HAP,7055,11937,Q,
20100303,HAP,8138,15091,Q,
20100304,HAP,3990,6275,Q,
20100305,HAP,4203,7047,Q,
20100308,HAP,9824,11024,Q,
20100309,HAP,3270,7279,Q,
20100310,HAP,5406,12584,Q,
20100311,HAP,1300,4028,Q,
20100312,HAP,5235,7323,Q,
20100315,HAP,3045,5635,Q,
20100316,HAP,2550,4160,Q,
20100317,HAP,4821,9307,Q,
20100318,HAP,3888,5988,Q,
20100319,HAP,4915,8347,Q,
20100322,HAP,3870,8161,Q,
20100323,HAP,14975,23136,Q,
20100324,HAP,735,5288,Q,
20100325,HAP,5955,8907,Q,
20100326,HAP,5141,8624,Q,
20100329,HAP,2563,7212,Q,
20100330,HAP,3233,6091,Q,
20100331,HAP,7891,12892,Q,
20100401,HAP,2090,7172,Q,
20100405,HAP,9600,16250,Q,
20100406,HAP,5490,9197,Q,
20100407,HAP,6014,12554,Q,
20100408,HAP,5524,8169,Q,
20100409,HAP,3590,6314,Q,
20100412,HAP,3459,6278,Q,
20100413,HAP,3334,16503,Q,
20100414,HAP,6170,11935,Q,
20100415,HAP,6996,10003,Q,
20100416,HAP,6993,11349,Q,
20100419,HAP,6572,10026,Q,
20100420,HAP,4670,7350,Q,
20100421,HAP,8891,11736,Q,
20100422,HAP,2093,3171,Q,
20100423,HAP,2450,21387,Q,
20100426,HAP,8087,10370,Q,
20100427,HAP,7880,16686,Q,
20100428,HAP,5452,9745,Q,
20100429,HAP,8718,12208,Q,
20100430,HAP,6789,10581,Q,
20100503,HAP,8917,17654,Q,
20100504,HAP,4257,25319,Q,
20100510,HAP,5910,20477,Q,
20100511,HAP,1800,5671,Q,
20100512,HAP,2220,3642,Q,
20100513,HAP,3278,8617,Q,
20100517,HAP,12572,38480,Q,
20100518,HAP,1663,18988,Q,
20100519,HAP,4850,23586,Q,
20100520,HAP,675,20078,Q,
20100521,HAP,4325,39484,Q,
20100524,HAP,6600,20458,Q,
20100525,HAP,4312,21660,Q,
20100526,HAP,2250,37526,Q,
20100527,HAP,500,35206,Q,
20100528,HAP,3630,10930,Q,
20100601,HAP,2700,8544,Q,
20100602,HAP,1900,4820,Q,
20100603,HAP,2503,6534,Q,
20100604,HAP,600,8365,Q,
20100607,HAP,6070,15176,Q,
20100608,HAP,497867,703267,Q,
20100609,HAP,1075,6347,Q,
20100610,HAP,1100,5677,Q,
20100611,HAP,200,2441,Q,
20100614,HAP,1200,6621,Q,
20100615,HAP,100,4235,Q,
20100616,HAP,146902,157584,Q,
20100617,HAP,6699,12290,Q,
20100618,HAP,3300,10266,Q,
20100621,HAP,1920,7967,Q,
20100622,HAP,1060,4085,Q,
20100623,HAP,200,8362,Q,
20100624,HAP,3753,7148,Q,
20100625,HAP,3135,6094,Q,
20100628,HAP,2932,8786,Q,
20100629,HAP,4404,13405,Q,
20100630,HAP,1645,6953,Q,
20100701,HAP,205,21602,Q,
20100702,HAP,200,160241,Q,
20100707,HAP,2790,6636,Q,
20100708,HAP,3197,10910,Q,
20100709,HAP,1381,3345,Q,
20110804,HAP,15033,64432,,0.0
