,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HCKT,3548,9636,Q,
20100105,HCKT,9094,36394,Q,
20100106,HCKT,8118,45594,Q,
20100107,HCKT,58674,72458,Q,
20100108,HCKT,3200,11724,Q,
20100111,HCKT,8800,16178,Q,
20100112,HCKT,3800,31937,Q,
20100113,HCKT,4000,12170,Q,
20100114,HCKT,12839,33608,Q,
20100115,HCKT,13592,28367,Q,
20100119,HCKT,2100,14600,Q,
20100120,HCKT,2100,60342,Q,
20100121,HCKT,10580,39895,Q,
20100122,HCKT,1400,10113,Q,
20100125,HCKT,11899,75101,Q,
20100126,HCKT,6521,19201,Q,
20100127,HCKT,5900,8243,Q,
20100128,HCKT,200,8508,Q,
20100129,HCKT,2700,19345,Q,
20100201,HCKT,29199,127423,Q,
20100202,HCKT,7641,26361,Q,
20100203,HCKT,3538,10351,Q,
20100204,HCKT,6100,8305,Q,
20100205,HCKT,11124,32161,Q,
20100208,HCKT,5992,8639,Q,
20100209,HCKT,1800,7366,Q,
20100210,HCKT,6900,20840,Q,
20100211,HCKT,11400,51558,Q,
20100212,HCKT,7900,16000,Q,
20100216,HCKT,2300,4700,Q,
20100217,HCKT,14000,70864,Q,
20100218,HCKT,10924,51588,Q,
20100219,HCKT,15928,64019,Q,
20100222,HCKT,3910,14610,Q,
20100223,HCKT,4511,121184,Q,
20100224,HCKT,1440,8942,Q,
20100225,HCKT,4431,65398,Q,
20100226,HCKT,2100,22418,Q,
20100301,HCKT,4100,109197,Q,
20100302,HCKT,3179,10129,Q,
20100303,HCKT,7729,27453,Q,
20100304,HCKT,2100,20300,Q,
20100305,HCKT,9700,59524,Q,
20100308,HCKT,19368,67980,Q,
20100309,HCKT,18868,93875,Q,
20100310,HCKT,9714,98769,Q,
20100311,HCKT,6362,65380,Q,
20100312,HCKT,2400,105400,Q,
20100315,HCKT,1600,13571,Q,
20100316,HCKT,3857,6752,Q,
20100317,HCKT,15194,30294,Q,
20100318,HCKT,7946,26876,Q,
20100319,HCKT,2909,7139,Q,
20100322,HCKT,6329,13824,Q,
20100323,HCKT,1000,3685,Q,
20100324,HCKT,12204,20721,Q,
20100325,HCKT,6600,13501,Q,
20100326,HCKT,2724,5924,Q,
20100329,HCKT,16154,36264,Q,
20100330,HCKT,10931,23689,Q,
20100331,HCKT,9200,22114,Q,
20100401,HCKT,23959,32859,Q,
20100405,HCKT,7343,14796,Q,
20100406,HCKT,6068,11757,Q,
20100407,HCKT,2650,6950,Q,
20100408,HCKT,7333,13339,Q,
20100409,HCKT,3200,9053,Q,
20100412,HCKT,5307,14812,Q,
20100413,HCKT,1494,4698,Q,
20100414,HCKT,2655,18145,Q,
20100415,HCKT,5900,9547,Q,
20100416,HCKT,6959,11584,Q,
20100419,HCKT,1850,20964,Q,
20100420,HCKT,752,23486,Q,
20100421,HCKT,5244,15433,Q,
20100422,HCKT,11238,17261,Q,
20100423,HCKT,10387,27984,Q,
20100426,HCKT,7000,14876,Q,
20100427,HCKT,5498,13649,Q,
20100428,HCKT,2537,32204,Q,
20100429,HCKT,5286,22103,Q,
20100430,HCKT,5370,17575,Q,
20100503,HCKT,6710,17863,Q,
20100504,HCKT,7700,29593,Q,
20100510,HCKT,16728,29729,Q,
20100511,HCKT,13600,28167,Q,
20100512,HCKT,63545,121975,Q,
20100513,HCKT,23323,50454,Q,
20100517,HCKT,29740,103879,Q,
20100518,HCKT,22212,63241,Q,
20100519,HCKT,14170,29285,Q,
20100520,HCKT,13000,21988,Q,
20100521,HCKT,12144,28362,Q,
20100524,HCKT,6435,12815,Q,
20100525,HCKT,11841,22207,Q,
20100526,HCKT,7255,19564,Q,
20100527,HCKT,10300,15431,Q,
20100528,HCKT,6327,20999,Q,
20100601,HCKT,6200,15003,Q,
20100602,HCKT,2000,8525,Q,
20100603,HCKT,8429,24490,Q,
20100604,HCKT,5100,24981,Q,
20100607,HCKT,1400,14761,Q,
20100608,HCKT,2000,29868,Q,
20100609,HCKT,9900,24719,Q,
20100610,HCKT,1740,6972,Q,
20100611,HCKT,1000,11078,Q,
20100614,HCKT,22040,26839,Q,
20100615,HCKT,3000,18181,Q,
20100616,HCKT,5401,14621,Q,
20100617,HCKT,26136,86375,Q,
20100618,HCKT,6066,19901,Q,
20100621,HCKT,1500,54285,Q,
20100622,HCKT,8800,66802,Q,
20100623,HCKT,20403,49903,Q,
20100624,HCKT,24835,42935,Q,
20100625,HCKT,51590,77603,Q,
20100628,HCKT,12642,39703,Q,
20100629,HCKT,6830,94352,Q,
20100630,HCKT,22500,31465,Q,
20100701,HCKT,1816,13763,Q,
20100702,HCKT,800,7313,Q,
20100706,HCKT,11500,24161,Q,
20100707,HCKT,11487,24473,Q,
20100708,HCKT,900,5334,Q,
20100709,HCKT,4143,18921,Q,
20110804,HCKT,12725,31301,,0.0
