,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HIF,1700,5288,Q,
20100105,HIF,6000,25919,Q,
20100106,HIF,2300,8250,Q,
20100107,HIF,3114,6791,Q,
20100108,HIF,4350,8200,Q,
20100111,HIF,4548,9756,Q,
20100112,HIF,4697,16797,Q,
20100113,HIF,4400,11660,Q,
20100114,HIF,1700,9673,Q,
20100115,HIF,4500,12662,Q,
20100120,HIF,3908,10583,Q,
20100121,HIF,5620,7661,Q,
20100122,HIF,3500,4985,Q,
20100125,HIF,7801,11389,Q,
20100126,HIF,2588,3659,Q,
20100127,HIF,3350,12100,Q,
20100128,HIF,1623,2923,Q,
20100129,HIF,9168,15641,Q,
20100201,HIF,896,4561,Q,
20100202,HIF,2152,10862,Q,
20100203,HIF,5753,6675,Q,
20100204,HIF,525,2286,Q,
20100205,HIF,7576,23953,Q,
20100208,HIF,4000,9879,Q,
20100209,HIF,480,11083,Q,
20100210,HIF,5070,8655,Q,
20100211,HIF,8800,18916,Q,
20100212,HIF,4750,7023,Q,
20100216,HIF,6101,16851,Q,
20100217,HIF,2492,8912,Q,
20100218,HIF,5350,6050,Q,
20100219,HIF,4100,4600,Q,
20100222,HIF,2612,3562,Q,
20100223,HIF,1733,7239,Q,
20100224,HIF,4400,7040,Q,
20100225,HIF,3400,7834,Q,
20100226,HIF,3805,5555,Q,
20100301,HIF,2097,3957,Q,
20100302,HIF,3639,5089,Q,
20100303,HIF,2500,7500,Q,
20100304,HIF,1600,4025,Q,
20100305,HIF,3436,7171,Q,
20100308,HIF,2100,5752,Q,
20100309,HIF,9499,23335,Q,
20100310,HIF,7500,9735,Q,
20100311,HIF,3795,6895,Q,
20100312,HIF,4835,24533,Q,
20100315,HIF,3575,9915,Q,
20100316,HIF,13050,21047,Q,
20100317,HIF,5500,12200,Q,
20100318,HIF,2700,5000,Q,
20100319,HIF,2100,3435,Q,
20100322,HIF,4295,8795,Q,
20100323,HIF,3950,13842,Q,
20100324,HIF,1800,5452,Q,
20100325,HIF,400,700,Q,
20100326,HIF,5104,12903,Q,
20100329,HIF,1228,7634,Q,
20100330,HIF,1500,8349,Q,
20100331,HIF,5770,16749,Q,
20100401,HIF,5600,17384,Q,
20100405,HIF,8610,16942,Q,
20100406,HIF,5700,13091,Q,
20100407,HIF,1800,4000,Q,
20100408,HIF,2900,11315,Q,
20100409,HIF,8056,19520,Q,
20100412,HIF,5520,12269,Q,
20100413,HIF,1633,4296,Q,
20100414,HIF,700,2408,Q,
20100415,HIF,2800,8048,Q,
20100416,HIF,2300,6303,Q,
20100419,HIF,3361,5542,Q,
20100420,HIF,4500,5130,Q,
20100421,HIF,300,3765,Q,
20100422,HIF,300,3596,Q,
20100423,HIF,3354,6520,Q,
20100426,HIF,4875,11898,Q,
20100427,HIF,6285,7705,Q,
20100428,HIF,6235,6235,Q,
20100429,HIF,435,816,Q,
20100430,HIF,10253,13791,Q,
20100503,HIF,959,3180,Q,
20100504,HIF,2950,5331,Q,
20100510,HIF,2000,6584,Q,
20100511,HIF,3821,4321,Q,
20100512,HIF,2700,3789,Q,
20100513,HIF,1200,2500,Q,
20100517,HIF,238,1735,Q,
20100518,HIF,800,3727,Q,
20100519,HIF,4500,12781,Q,
20100520,HIF,7400,18681,Q,
20100521,HIF,2869,15683,Q,
20100524,HIF,1500,4464,Q,
20100525,HIF,1722,9097,Q,
20100526,HIF,1138,5072,Q,
20100527,HIF,319,1861,Q,
20100528,HIF,1410,9084,Q,
20100601,HIF,1461,10072,Q,
20100602,HIF,2398,16263,Q,
20100603,HIF,6415,25503,Q,
20100604,HIF,600,4423,Q,
20100607,HIF,4095,10845,Q,
20100608,HIF,4000,8536,Q,
20100609,HIF,1900,5618,Q,
20100610,HIF,8560,9360,Q,
20100611,HIF,800,3994,Q,
20100614,HIF,5096,15866,Q,
20100615,HIF,900,5900,Q,
20100616,HIF,3200,4000,Q,
20100617,HIF,705,2605,Q,
20100618,HIF,1990,4300,Q,
20100621,HIF,1000,2500,Q,
20100624,HIF,130,3730,Q,
20100625,HIF,100,6284,Q,
20100628,HIF,100,2141,Q,
20100630,HIF,1197,7753,Q,
20100701,HIF,4000,6927,Q,
20100702,HIF,6700,16150,Q,
20100706,HIF,1000,3842,Q,
20100707,HIF,1150,5091,Q,
20100708,HIF,6800,7305,Q,
20100709,HIF,1517,6206,Q,
20110804,HIF,1400,4978,,0.0
